	source	target	direction	stimulation	inhibition	sources	references
92	Q04206	Q92793	1	0	0	BioGRID;CancerCellMap;HPRD;InnateDB;IntAct;Lit-BM-17;NetPath;SIGNOR;SPIKE;Wang	BioGRID:10542243;BioGRID:15806143;BioGRID:17362989;CancerCellMap:12881425;HPRD:9096323;HPRD:9548485;InnateDB:14597638;InnateDB:17138826;InnateDB:17296604;InnateDB:9096323;InnateDB:9659924;IntAct:16291753;IntAct:17362989;Lit-BM-17:10235267;Lit-BM-17:10454579;Lit-BM-17:10542243;Lit-BM-17:11931769;Lit-BM-17:12163591;Lit-BM-17:14597638;Lit-BM-17:15140884;Lit-BM-17:15806143;Lit-BM-17:16291753;Lit-BM-17:17138826;Lit-BM-17:17296604;Lit-BM-17:17362989;Lit-BM-17:17434128;Lit-BM-17:18241676;Lit-BM-17:25314079;Lit-BM-17:25733689;Lit-BM-17:9659924;Lit-BM-17:9806899;NetPath:15334063;SIGNOR:10207072;SPIKE:12881425;SPIKE:16713569;SPIKE:18241676
93	Q92793	Q04206	1	1	0	BioGRID;CancerCellMap;HPRD;HPRD-phos;InnateDB;IntAct;Lit-BM-17;NetPath;SIGNOR;SPIKE;Wang	BioGRID:10542243;BioGRID:15806143;BioGRID:17362989;CancerCellMap:12881425;HPRD-phos:12456660;HPRD-phos:15171256;HPRD-phos:19608861;HPRD:9096323;HPRD:9548485;InnateDB:14597638;InnateDB:17138826;InnateDB:17296604;InnateDB:9096323;InnateDB:9659924;IntAct:16291753;IntAct:17362989;Lit-BM-17:10235267;Lit-BM-17:10454579;Lit-BM-17:10542243;Lit-BM-17:11931769;Lit-BM-17:12163591;Lit-BM-17:14597638;Lit-BM-17:15140884;Lit-BM-17:15806143;Lit-BM-17:16291753;Lit-BM-17:17138826;Lit-BM-17:17296604;Lit-BM-17:17362989;Lit-BM-17:17434128;Lit-BM-17:18241676;Lit-BM-17:25314079;Lit-BM-17:25733689;Lit-BM-17:9659924;Lit-BM-17:9806899;NetPath:15334063;SIGNOR:10207072;SIGNOR:16382138;SPIKE:12881425;SPIKE:16713569;SPIKE:18241676
94	P00519	P03372	1	1	0	MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;iPTMnet;phosphoELM_MIMP	PhosphoSite:20101225;ProtMapper:20101225;SIGNOR:20101225;SPIKE:20101225;SPIKE:20841568;iPTMnet:20101225
95	P03372	P06401	1	0	0	HPRD;IntAct;Lit-BM-17;SPIKE;SignaLink3;Wang	HPRD:12612073;IntAct:12612073;IntAct:22396492;IntAct:26153859;Lit-BM-17:12612073;Lit-BM-17:22396492;Lit-BM-17:26153859;SPIKE:16912174;SignaLink3:11000528;SignaLink3:23331499
96	P06401	P03372	1	1	0	HPRD;IntAct;Lit-BM-17;ProtMapper;REACH_ProtMapper;SIGNOR;SPIKE;SignaLink3;Wang	HPRD:12612073;IntAct:12612073;IntAct:22396492;IntAct:26153859;Lit-BM-17:12612073;Lit-BM-17:22396492;Lit-BM-17:26153859;ProtMapper:16168121;SIGNOR:12612073;SPIKE:16912174;SignaLink3:11000528;SignaLink3:12612073;SignaLink3:18988627;SignaLink3:23331499
97	P10275	P05412	1	1	0	CancerCellMap;DIP;HPRD;NetPath;SPIKE;Wang	CancerCellMap:11518798;CancerCellMap:11577103;CancerCellMap:9211894;CancerCellMap:9591784;DIP:8798722;DIP:9211894;HPRD:8798722;HPRD:9211894;NetPath:11518798;SPIKE:17721441
98	P10275	P20711	1	1	0	HPRD;Lit-BM-17;NetPath;SPIKE	HPRD:12864730;Lit-BM-17:12864730;NetPath:12864730;SPIKE:17721441
99	P12931	P10275	1	1	0	BioGRID;HPRD;InnateDB;Lit-BM-17;MIMP;NetPath;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SPIKE;Sparser_ProtMapper;Wang	BioGRID:15027889;HPRD:15027889;HPRD:15062576;InnateDB:12933816;Lit-BM-17:15027889;Lit-BM-17:15062576;Lit-BM-17:15466214;Lit-BM-17:24728074;NetPath:11032808;NetPath:12933816;NetPath:15466214;ProtMapper:17525795;ProtMapper:19117998;ProtMapper:20383201;ProtMapper:20570899;ProtMapper:21318111;ProtMapper:21512132;ProtMapper:21886458;ProtMapper:21956655;ProtMapper:24859991;ProtMapper:24868554;ProtMapper:24948875;ProtMapper:25133482;ProtMapper:25547388;ProtMapper:25950519;ProtMapper:26829214;ProtMapper:28144231;SPIKE:17045208
100	P00533	P40763	1	1	0	BEL-Large-Corpus_ProtMapper;BioGRID;CancerCellMap;HPRD;InnateDB;IntAct;Lit-BM-17;NetPath;PhosphoPoint;ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SPIKE;Sparser_ProtMapper;Wang	BioGRID:18258752;BioGRID:20145033;CancerCellMap:12070153;HPRD:12873986;InnateDB:12873986;InnateDB:14963038;InnateDB:15284024;InnateDB:15950906;IntAct:14966128;IntAct:24135280;IntAct:24658140;IntAct:25241761;Lit-BM-17:10358079;Lit-BM-17:14966128;Lit-BM-17:15284024;Lit-BM-17:15485908;Lit-BM-17:15657067;Lit-BM-17:15950906;Lit-BM-17:18258752;Lit-BM-17:21573184;Lit-BM-17:23956138;Lit-BM-17:24135280;Lit-BM-17:24189400;Lit-BM-17:24658140;Lit-BM-17:25241761;Lit-BM-17:25402006;Lit-BM-17:9756944;NetPath:20032199;ProtMapper:15951569;ProtMapper:23894143;ProtMapper:29560131;SIGNOR:14967450;SIGNOR:22693070;SPIKE:15950906
101	P40763	P00533	1	0	0	BioGRID;HPRD;InnateDB;IntAct;Lit-BM-17;NetPath;ProtMapper;Sparser_ProtMapper;Wang	BioGRID:18258752;BioGRID:20145033;HPRD:12873986;InnateDB:12873986;InnateDB:14963038;InnateDB:15284024;InnateDB:15950906;IntAct:14966128;IntAct:24135280;IntAct:24658140;IntAct:25241761;Lit-BM-17:10358079;Lit-BM-17:14966128;Lit-BM-17:15284024;Lit-BM-17:15485908;Lit-BM-17:15657067;Lit-BM-17:15950906;Lit-BM-17:18258752;Lit-BM-17:21573184;Lit-BM-17:23956138;Lit-BM-17:24135280;Lit-BM-17:24189400;Lit-BM-17:24658140;Lit-BM-17:25241761;Lit-BM-17:25402006;Lit-BM-17:9756944;NetPath:20032199;ProtMapper:29560131
102	P40763	P07900	1	1	0	HPRD;NetPath;SPIKE;Wang	HPRD:12559950;NetPath:12559950;SPIKE:18266962
103	P03372	P10276	1	1	0	HPRD;SPIKE;SignaLink3	HPRD:17641689;HPRD:9717844;SPIKE:15831516;SignaLink3:23331499;SignaLink3:9841885
104	P10276	P03372	1	0	0	HPRD;SignaLink3	HPRD:17641689;HPRD:9717844;SignaLink3:23331499;SignaLink3:9841885
105	P17676	P40763	1	1	0	NetPath;SPIKE;Wang	NetPath:11134330;SPIKE:18266962
106	Q13315	P16220	1	0	1	BEL-Large-Corpus_ProtMapper;HPRD;HPRD_KEA;HPRD_MIMP;KEA;MIMP;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP	HPRD:15073328;HPRD:16293623;KEA:15073328;KEA:16293623;ProtMapper:15073328;ProtMapper:15212693;ProtMapper:19115993;ProtMapper:23642045;SIGNOR:15073328;SPIKE:15073328;SPIKE:17525332;iPTMnet:15073328;iPTMnet:16293623;phosphoELM:15073328;phosphoELM:16293623
107	O15297	P04637	1	0	0	DEPOD;HPRD;ProtMapper;REACH_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Sparser_ProtMapper;Wang	DEPOD:15870257;HPRD:17936559;ProtMapper:15870257;ProtMapper:23666059;ProtMapper:28903382;SIGNOR:15870257;SPIKE:15870257;SPIKE:20093361
108	Q14145	Q16236	1	0	1	ACSN;BioGRID;DOMINO;ELM;HPRD;IntAct;KEGG;KEGG-MEDICUS;Lit-BM-17;NRF2ome;SIGNOR;SPIKE;Wang	ACSN:19560419;BioGRID:11909699;BioGRID:14585973;BioGRID:15143058;BioGRID:15985429;BioGRID:16006525;BioGRID:16785233;BioGRID:17420218;BioGRID:17591699;BioGRID:17785452;BioGRID:17903176;BioGRID:18512965;BioGRID:18757741;BioGRID:20463144;BioGRID:20486933;BioGRID:22688683;BioGRID:23066931;BioGRID:23645672;BioGRID:23722832;BioGRID:23857982;BioGRID:24130096;BioGRID:24512214;BioGRID:24704364;BioGRID:26536456;BioGRID:27091842;BioGRID:28533375;BioGRID:30122040;DOMINO:16888629;ELM:16888629;HPRD:11439354;HPRD:16888629;HPRD:9887101;IntAct:16888629;IntAct:17015834;IntAct:18757741;IntAct:19706542;IntAct:21988832;Lit-BM-17:11909699;Lit-BM-17:12145307;Lit-BM-17:14517290;Lit-BM-17:14585973;Lit-BM-17:15475350;Lit-BM-17:15572695;Lit-BM-17:15601839;Lit-BM-17:15985429;Lit-BM-17:16006525;Lit-BM-17:16449638;Lit-BM-17:16790436;Lit-BM-17:16888629;Lit-BM-17:17462537;Lit-BM-17:17822677;Lit-BM-17:18387606;Lit-BM-17:18417180;Lit-BM-17:18757741;Lit-BM-17:19706542;Lit-BM-17:19920073;Lit-BM-17:20027226;Lit-BM-17:20421418;Lit-BM-17:20463144;Lit-BM-17:20484052;Lit-BM-17:20486933;Lit-BM-17:20599909;Lit-BM-17:21262351;Lit-BM-17:21383067;Lit-BM-17:21988832;Lit-BM-17:22215675;Lit-BM-17:22245129;Lit-BM-17:22302998;Lit-BM-17:22448038;Lit-BM-17:22558124;Lit-BM-17:23066931;Lit-BM-17:23382044;Lit-BM-17:23645672;Lit-BM-17:23722832;Lit-BM-17:23727018;Lit-BM-17:23857982;Lit-BM-17:23986495;Lit-BM-17:24011591;Lit-BM-17:24130096;Lit-BM-17:24322982;Lit-BM-17:24704364;Lit-BM-17:25582950;Lit-BM-17:25628777;Lit-BM-17:26078718;Lit-BM-17:26536456;Lit-BM-17:27212020;Lit-BM-17:28186440;NRF2ome:9887101;SIGNOR:24997453;SIGNOR:31257023;SPIKE:17020408;SPIKE:18694732
109	Q16236	Q14145	1	0	0	BioGRID;DOMINO;ELM;HPRD;IntAct;KEGG;Lit-BM-17;Wang	BioGRID:11909699;BioGRID:14585973;BioGRID:15143058;BioGRID:15985429;BioGRID:16006525;BioGRID:16785233;BioGRID:17420218;BioGRID:17591699;BioGRID:17785452;BioGRID:17903176;BioGRID:18512965;BioGRID:18757741;BioGRID:20463144;BioGRID:20486933;BioGRID:22688683;BioGRID:23066931;BioGRID:23645672;BioGRID:23722832;BioGRID:23857982;BioGRID:24130096;BioGRID:24512214;BioGRID:24704364;BioGRID:26536456;BioGRID:27091842;BioGRID:28533375;BioGRID:30122040;DOMINO:16888629;ELM:16888629;HPRD:11439354;HPRD:16888629;HPRD:9887101;IntAct:16888629;IntAct:17015834;IntAct:18757741;IntAct:19706542;IntAct:21988832;Lit-BM-17:11909699;Lit-BM-17:12145307;Lit-BM-17:14517290;Lit-BM-17:14585973;Lit-BM-17:15475350;Lit-BM-17:15572695;Lit-BM-17:15601839;Lit-BM-17:15985429;Lit-BM-17:16006525;Lit-BM-17:16449638;Lit-BM-17:16790436;Lit-BM-17:16888629;Lit-BM-17:17462537;Lit-BM-17:17822677;Lit-BM-17:18387606;Lit-BM-17:18417180;Lit-BM-17:18757741;Lit-BM-17:19706542;Lit-BM-17:19920073;Lit-BM-17:20027226;Lit-BM-17:20421418;Lit-BM-17:20463144;Lit-BM-17:20484052;Lit-BM-17:20486933;Lit-BM-17:20599909;Lit-BM-17:21262351;Lit-BM-17:21383067;Lit-BM-17:21988832;Lit-BM-17:22215675;Lit-BM-17:22245129;Lit-BM-17:22302998;Lit-BM-17:22448038;Lit-BM-17:22558124;Lit-BM-17:23066931;Lit-BM-17:23382044;Lit-BM-17:23645672;Lit-BM-17:23722832;Lit-BM-17:23727018;Lit-BM-17:23857982;Lit-BM-17:23986495;Lit-BM-17:24011591;Lit-BM-17:24130096;Lit-BM-17:24322982;Lit-BM-17:24704364;Lit-BM-17:25582950;Lit-BM-17:25628777;Lit-BM-17:26078718;Lit-BM-17:26536456;Lit-BM-17:27212020;Lit-BM-17:28186440
110	P28482	P40763	1	1	0	Adhesome;BEL-Large-Corpus_ProtMapper;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;InnateDB;KEA;Kinexus_KEA;MIMP;NCI-PID_ProtMapper;NetPath;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;ProtMapper;SPIKE;Wang;iPTMnet;phosphoELM_MIMP	Adhesome:15979846;HPRD-phos:10446219;HPRD-phos:10521505;HPRD-phos:11350938;HPRD-phos:12576423;HPRD-phos:12763138;HPRD-phos:14551213;HPRD-phos:18491316;HPRD-phos:18669648;HPRD-phos:18691976;HPRD-phos:19413330;HPRD-phos:20058876;HPRD-phos:20068231;HPRD-phos:9343414;HPRD-phos:9872331;HPRD:10446219;HPRD:10521505;HPRD:11350938;HPRD:12576423;HPRD:12763138;HPRD:14551213;HPRD:9343414;HPRD:9872331;InnateDB:15979846;KEA:10446219;KEA:10521505;KEA:11335711;KEA:11350938;KEA:12576423;KEA:12763138;KEA:14551213;KEA:15465816;KEA:9343414;KEA:9872331;NetPath:11780390;ProtMapper:10521505;ProtMapper:11404481;ProtMapper:9343414;SPIKE:12681450;SPIKE:18448488;iPTMnet:10446219;iPTMnet:10521505;iPTMnet:11350938;iPTMnet:12576423;iPTMnet:12763138;iPTMnet:14551213;iPTMnet:18491316;iPTMnet:18669648;iPTMnet:18691976;iPTMnet:19413330;iPTMnet:20058876;iPTMnet:20068231;iPTMnet:25584415;iPTMnet:9343414;iPTMnet:9872331
111	P27361	P40763	1	1	0	HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;Kinexus_KEA;MIMP;NCI-PID_ProtMapper;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;SignaLink3;Wang;iPTMnet;phosphoELM_MIMP	HPRD-phos:10446219;HPRD-phos:10521505;HPRD-phos:11350938;HPRD-phos:12576423;HPRD-phos:12763138;HPRD-phos:14551213;HPRD-phos:18491316;HPRD-phos:18669648;HPRD-phos:18691976;HPRD-phos:19413330;HPRD-phos:20058876;HPRD-phos:20068231;HPRD-phos:9343414;HPRD-phos:9872331;HPRD:10446219;HPRD:10521505;HPRD:11350938;HPRD:12576423;HPRD:12763138;HPRD:14551213;HPRD:9343414;HPRD:9872331;KEA:10446219;KEA:10521505;KEA:11335711;KEA:11350938;KEA:12576423;KEA:12763138;KEA:14551213;KEA:15465816;KEA:9343414;KEA:9872331;ProtMapper:11404481;ProtMapper:14551213;ProtMapper:19723038;ProtMapper:9343414;SIGNOR:14551213;SIGNOR:19723038;SPIKE:12681450;SPIKE:18448488;SignaLink3:10417333;SignaLink3:10446219;SignaLink3:10521505;SignaLink3:11350938;SignaLink3:12576423;SignaLink3:12763138;SignaLink3:14551213;SignaLink3:18988627;SignaLink3:23331499;SignaLink3:9343414;SignaLink3:9872331;iPTMnet:10446219;iPTMnet:10521505;iPTMnet:11350938;iPTMnet:12576423;iPTMnet:12763138;iPTMnet:14551213;iPTMnet:18491316;iPTMnet:18669648;iPTMnet:18691976;iPTMnet:19413330;iPTMnet:19723038;iPTMnet:20058876;iPTMnet:20068231;iPTMnet:25584415;iPTMnet:9343414;iPTMnet:9872331
112	P48729	P04637	1	1	0	HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;NCI-PID_ProtMapper;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM_MIMP	HPRD-phos:11875057;HPRD-phos:9765199;HPRD:11875057;HPRD:9765199;KEA:10606744;KEA:10673501;KEA:10747897;KEA:10951572;KEA:11551930;KEA:11709713;KEA:11875057;KEA:11883897;KEA:9765199;ProtMapper:10606744;ProtMapper:10734067;ProtMapper:20041275;ProtMapper:27681874;ProtMapper:29793495;SIGNOR:20041275;SPIKE:18246126;iPTMnet:11875057;iPTMnet:20041275;iPTMnet:9765199
113	Q16236	P09601	1	1	0	ACSN;SIGNOR;SPIKE;Wang	ACSN:10821856;ACSN:10874044;ACSN:12356737;ACSN:12511571;SIGNOR:31257023;SPIKE:18241676;SPIKE:18535259
114	O14965	P04637	1	0	1	HPRD;HPRD_MIMP;KEA;Lit-BM-17;MIMP;NCI-PID_ProtMapper;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Sparser_ProtMapper;Wang;dbPTM;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP	HPRD:12198151;KEA:10884347;KEA:12064478;KEA:14702041;KEA:15469940;KEA:16552184;KEA:1956339;KEA:92065884;Lit-BM-17:12198151;Lit-BM-17:14702041;Lit-BM-17:23201157;Lit-BM-17:26186194;ProtMapper:14702041;ProtMapper:15469940;ProtMapper:15749021;ProtMapper:17999753;ProtMapper:18974145;ProtMapper:21502403;ProtMapper:22350019;ProtMapper:22396649;ProtMapper:22852086;ProtMapper:22864622;ProtMapper:23201157;ProtMapper:23565200;ProtMapper:24089029;ProtMapper:25217103;ProtMapper:25333414;ProtMapper:25398437;ProtMapper:25634113;ProtMapper:25848977;ProtMapper:27933271;ProtMapper:28043820;ProtMapper:29455673;ProtMapper:30266789;SIGNOR:14702041;SIGNOR:15469940;SIGNOR:23201157;SPIKE:17259342;dbPTM:10884347;dbPTM:14702041;dbPTM:17287340;dbPTM:19413330;iPTMnet:14702041;iPTMnet:15469940;iPTMnet:23201157;phosphoELM:14702041;phosphoELM:15469940
115	P18146	P04637	1	1	0	HPRD;InnateDB;SPIKE	HPRD:11251186;InnateDB:15225550;SPIKE:12384981
116	P04637	Q92466	1	1	0	KEGG;SPIKE;Wang	SPIKE:11971958
117	Q9BY44	P18848	1	1	0	KEGG;SPIKE	SPIKE:18471544
118	Q09472	P40763	1	1	0	BioGRID;HPRD;HPRD-phos;InnateDB;SPIKE;Wang;iPTMnet	BioGRID:15649887;BioGRID:18782771;HPRD-phos:15649887;HPRD:10205054;HPRD:15649887;InnateDB:15649887;InnateDB:15735682;SPIKE:15509516;SPIKE:16285960;SPIKE:7499365;SPIKE:7530500;SPIKE:8756628;SPIKE:9590694;iPTMnet:15653507;iPTMnet:19506034
119	Q9Y6X2	P40763	1	1	0	BioGRID;CancerCellMap;HPRD;InnateDB;Lit-BM-17;MPPI;NetPath;SIGNOR;SPIKE;SignaLink3;Wang	BioGRID:11429412;BioGRID:20516148;CancerCellMap:12804609;HPRD:11429412;HPRD:12804609;InnateDB:9388184;Lit-BM-17:11429412;Lit-BM-17:12804609;Lit-BM-17:18037959;Lit-BM-17:20516148;Lit-BM-17:21988832;Lit-BM-17:9724754;MPPI:9724754;NetPath:12804609;NetPath:19569236;SIGNOR:15138572;SIGNOR:9388184;SPIKE:11709556;SignaLink3:11429412;SignaLink3:12804609;SignaLink3:15138572;SignaLink3:20516148;SignaLink3:23331499
120	P63000	P40763	1	1	0	Adhesome;CancerCellMap;HPRD;Lit-BM-17;NetPath;ProtMapper;SPIKE;SignaLink3;Sparser_ProtMapper;Wang	Adhesome:11021801;CancerCellMap:11021801;HPRD:11021801;Lit-BM-17:11021801;NetPath:11021801;ProtMapper:26430964;SPIKE:11021801;SignaLink3:11021801;SignaLink3:23331499
121	Q93009	P04637	1	1	0	DIP;HPRD;IntAct;KEGG;KEGG-MEDICUS;LMPID;Lit-BM-17;SIGNOR;SPIKE;Wang	DIP:16402859;DIP:16474402;DIP:22056774;HPRD:11923872;HPRD:16474402;IntAct:11923872;IntAct:15916963;IntAct:16402859;IntAct:16474402;IntAct:17268548;IntAct:21170034;IntAct:22056774;LMPID:16402859;LMPID:16474402;Lit-BM-17:11923872;Lit-BM-17:15916963;Lit-BM-17:16402859;Lit-BM-17:16474402;Lit-BM-17:16845383;Lit-BM-17:17268548;Lit-BM-17:17380154;Lit-BM-17:17525743;Lit-BM-17:20816748;Lit-BM-17:21170034;Lit-BM-17:21845734;Lit-BM-17:22084066;Lit-BM-17:22653443;Lit-BM-17:23382381;Lit-BM-17:23388826;Lit-BM-17:24462112;Lit-BM-17:25283148;Lit-BM-17:26238070;Lit-BM-17:26460617;SIGNOR:16082221;SPIKE:18375498;SPIKE:19918835
122	Q13625	P04637	1	1	0	DIP;HPRD;IntAct;Lit-BM-17;SIGNOR;SPIKE;Wang	DIP:18275817;DIP:8016121;DIP:8668206;DIP:8875926;HPRD:8016121;HPRD:8668206;HPRD:8875926;IntAct:14985081;IntAct:18275817;IntAct:25502805;IntAct:31515488;IntAct:8875926;Lit-BM-17:18275817;Lit-BM-17:21513714;Lit-BM-17:8016121;Lit-BM-17:8668206;Lit-BM-17:8875926;SIGNOR:11839776;SPIKE:16139958
123	P31749	P16220	1	1	0	ACSN;HPRD;HPRD_KEA;HPRD_MIMP;KEA;MIMP;NetPath;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;ProtMapper;Reactome_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Wang;iPTMnet;phosphoELM_MIMP	ACSN:10217147;ACSN:11463845;ACSN:11756412;ACSN:16680151;ACSN:17646672;ACSN:17680028;ACSN:19216069;ACSN:20214616;ACSN:20398329;ACSN:20452955;ACSN:9829964;HPRD:9829964;KEA:11018520;KEA:11160957;KEA:11175347;KEA:11698596;KEA:11909979;KEA:11969286;KEA:12235136;KEA:12356771;KEA:15733869;KEA:7958915;KEA:8688081;KEA:8887554;KEA:9528766;KEA:9687510;KEA:9829964;NetPath:12519783;ProtMapper:9829964;SIGNOR:9829964;SPIKE:15725726;SPIKE:9829964;iPTMnet:9829964
124	P05412	P15336	1	0	0	BioGRID;CA1;HPRD;InnateDB;IntAct;Lit-BM-17;ProtMapper;REACH_ProtMapper;SPIKE;Wang	BioGRID:10207054;BioGRID:15546613;BioGRID:2320002;CA1:2320002;HPRD:16511568;HPRD:1827203;HPRD:2320002;HPRD:9445037;InnateDB:18641343;IntAct:10327051;IntAct:20102225;IntAct:20195357;IntAct:20511396;IntAct:31515488;Lit-BM-17:10207054;Lit-BM-17:10327051;Lit-BM-17:1827203;Lit-BM-17:20195357;Lit-BM-17:20511396;Lit-BM-17:2320002;Lit-BM-17:23661758;Lit-BM-17:25609649;Lit-BM-17:26496610;Lit-BM-17:8027667;ProtMapper:25545367;SPIKE:10327051;SPIKE:1827203;SPIKE:1828107
125	P15336	P05412	1	0	0	BioGRID;CA1;HPRD;InnateDB;IntAct;Lit-BM-17;ProtMapper;REACH_ProtMapper;SPIKE;Wang	BioGRID:10207054;BioGRID:15546613;BioGRID:2320002;CA1:2320002;HPRD:16511568;HPRD:1827203;HPRD:2320002;HPRD:9445037;InnateDB:18641343;IntAct:10327051;IntAct:20102225;IntAct:20195357;IntAct:20511396;IntAct:31515488;Lit-BM-17:10207054;Lit-BM-17:10327051;Lit-BM-17:1827203;Lit-BM-17:20195357;Lit-BM-17:20511396;Lit-BM-17:2320002;Lit-BM-17:23661758;Lit-BM-17:25609649;Lit-BM-17:26496610;Lit-BM-17:8027667;ProtMapper:25545367;SPIKE:10327051;SPIKE:1827203;SPIKE:1828107
126	P61244	P01106	1	1	0	BioGRID;DIP;HPRD;HuRI;IntAct;Lit-BM-17;SIGNOR;SPIKE;Wang	BioGRID:12821782;BioGRID:12824180;BioGRID:15361884;BioGRID:15572685;BioGRID:19578763;BioGRID:19623651;BioGRID:23816886;BioGRID:25522242;BioGRID:9680483;DIP:12660246;DIP:16606833;DIP:8266081;DIP:9708738;HPRD:10229200;HPRD:17072308;HPRD:17157259;HPRD:17418410;HPRD:2006410;HPRD:9680483;IntAct:12821782;IntAct:16352593;IntAct:16606833;IntAct:17157259;IntAct:17353931;IntAct:17418410;IntAct:18620061;IntAct:20691906;IntAct:20936779;IntAct:21807113;IntAct:21988832;IntAct:24951594;IntAct:26267534;IntAct:9680483;Lit-BM-17:10229200;Lit-BM-17:10319872;Lit-BM-17:10465786;Lit-BM-17:10593926;Lit-BM-17:10611234;Lit-BM-17:10918583;Lit-BM-17:12391307;Lit-BM-17:12553908;Lit-BM-17:12584560;Lit-BM-17:12660246;Lit-BM-17:12821782;Lit-BM-17:12824180;Lit-BM-17:14749374;Lit-BM-17:15572685;Lit-BM-17:16140957;Lit-BM-17:16287840;Lit-BM-17:16352593;Lit-BM-17:16596619;Lit-BM-17:16705173;Lit-BM-17:17157259;Lit-BM-17:17289033;Lit-BM-17:17314511;Lit-BM-17:17353931;Lit-BM-17:17418410;Lit-BM-17:17471507;Lit-BM-17:17643117;Lit-BM-17:17700062;Lit-BM-17:18003922;Lit-BM-17:18620061;Lit-BM-17:19578763;Lit-BM-17:19623651;Lit-BM-17:2006410;Lit-BM-17:20382893;Lit-BM-17:20691906;Lit-BM-17:20936779;Lit-BM-17:20946988;Lit-BM-17:21150319;Lit-BM-17:21988832;Lit-BM-17:23816886;Lit-BM-17:24951594;Lit-BM-17:25522242;Lit-BM-17:25609649;Lit-BM-17:26267534;Lit-BM-17:26496610;Lit-BM-17:27705803;Lit-BM-17:8224841;Lit-BM-17:8266081;Lit-BM-17:9184233;Lit-BM-17:9528857;Lit-BM-17:9680483;Lit-BM-17:9708738;SIGNOR:8425218;SPIKE:17145710;SPIKE:17353931;SPIKE:9680483
127	P51692	Q13287	1	0	0	HPRD;IntAct;Lit-BM-17;NetPath;SPIKE;Wang	HPRD:9989503;IntAct:9989503;Lit-BM-17:9989503;NetPath:9989503;SPIKE:17085014;SPIKE:17145710;SPIKE:9989503
128	P10070	Q9UMX1	1	0	0	HPRD;NetPath;SPIKE;Wang	HPRD:10564661;NetPath:10564661;SPIKE:10564661
129	P01106	Q13105	1	0	1	BioGRID;HPRD;InnateDB;IntAct;KEGG;Lit-BM-17;SPIKE;Wang	BioGRID:29137325;HPRD:16352593;HPRD:9312026;InnateDB:9312026;IntAct:16352593;IntAct:18923429;IntAct:26766587;Lit-BM-17:11283613;Lit-BM-17:16352593;Lit-BM-17:17418410;Lit-BM-17:18923429;Lit-BM-17:19786833;Lit-BM-17:20426839;Lit-BM-17:26766587;Lit-BM-17:9312026;SPIKE:11283613;SPIKE:17145710;SPIKE:20697356
130	O00255	Q04206	1	0	1	DIP;HPRD;IntAct;SIGNOR;SPIKE;Wang	DIP:11526476;HPRD:11526476;HPRD:14508515;IntAct:11526476;SIGNOR:11526476;SPIKE:11526476;SPIKE:16713569
