	source	target	direction	stimulation	inhibition	sources	references
11	P19838	P41279	1	0	1	BioGRID;CancerCellMap;HPRD;InnateDB;IntAct;KEGG;Lit-BM-17;NetPath;PhosphoPoint;ProtMapper;REACH_ProtMapper;SIGNOR;SPIKE;Wang	BioGRID:18270204;CancerCellMap:9950430;HPRD:16291755;HPRD:9950430;InnateDB:15169888;IntAct:12832462;IntAct:14743216;IntAct:21988832;Lit-BM-17:12832462;Lit-BM-17:14743216;Lit-BM-17:15169888;Lit-BM-17:16291755;Lit-BM-17:21988832;Lit-BM-17:25609649;Lit-BM-17:25852190;Lit-BM-17:9950430;NetPath:9950430;ProtMapper:23557442;SIGNOR:22435554;SPIKE:12832462
12	P41279	P19838	1	0	0	BioGRID;CancerCellMap;HPRD;InnateDB;IntAct;KEGG;Lit-BM-17;NetPath;PhosphoPoint;Wang	BioGRID:18270204;CancerCellMap:9950430;HPRD:16291755;HPRD:9950430;InnateDB:15169888;IntAct:12832462;IntAct:14743216;IntAct:21988832;Lit-BM-17:12832462;Lit-BM-17:14743216;Lit-BM-17:15169888;Lit-BM-17:16291755;Lit-BM-17:21988832;Lit-BM-17:25609649;Lit-BM-17:25852190;Lit-BM-17:9950430;NetPath:9950430
13	Q9H2X6	P04637	1	1	0	BioGRID;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;IntAct;KEA;Lit-BM-17;MIMP;NCI-PID_ProtMapper;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP	BioGRID:11925430;HPRD-phos:11780126;HPRD-phos:11875057;HPRD-phos:16212962;HPRD:11780126;HPRD:11875057;HPRD:11925430;HPRD:15896780;IntAct:15896780;IntAct:16212962;KEA:11780126;KEA:11875057;KEA:16212962;KEA:16729035;Lit-BM-17:11740489;Lit-BM-17:11925430;Lit-BM-17:15896780;Lit-BM-17:16212962;Lit-BM-17:21057547;Lit-BM-17:25313037;ProtMapper:11740489;ProtMapper:11780126;ProtMapper:15865933;ProtMapper:16212962;ProtMapper:16601678;ProtMapper:17203463;ProtMapper:17210684;ProtMapper:17332358;ProtMapper:17349959;ProtMapper:17906639;ProtMapper:19128456;ProtMapper:19714248;ProtMapper:19731416;ProtMapper:19828042;ProtMapper:19946469;ProtMapper:20171273;ProtMapper:20418953;ProtMapper:20508833;ProtMapper:20849851;ProtMapper:21192925;ProtMapper:21258400;ProtMapper:21855806;ProtMapper:22110707;ProtMapper:22545114;ProtMapper:22889244;ProtMapper:22935610;ProtMapper:23091802;ProtMapper:23293771;ProtMapper:23316480;ProtMapper:23536002;ProtMapper:23700162;ProtMapper:23717325;ProtMapper:23814485;ProtMapper:23945296;ProtMapper:24101931;ProtMapper:24145406;ProtMapper:24211575;ProtMapper:24829283;ProtMapper:25210797;ProtMapper:25313037;ProtMapper:25364713;ProtMapper:26942128;ProtMapper:27019364;ProtMapper:27308326;ProtMapper:27308327;ProtMapper:27689990;ProtMapper:27787517;ProtMapper:27901482;ProtMapper:28107201;ProtMapper:28122345;ProtMapper:28893313;SIGNOR:17210684;SPIKE:17332358;iPTMnet:11740489;iPTMnet:11780126;iPTMnet:11875057;iPTMnet:16212962;iPTMnet:16729035;iPTMnet:17203463;iPTMnet:17210684;iPTMnet:19828042;iPTMnet:22011578;phosphoELM:11780126;phosphoELM:16729035
14	P04637	Q9NQ88	1	1	0	ACSN;KEGG;SPIKE;Wang	ACSN:16839880;SPIKE:16839880
15	Q96Q15	P04637	1	1	0	HPRD_MIMP;MIMP;PhosphoPoint;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Sparser_ProtMapper;iPTMnet;phosphoELM_MIMP	ProtMapper:15175154;ProtMapper:15279777;ProtMapper:18332866;ProtMapper:18679436;SIGNOR:15175154;SPIKE:18332866;iPTMnet:15175154
16	P04637	P10415	1	0	1	HPRD;KEGG;SIGNOR;SPIKE;Wang	HPRD:12667443;SIGNOR:19007744;SPIKE:11313951;SPIKE:19555669;SPIKE:8205530
17	P10415	P04637	1	0	0	HPRD;KEGG;Wang	HPRD:12667443
18	O14757	P04637	1	1	0	ACSN;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;KEGG;KEGG-MEDICUS;MIMP;NCI-PID_ProtMapper;PhosphoPoint;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;Reactome_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM;phosphoELM_MIMP	ACSN:15024084;ACSN:15140942;ACSN:15459660;ACSN:15798197;ACSN:17102137;ACSN:17116885;ACSN:17296725;ACSN:17384638;ACSN:17582221;ACSN:18677104;ACSN:19788416;ACSN:19793801;HPRD-phos:10673501;HPRD-phos:11551930;HPRD-phos:11709713;HPRD-phos:9765199;HPRD:10673501;HPRD:11551930;HPRD:11709713;HPRD:11896572;HPRD:9765199;KEA:10673501;KEA:11551930;KEA:11709713;KEA:9765199;ProtMapper:10673501;ProtMapper:10801407;ProtMapper:15467443;ProtMapper:15659650;ProtMapper:15865930;ProtMapper:17118344;ProtMapper:17339337;ProtMapper:18778462;ProtMapper:19923893;ProtMapper:19933256;ProtMapper:20526329;ProtMapper:20840867;ProtMapper:20860841;ProtMapper:20950777;ProtMapper:21748595;ProtMapper:22891162;ProtMapper:23296650;ProtMapper:23852422;ProtMapper:23892398;ProtMapper:23966620;ProtMapper:25545885;ProtMapper:25823026;ProtMapper:26384650;ProtMapper:28140789;ProtMapper:29874588;SIGNOR:15659650;SPIKE:12781359;SPIKE:12897801;SPIKE:18319725;iPTMnet:10673501;iPTMnet:11551930;iPTMnet:11709713;iPTMnet:15467443;iPTMnet:15659650;iPTMnet:9765199;phosphoELM:17339337
19	P04637	P60484	1	1	0	ACSN;BioGRID;HPRD;KEGG;SPIKE;Wang	ACSN:17409411;ACSN:17823410;ACSN:18172008;ACSN:21336307;ACSN:21483453;ACSN:21518799;BioGRID:18339852;HPRD:12620407;SPIKE:18431400
20	Q9H4B4	P04637	1	1	0	HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;NCI-PID_ProtMapper;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;RLIMS-P_ProtMapper;Reactome_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM_MIMP	HPRD-phos:10673501;HPRD-phos:11551930;HPRD-phos:11709713;HPRD-phos:12242661;HPRD-phos:12548019;HPRD:10673501;HPRD:11551930;HPRD:11709713;HPRD:12242661;HPRD:12548019;KEA:10673501;KEA:10801407;KEA:11551930;KEA:11709713;KEA:11875057;KEA:12111733;KEA:12242661;KEA:12548019;KEA:15254178;KEA:15489221;ProtMapper:11447225;ProtMapper:11551930;ProtMapper:16581545;ProtMapper:19607708;ProtMapper:24395704;SIGNOR:11447225;SPIKE:18431400;iPTMnet:10673501;iPTMnet:11447225;iPTMnet:11551930;iPTMnet:11709713;iPTMnet:12242661;iPTMnet:12548019
