"",sample,TF,activity,delta,mean_r,r,score,name,drug
"110",CPC016_A549_6H:BRD-K37312348-001-06-9:10,Q00978,0.02871349,0.105593726,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,Brc1ccc2[nH]c-3c(CC(=O)Nc4ccccc-34)c2c1
"111",CPC016_A549_6H:BRD-K37618799-001-01-4:10,Q00978,0.05318506,0.13376817,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,Clc1ccc2nc(NC(=O)Cc3ccccc3)n3nc(nc3c2c1)-c1ccco1
"112",CPC016_A549_6H:BRD-K49671696-045-03-6:10,Q00978,0.01583991,0.12296233,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,Fc1ccc(cc1)C(=O)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1
"113",CPC016_A549_6H:BRD-K54094468-003-05-3:10,Q00978,0.0228126,0.13539016,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC
"114",CPC016_A549_6H:BRD-K76775527-001-15-3:10,Q00978,0.0289387,0.13152596,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,CS(=O)(=O)Nc1ccc(cc1Oc1ccccc1)[N+]([O-])=O
"115",CPC016_A549_6H:BRD-K79684402-300-01-0:10,Q00978,0.04812376,0.1120473,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,Cc1ncc(CN2CCC(=CC2)c2ccccc2)c(N)n1
"116",CPC016_A549_6H:BRD-K83637872-001-01-7:10,Q00978,0.02281171,0.118038066,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,Cc1nn(c(C)c1C=NN2CCN(Cc3ccccc3)CC2)c4ccccc4
"117",CPC016_A549_6H:BRD-K86727142-001-06-6:10,Q00978,0.03778134,0.10320018,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,CCCCCCCCCCCC1C(=O)C(=O)CC(=O)C1=O
"118",CPC016_A549_6H:BRD-K87048468-003-01-9:10,Q00978,0.01622508,0.1227039,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,COc1cc(OC)c(cc1NS(=O)(=O)c1ccc(cc1)C(F)(F)F)C(=O)CCCCN1CCC2(CC1)NC(=O)NC2=O
"119",CPC016_A549_6H:BRD-K87510569-001-01-0:10,Q00978,0.07258925,0.10239431,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,Cc1oc(nc1CCN1CCC2(CC1)OC(=O)Nc1ccc(C)cc21)-c1ccccc1
"120",CPC016_A549_6H:BRD-M00539986-051-01-1:10,Q00978,0.03040542,0.12508298,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,COc1ccc(C[C@H](C)NC[C@@H](O)c2ccc(O)c(NC=O)c2)cc1
"121",CPC017_A549_6H:BRD-A39747742-001-03-5:10,Q00978,0.1259943,0.101667166,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,CCCCC(=O)O[C@H]1CCC2C3CCc4cc(O)ccc4C3CC[C@]12C
"122",CPC017_A549_6H:BRD-A43930669-003-01-0:10,Q00978,0.04135708,0.1250612,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,Cc1ccccc1N1CCN(CC1)S(=O)(=O)CC12CCC(C[C@@H]1NC(=O)[C@@H](N)CCS(C)(=O)=O)C2(C)C
"123",CPC017_A549_6H:BRD-A47633927-001-01-8:10,Q00978,0.05126542,0.1292009,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,CC(C)CC(NC(=O)OCC1c2ccccc2-c3ccccc13)C(=O)O
"124",CPC017_A549_6H:BRD-A54927599-001-07-8:10,Q00978,0.07292612,0.119566515,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,COc1ccc(C2CC(=NCCS2)c2c(O)cc(C)oc2=O)c(OC)c1
"125",CPC017_A549_6H:BRD-K07691486-001-04-9:10,Q00978,0.03199688,0.10490699,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
"126",CPC017_A549_6H:BRD-K09635314-001-01-8:10,Q00978,0.03006657,0.1067189,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,Cc1cc(C)c(c(C)c1)S(=O)(=O)Nc1cccc(c1)C(F)(F)F
"127",CPC017_A549_6H:BRD-K09638361-001-01-4:10,Q00978,0.026012,0.1368379,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,COc1cc(OC)c(/C=C\2/C(=O)Nc3ccccc23)c(OC)c1
"128",CPC017_A549_6H:BRD-K10177585-003-01-6:10,Q00978,0.05243154,0.13296768,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,CC[C@@H]1CN2C(=N1)c1[nH]c(nc1N(C)C2=O)-c1ccccc1
"129",CPC017_A549_6H:BRD-K12120659-305-01-4:10,Q00978,0.05782733,0.11894922,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,NC(=N)c1ccc(cc1)N1CCN(CC1)C1CCN(CC(O)=O)CC1
"130",CPC017_A549_6H:BRD-K13646352-001-01-2:10,Q00978,0.0237802,0.13748181,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13)N(C)C(=O)c1ccccc1
"131",CPC017_A549_6H:BRD-K15086322-103-01-0:10,Q00978,0.1023342,0.10258773,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,CN1CCN(CC1)C(=O)c1nc2ccc(Cl)cc2[nH]1
"132",CPC017_A549_6H:BRD-K15791587-003-01-7:10,Q00978,0.01714697,0.13094114,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,FC(F)(F)c1cc(CO[C@H]2CCCN[C@H]2c2ccccc2)cc(c1)C(F)(F)F
"133",CPC017_A549_6H:BRD-K23383398-001-01-6:10,Q00978,0.06538963,0.108862445,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,OC(c1ccc(cc1)N(CC(F)(F)F)S(=O)(=O)c1ccccc1)(C(F)(F)F)C(F)(F)F
"134",CPC017_A549_6H:BRD-K24201553-003-02-4:10,Q00978,0.04862016,0.14158979,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,CC1CCN(CC[C@H]2CCCN2S(=O)(=O)c2cccc(O)c2)CC1
"135",CPC017_A549_6H:BRD-K26521938-001-04-9:10,Q00978,0.03490956,0.13618347,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O
"136",CPC017_A549_6H:BRD-K35559145-050-03-6:10,Q00978,0.04002884,0.106339246,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,COc1ccc2Sc3ccccc3N(C[C@H](C)CN(C)C)c2c1
"137",CPC017_A549_6H:BRD-K43330982-001-01-5:10,Q00978,0.0845128,0.11127721,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,CC(C)c1cc(NNC(=O)Nc2cc(Cl)nc(Cl)c2)nc2n(C)nc(C)c12
"138",CPC017_A549_6H:BRD-K50018155-003-01-3:10,Q00978,0.05336704,0.11475739,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(CCNS(C)(=O)=O)CC1
"139",CPC017_A549_6H:BRD-K60184833-001-03-1:10,Q00978,0.03969977,0.108806565,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,NC(=O)C(=C\c1ccc(O)c(O)c1)\C#N
"140",CPC017_A549_6H:BRD-K60298136-001-01-7:10,Q00978,0.07838724,0.12750372,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,COC(=O)c1csc(n1)C(=O)c2c[nH]c3ccccc23
"141",CPC017_A549_6H:BRD-K61097567-001-03-6:10,Q00978,0.04547458,0.1110042,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,COC(=O)[C@H](NC(=O)c1cc(nc2ccccc12)-c1ccccc1)c1ccccc1
"142",CPC017_A549_6H:BRD-K62310379-001-03-0:10,Q00978,0.04180115,0.112446606,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,CCC(=O)O[C@@]1([C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)SCF
"143",CPC017_A549_6H:BRD-K66782112-001-01-2:10,Q00978,0.03379239,0.12982747,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,NC(=O)CCCCn1ccc(N=C(N)NCC(F)(F)F)n1
"144",CPC017_A549_6H:BRD-K67013324-001-01-5:10,Q00978,0.03997888,0.13357855,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,CC(=O)NCCc1c(Cc2ccccc2)[nH]c2ccccc12
"145",CPC017_A549_6H:BRD-K67298865-001-03-3:10,Q00978,0.03640387,0.14091332,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,NC(=O)c1ccc(cc1)-c1nc(c([nH]1)-c1ccccn1)-c1ccc2OCOc2c1
"146",CPC017_A549_6H:BRD-K73397362-001-01-7:10,Q00978,0.05929553,0.1009502,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,C1CCC(CC1)n1cnc2c(Nc3ccc(cc3)N3CCOCC3)nc(Oc3cccc4ccccc34)nc12
"147",CPC017_A549_6H:BRD-K76840893-003-01-7:10,Q00978,0.04900215,0.12568238,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,CC(C)(Cc1c[nH]c2ccc(Cl)cc12)NCCOc1ccccc1OCC1CC1
"148",CPC017_A549_6H:BRD-K82823804-001-01-7:10,Q00978,0.05758054,0.10040052,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,Oc1ccc2[nH]c3cc(c4C(=O)NC(=O)c4c3c2c1)-c1ccccc1
"149",CPC017_A549_6H:BRD-K94176593-001-02-9:10,Q00978,0.03490166,0.10535103,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,Nc1cccc(c1)-c1cc2c(Oc3cccc(O)c3)ncnc2[nH]1
"150",CPC018_A549_6H:BRD-K06753942-001-06-1:10,Q00978,0.8482864,-0.13917804,0.409751427879289,0.801995420509343,0.605873424194316,IRF9,COc1ccc(cc1OC)-c1cc(=O)c2c(OC)c(OC)c(OC)c(OC)c2o1
"151",CPC013_A549_6H:BRD-K79090631-001-15-7:10,P01106,0.2009046,0.10274768,0.423101275631863,0.814186473427713,0.618643874529788,MYC,OCCCNc1cc(ccn1)c2ccnc(Nc3cccc(Cl)c3)n2
"152",CPC014_A549_6H:BRD-K13514097-001-01-2:10,P01106,0.09202743,0.12879413,0.423101275631863,0.814186473427713,0.618643874529788,MYC,CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1OCCO
"153",CPC014_A549_6H:BRD-K16485616-001-03-0:10,P01106,0.1968764,0.15225405,0.423101275631863,0.814186473427713,0.618643874529788,MYC,Nc1ccccc1NC(=O)c1ccc(CNc2nccc(n2)-c2cccnc2)cc1
"154",CPC014_A549_6H:BRD-K23192422-001-01-1:10,P01106,0.1014286,0.16796756,0.423101275631863,0.814186473427713,0.618643874529788,MYC,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4C(=O)NCc4c4c5ccccc5n2c4c13
"155",CPC016_A549_6H:BRD-K04146668-001-01-3:10,P01106,0.1927941,0.12488103,0.423101275631863,0.814186473427713,0.618643874529788,MYC,Cn1cc(C=C2C(=O)Nc3cccnc23)c4ccccc14
"156",CPC013_A549_6H:BRD-K31553034-001-01-4:10,Q13127,0.1633759,0.10615641,0.427260830272086,0.826627776882676,0.626944303577381,REST,COc1nc(C)cnc1NS(=O)(=O)c1cccnc1-c1ccc(cc1)-c1nnco1
"157",CPC014_A549_6H:BRD-K23192422-001-01-1:10,Q13127,0.1332364,0.103366315,0.427260830272086,0.826627776882676,0.626944303577381,REST,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4C(=O)NCc4c4c5ccccc5n2c4c13
"158",CPC016_A549_6H:BRD-K67831364-003-01-7:10,Q13127,0.7979982,-0.13585702,0.427260830272086,0.826627776882676,0.626944303577381,REST,Cc1cc(F)c(Nc2ncnc3cc(OCc4ccccc4)ccc23)cc1O
"159",CPC016_A549_6H:BRD-K84175871-003-02-2:10,Q13127,0.8090613,-0.12973553,0.427260830272086,0.826627776882676,0.626944303577381,REST,CN[C@@H](C)[C@@H](O)c1ccccc1
"160",CPC017_A549_6H:BRD-A03359064-001-01-5:10,Q13127,0.8182817,-0.14672062,0.427260830272086,0.826627776882676,0.626944303577381,REST,OC(CNCCNC(=O)Nc1ccccc1)COc1ccccc1C#N
"161",CPC017_A549_6H:BRD-A24429032-003-01-6:10,Q13127,0.7713408,-0.1319404,0.427260830272086,0.826627776882676,0.626944303577381,REST,Oc1ccc(CCNCC2CCc3ccccc3C2=O)cc1
"162",CPC017_A549_6H:BRD-K04414442-001-03-4:10,Q13127,0.7778029,-0.1434347,0.427260830272086,0.826627776882676,0.626944303577381,REST,CC[C@H](NC(=O)c1c(C)c(nc2ccccc12)-c1ccccc1)c1ccccc1
"163",CPC017_A549_6H:BRD-K05151076-001-01-8:10,Q13127,0.8647792,-0.1342994,0.427260830272086,0.826627776882676,0.626944303577381,REST,CCCCCS(=O)(=O)CCCCCCCCCCn1c(c(C)c2cc(O)ccc12)-c1ccc(O)cc1
"164",CPC017_A549_6H:BRD-K10177585-003-01-6:10,Q13127,0.8452873,-0.14622504,0.427260830272086,0.826627776882676,0.626944303577381,REST,CC[C@@H]1CN2C(=N1)c1[nH]c(nc1N(C)C2=O)-c1ccccc1
"165",CPC017_A549_6H:BRD-K11373525-003-01-3:10,Q13127,0.7681326,-0.15124679,0.427260830272086,0.826627776882676,0.626944303577381,REST,CCc1cc2N(Cc3ccc(cc3)-c3ccccc3-c3nnn[nH]3)C(=O)CCc2c(CC)n1
"166",CPC017_A549_6H:BRD-K35559145-050-03-6:10,Q13127,0.778662,-0.12952852,0.427260830272086,0.826627776882676,0.626944303577381,REST,COc1ccc2Sc3ccccc3N(C[C@H](C)CN(C)C)c2c1
"167",CPC017_A549_6H:BRD-K53857191-001-05-2:10,Q13127,0.8218216,-0.11987272,0.427260830272086,0.826627776882676,0.626944303577381,REST,Cc1nc2CCCCn2c(=O)c1CCN1CCC(CC1)c1noc2cc(F)ccc12
"168",CPC017_A549_6H:BRD-K54708045-001-01-3:10,Q13127,0.8585086,-0.1644338,0.427260830272086,0.826627776882676,0.626944303577381,REST,OC(=O)c1n(Cc2ccc(Cl)cc2)c2ccc(Cl)cc2c1Sc1ccccc1
"169",CPC017_A549_6H:BRD-K67277431-002-03-0:10,Q13127,0.7838466,-0.14523596,0.427260830272086,0.826627776882676,0.626944303577381,REST,COc1ccc(cc1C(=O)NCc1cccnc1)C(=O)NCc1cccnc1
"170",CPC017_A549_6H:BRD-K76568384-001-01-4:10,Q13127,0.8702481,-0.14932421,0.427260830272086,0.826627776882676,0.626944303577381,REST,Oc1ccc(cc1)-c1c(nn2c(cc(nc12)C(F)(F)F)C(F)(F)F)-c1ccccc1
"171",CPC017_A549_6H:BRD-K81225797-001-01-5:10,Q13127,0.842014,-0.17413491,0.427260830272086,0.826627776882676,0.626944303577381,REST,Nc1nc2n(CCc3ccccc3)ncc2c2nc(nn12)-c1ccco1
"172",HOG002_A549_6H:BRD-K20755323-001-02-6:10,Q13127,0.8124397,-0.1221551,0.427260830272086,0.826627776882676,0.626944303577381,REST,Oc1ccc(Nc2nc(cs2)-c2ccc(Cl)cc2)cc1
"173",CPC013_A549_6H:BRD-K79090631-001-15-7:10,Q13485,0.1579647,0.11751521,0.51564945711362,0.722352011765737,0.619000734439679,SMAD4,OCCCNc1cc(ccn1)c2ccnc(Nc3cccc(Cl)c3)n2
"174",CPC010_A549_6H:BRD-K18816859-002-04-6:10,P17947,0.009649297,0.101441905,0.467623283001842,0.802447838878157,0.63503556094,SPI1,CS(=O)(=O)Nc1ccc(Cc2noc(n2)-c2ccc3[nH]cc(CCN)c3c2)cc1
"175",CPC014_A549_6H:BRD-K16485616-001-03-0:10,P17947,0.8596403,-0.17193925,0.467623283001842,0.802447838878157,0.63503556094,SPI1,Nc1ccccc1NC(=O)c1ccc(CNc2nccc(n2)-c2cccnc2)cc1
"176",CPC014_A549_6H:BRD-K41170226-001-05-4:10,P17947,0.7899254,-0.12708393,0.467623283001842,0.802447838878157,0.63503556094,SPI1,C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
"177",CPC014_A549_6H:BRD-K73293050-001-01-5:10,P17947,0.8099985,-0.13924439,0.467623283001842,0.802447838878157,0.63503556094,SPI1,CN1CCN(CC1)c1ccc(Nc2ncc(Cl)c(Oc3cccc(NC(=O)C=C)c3)n2)cc1
"178",CPC014_A549_6H:BRD-K83794624-001-01-7:10,P17947,0.7807156,-0.17188726,0.467623283001842,0.802447838878157,0.63503556094,SPI1,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O[C@@H]6CCCCO6)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO
"179",CPC016_A549_6H:BRD-K47598052-001-06-7:10,P17947,0.1367596,0.105960205,0.467623283001842,0.802447838878157,0.63503556094,SPI1,Cc1ccc(cc1)-c1nn(c2ncnc(N)c12)C(C)(C)C
"180",CPC017_A549_6H:BRD-K53857191-001-05-2:10,P17947,0.77594,-0.11720942,0.467623283001842,0.802447838878157,0.63503556094,SPI1,Cc1nc2CCCCn2c(=O)c1CCN1CCC(CC1)c1noc2cc(F)ccc12
"181",CPC017_A549_6H:BRD-K11911061-003-02-8:10,P52630,0.06525946,0.10271761,0.454162941590387,0.758742890758146,0.606452916174266,STAT2,COc1ccc(NC(=O)c2ccc(cc2)-c2ccc(cc2C)-c2noc(C)n2)cc1N1CCN(C)CC1
