"",sample,TF,activity,delta,mean_r,r,score,name,drug
"39",CPC018_A549_6H:BRD-K10843433-001-12-8:10,P18848,0.8343651,-0.1202482,0.403267180077989,0.844324812532589,0.623795996305289,ATF4,CCCCC1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1
"40",CPC018_A549_6H:BRD-K19605405-001-01-9:10,P18848,0.7611332,-0.112558484,0.403267180077989,0.844324812532589,0.623795996305289,ATF4,Nc1nc(NCCc2ccc(O)cc2)nc2nc(nn12)-c1ccco1
"41",CPC018_A549_6H:BRD-K22385716-001-01-7:10,P18848,0.8405367,-0.10571569,0.403267180077989,0.844324812532589,0.623795996305289,ATF4,O=c1cc(oc2c(cccc12)-c1ccccc1)N1CCNCC1
"42",CPC018_A549_6H:BRD-K24240364-003-02-1:10,P18848,0.7923549,-0.106616676,0.403267180077989,0.844324812532589,0.623795996305289,ATF4,CC1=NN=C(c2ccc(N)cc2)c2cc3OCOc3cc2C1
"43",CPC018_A549_6H:BRD-K33864865-001-01-7:10,P18848,0.842591,-0.12919408,0.403267180077989,0.844324812532589,0.623795996305289,ATF4,CC(C)Oc1cccc(c1)-n1c(CCc2c[nH]c3ccc(Br)cc23)nc2ccccc2c1=O
"44",CPC018_A549_6H:BRD-K37846922-001-04-5:10,P18848,0.7769958,-0.116438985,0.403267180077989,0.844324812532589,0.623795996305289,ATF4,C(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12
"45",CPC018_A549_6H:BRD-K69195780-001-01-5:10,P18848,0.8159374,-0.1373927,0.403267180077989,0.844324812532589,0.623795996305289,ATF4,COc1ccccc1N1CCN(CCCCN2C(=O)c3ccccc3C2=O)CC1
"46",CPC018_A549_6H:BRD-K75641298-001-01-5:10,P18848,0.7755032,-0.11351478,0.403267180077989,0.844324812532589,0.623795996305289,ATF4,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
"47",CPC020_A549_6H:BRD-K90027355-001-10-9:10,P18848,0.7640067,-0.101828754,0.403267180077989,0.844324812532589,0.623795996305289,ATF4,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]33CCC(=O)O3)[C@H]12
"48",CPC011_A549_6H:BRD-K45158365-001-07-2:10,P17676,0.2048604,0.10379428,0.414911735727241,0.780375294187401,0.597643514957321,CEBPB,CCCCC(=O)N(Cc1ccc(cc1)-c1ccccc1-c1nn[nH]n1)[C@@H](C(C)C)C(O)=O
"49",CPC013_A549_6H:BRD-K11663430-001-01-5:10,P17676,0.1088659,0.10986838,0.414911735727241,0.780375294187401,0.597643514957321,CEBPB,ONC(=O)CCCCCCC(=O)Nc1cccnc1
"50",CPC013_A549_6H:BRD-K31553034-001-01-4:10,P17676,0.1042235,0.1216099,0.414911735727241,0.780375294187401,0.597643514957321,CEBPB,COc1nc(C)cnc1NS(=O)(=O)c1cccnc1-c1ccc(cc1)-c1nnco1
"51",CPC013_A549_6H:BRD-K63068307-001-01-4:10,P17676,0.05887793,0.12707174,0.414911735727241,0.780375294187401,0.597643514957321,CEBPB,FC(F)c1nc2ccccc2n1-c1nc(nc(n1)N1CCOCC1)N1CCOCC1
"52",CPC013_A549_6H:BRD-K66175015-001-01-7:10,P17676,0.1242474,0.11958021,0.414911735727241,0.780375294187401,0.597643514957321,CEBPB,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1
"53",CPC013_A549_6H:BRD-K76908866-001-01-9:10,P17676,0.1018692,0.1121991,0.414911735727241,0.780375294187401,0.597643514957321,CEBPB,COCC(=O)NC\C=C\c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1
"54",CPC013_A549_6H:BRD-K79090631-001-15-7:10,P17676,0.03681936,0.11201343,0.414911735727241,0.780375294187401,0.597643514957321,CEBPB,OCCCNc1cc(ccn1)c2ccnc(Nc3cccc(Cl)c3)n2
"55",CPC013_A549_6H:BRD-K92428232-001-01-5:10,P17676,0.09418279,0.11636147,0.414911735727241,0.780375294187401,0.597643514957321,CEBPB,C[C@@H](Oc1cc(sc1C(N)=O)-n1cnc2ccc(CN3CCN(C)CC3)cc12)c1ccccc1C(F)(F)F
"56",CPC017_A549_6H:BRD-K14618467-003-01-8:10,P17676,0.8208975,-0.10096356,0.414911735727241,0.780375294187401,0.597643514957321,CEBPB,O=C(N1CCC(CC1)N1CCCC1)c1ccc(Nc2nccc(n2)-c2cc3ccccc3s2)cc1
"57",CPC017_A549_6H:BRD-K67298865-001-03-3:10,P17676,0.7951319,-0.10591707,0.414911735727241,0.780375294187401,0.597643514957321,CEBPB,NC(=O)c1ccc(cc1)-c1nc(c([nH]1)-c1ccccn1)-c1ccc2OCOc2c1
"58",CPC017_A549_6H:BRD-K68246049-001-01-4:10,P17676,0.7818176,-0.10150033,0.414911735727241,0.780375294187401,0.597643514957321,CEBPB,CC(=Cc1ccc(cc1)C(=O)O)c2ccc3c(c2)C(C)(C)CCC3(C)C
"59",CPC017_A549_6H:BRD-K82823804-001-01-7:10,P17676,0.9115767,-0.14847845,0.414911735727241,0.780375294187401,0.597643514957321,CEBPB,Oc1ccc2[nH]c3cc(c4C(=O)NC(=O)c4c3c2c1)-c1ccccc1
