,r
O00327,0.6223598722428911
O00716,0.5572424160440098
O14593,0.7843048778418796
O43524,0.6215501874880394
O75030,0.758631406133927
P01100,0.7409838642593372
P01106,0.8141864734277129
P03372,0.7198185937515826
P04150,0.8035892242582329
P04637,0.7368984023298251
P05412,0.6505224911746542
P05549,0.45442004618436826
P06401,0.44605809520723605
P08047,0.43900900193633113
P08651,0.4535548053237352
P10070,0.6312148646128776
P10242,0.6507611130623145
P10275,0.6285146174270355
P10276,0.8554993194572548
P10914,0.6877223165529706
P11308,0.593445366210338
P11473,0.3989388166277507
P11831,0.7741540153924851
P14859,0.8521083949758728
P14921,0.7756616175868485
P15036,0.6476648212545162
P15336,0.8652986880620558
P15407,0.3676352448090673
P15923,0.28315803994132344
P15976,0.7887443073602987
P16220,0.5634745054908264
P17535,0.43906238617595233
P17542,0.6301153092296753
P17676,0.780375294187401
P17947,0.8024478388781575
P18146,0.7285184497780869
P18846,0.7533420409168035
P18848,0.8443248125325892
P18850,0.8352079531634203
P19419,0.7184443007207315
P19544,0.3321702017871007
P19793,0.6089264281899758
P19838,0.8676946948676706
P22415,0.18451248079003885
P23511,0.231533538762365
P23769,0.6069418567305973
P23771,0.42465071949900063
P25490,0.7138473366984759
P26367,0.6467073709267035
P36956,0.8541618061608869
P37231,0.7261819535205429
P37275,0.7343759317407271
P40763,0.7312210028020399
P41235,0.7012086381816592
P42224,0.8020095183418412
P42226,0.5621667688500237
P42229,0.7341563522056587
P48382,0.7730244320344375
P48431,0.5446529693287244
P48436,0.7730539570018123
P49715,0.6892753260696327
P49716,0.7665314513618435
P51692,0.7864441164601053
P52630,0.7587428907581459
P55317,0.7659980383563835
P56693,0.7671084240221941
P58012,0.8228026020375664
P84022,0.28356006389876676
P98177,0.4343080858226741
Q00613,0.6166083191850132
Q00653,0.6504376563563864
Q00978,0.8019954205093432
Q01094,0.8002388411942593
Q01196,0.6884402577242821
Q01201,0.575107472967747
Q01543,0.5974535491719303
Q02447,0.14331345175996207
Q04206,0.7802570125344748
Q04864,0.6841712210954756
Q06710,0.8648768066881702
Q07869,0.7154763027637927
Q08050,0.7442443123272638
Q12772,0.47091109757178856
Q12778,0.6388195607614018
Q13127,0.8266277768826755
Q13469,0.5586654023885428
Q13485,0.7223520117657372
Q13761,0.6321129196839314
Q14186,0.6143542804831581
Q14209,0.7809159598195735
Q14765,0.6600873130326389
Q15672,0.823380298677676
Q16236,0.13152248151141052
Q16665,0.043056944849173766
Q92731,0.8098085744340423
Q99626,0.19790979039385098
Q99814,0.8542637482603798
Q9H3D4,0.44501002464364736
Q9NQB0,0.8311581348195445
Q9UJU2,0.8167665772960264
Q9Y261,0.7938389006042464
