model,cell,TF,r
Ensembles,HA1E,P15336,0.156746719408279
Ensembles,HA1E,P15407,0.649806228360665
Ensembles,HA1E,P15923,-0.0151405962084895
Ensembles,HA1E,P15976,0.512179154161748
Ensembles,HA1E,P16220,0.163676445366788
Ensembles,HA1E,P17535,0.625048632811514
Ensembles,HA1E,P17542,0.169542353827074
Ensembles,HA1E,P17676,0.223524927495843
Ensembles,HA1E,P17947,0.471113502239703
Ensembles,HA1E,P18146,0.285192377868101
Ensembles,HA1E,P18846,0.0183238881682342
Ensembles,HA1E,P18848,0.370642984401087
Ensembles,HA1E,P18850,-0.117540599781451
Ensembles,HA1E,P19419,0.726119234788443
Ensembles,HA1E,P19544,0.0481131542041019
Ensembles,HA1E,P19793,0.152100211157127
Ensembles,HA1E,P19838,0.368189749998453
Ensembles,HA1E,P22415,0.285453263707079
Ensembles,HA1E,P23511,-0.112716794316054
Ensembles,HA1E,P23769,0.293347286065063
Ensembles,HA1E,P23771,0.304270111575085
Ensembles,HA1E,P25490,0.268527887597416
Ensembles,HA1E,P26367,0.600523569498341
Ensembles,HA1E,P36956,0.436375846720344
Ensembles,HA1E,P37231,0.490856795729533
Ensembles,HA1E,P37275,0.115848419389129
Ensembles,HA1E,P40763,0.413008324275783
Ensembles,HA1E,P41235,0.0675327266226082
Ensembles,HA1E,P42224,0.552952156320772
Ensembles,HA1E,P42226,0.108538741489868
Ensembles,HA1E,P42229,0.265274808085646
Ensembles,HA1E,P48382,0.702074810754858
Ensembles,HA1E,P48431,0.508725447018936
Ensembles,HA1E,P48436,0.554174223928402
Ensembles,HA1E,P49715,0.154293736829439
Ensembles,HA1E,P49716,-0.117847636364007
Ensembles,HA1E,P51692,0.131194920915482
Ensembles,HA1E,P52630,0.588737889117285
Ensembles,HA1E,P55317,0.0330699593479608
Ensembles,HA1E,P56693,0.0509456123792235
Ensembles,HA1E,P58012,0.210917503589176
Ensembles,HA1E,P84022,0.205145478595058
Ensembles,HA1E,P98177,0.538943077630295
Ensembles,HA1E,Q00613,0.47674834607761
Ensembles,HA1E,Q00653,0.413195633937727
Ensembles,HA1E,Q00978,0.658603794175267
Ensembles,HA1E,Q01094,0.588775424477121
Ensembles,HA1E,Q01196,0.422277988046072
Ensembles,HA1E,Q01201,0.584466860965557
