,O00327,O00716,O14593,O43524,O75030,P01100,P01106,P03372,P04150,P04637,P05412,P05549,P06401,P08047,P08651,P10070,P10242,P10275,P10276,P10914,P11308,P11473,P11831,P14859,P14921,P15036,P15336,P15407,P15923,P15976,P16220,P17535,P17542,P17676,P17947,P18146,P18846,P18848,P18850,P19419,P19544,P19793,P19838,P22415,P23511,P23769,P23771,P25490,P26367,P36956,P37231,P37275,P40763,P41235,P42224,P42226,P42229,P48382,P48431,P48436,P49715,P49716,P51692,P52630,P55317,P56693,P58012,P84022,P98177,Q00613,Q00653,Q00978,Q01094,Q01196,Q01201,Q01543,Q02447,Q04206,Q04864,Q06710,Q07869,Q08050,Q12772,Q12778,Q13127,Q13469,Q13485,Q13761,Q14186,Q14209,Q14765,Q15672,Q16236,Q16665,Q92731,Q99626,Q99814,Q9H3D4,Q9NQB0,Q9UJU2,Q9Y261
CPC013_A549_6H:BRD-A45664787-001-01-4:10,0.019646138,-0.022296697,-0.0022593588,0.04671657,-0.12177667,-0.058978677,0.003508389,0.034327567,-0.07109937,-0.032401264,-0.03020519,0.020556867,-0.028661191,-0.00774163,-0.04385978,0.008346319,0.023059815,0.04799658,-0.042073786,-0.041230515,-0.06305021,-0.0019939542,-0.11141202,-0.076648295,-0.034646988,-0.07822308,-0.05248311,-0.013900995,0.0016244054,-0.049567997,0.009271771,-0.0010381937,-0.020504534,0.089048356,-0.07835443,-0.07707149,0.055260092,-0.074163914,-0.0030311644,-0.02208066,-0.007883519,0.009061173,0.04739684,0.0017158091,-0.00019538403,-0.04243529,-0.029770851,-0.01205796,-0.0077118874,-0.021371126,0.010345638,0.11459041,-0.0071163177,-0.007080123,-0.09630135,-0.05166754,0.00901109,-0.0019901693,-0.02444315,-0.007078439,-0.0019274056,0.10673225,0.014126182,0.04362406,0.11214942,-0.0033226013,0.051008403,-0.046081364,0.053486943,0.016120076,-0.02074486,-0.012547284,-0.015737534,-0.0057427287,0.019656956,-0.02612269,-0.0061694384,0.04425198,-0.018607378,-0.053328037,0.06927621,-0.019558549,-0.010347605,0.0920417,0.08302796,-0.012821555,0.043590486,-0.045205563,0.0034300685,-0.08329627,-0.006710589,-0.052681208,0.0016639233,0.012742937,-0.11618705,0.004048884,-0.120841205,-0.0053669214,0.05526632,-0.003458202,-0.027183056
CPC017_A549_6H:BRD-A03359064-001-01-5:10,-0.013778836,-0.0051183403,0.042416185,0.0397781,0.0564664,0.06505573,0.01560539,-0.07050365,0.053263754,0.039040565,-0.008433998,-0.002370298,0.006601453,-0.004775524,0.034125686,-0.018551886,-0.030563027,-0.05282736,0.06607026,0.014762789,0.00250417,0.0072748214,0.05523607,0.12115228,0.024096668,0.023071796,0.117776036,0.005427003,0.017106086,0.00806886,0.0012855828,-0.01740253,0.033309996,-0.06112483,0.0011039525,0.089759886,-0.040314555,0.062809825,0.005533725,-0.038606852,0.0010440648,0.01481162,-0.08412129,0.019981503,0.019516945,0.03247711,0.019633234,-0.015913486,0.0139364,0.09737331,0.073476404,0.048632562,-0.0048626065,0.03277953,0.08774614,0.031660438,-0.056438684,0.038578033,0.010978937,0.055649832,0.07930669,-0.06479871,-0.07117885,-0.002659157,-0.086826205,0.006189972,-0.010659635,0.03600794,0.016408533,0.0078139305,0.02683705,0.06832859,-0.04986942,-0.0112377405,-0.030058622,-0.020148128,0.0043881536,-0.09590733,-0.01655507,0.101108044,-0.049848437,-0.019509017,0.01711613,-0.0027093887,-0.14672062,0.016606271,-0.033483863,-0.01984641,-0.004940152,-0.012911737,-0.0048989058,0.03843321,-0.006896913,-0.0013839602,0.06756376,0.0007825792,0.11620873,0.0017370582,-0.02755344,-0.00793457,-0.020807981
CPC017_A549_6H:BRD-A09828896-004-04-5:10,-0.011051029,-0.0062098503,-0.058083847,0.045455813,0.06607218,-0.02423054,0.0029702783,-0.04480332,-0.008500397,0.036441863,-0.011193693,-0.011613011,-0.00444752,-0.02630639,0.009513915,-0.03137374,-0.015272021,-0.082755744,0.04196477,-0.01432173,-0.013176948,0.021102399,0.08055195,0.06560272,0.0071151853,0.009623468,0.105852544,-0.0073755383,0.007623434,-0.05544001,-0.009087592,-0.0114504695,0.022352874,-0.07059148,-0.022550538,0.0056717396,-0.05442238,-0.015181065,0.0049579144,0.009047359,0.005997956,0.03369862,-0.10667199,0.01434204,0.015507251,0.0272163,0.0050323606,-0.02282232,0.0014019608,0.094541624,0.04682526,0.050450504,-0.058811188,0.027925625,0.00595358,0.0030909479,-0.050646544,-0.052605897,0.009373963,0.051450983,0.06292409,-0.0622862,-0.05722207,0.014788941,-0.023634195,0.071413696,-0.030891657,0.0098593235,0.011661053,-0.021477848,0.035772145,0.056393042,-0.011108875,-0.029305995,-0.036934733,0.023908049,0.0011354983,-0.10976517,-0.038786888,0.0064681172,-0.061622977,-0.024050772,0.008307546,0.019274026,-0.08946481,-0.014900446,-0.03418827,-0.018132806,-0.0014864802,-0.0070384443,-0.053480506,0.019027457,-0.007635653,-0.002783537,0.032135084,0.001644969,0.014726251,-0.003940195,-0.027109921,0.009723723,-0.027610362
CPC017_A549_6H:BRD-A15530910-001-01-3:10,-0.0051462054,0.006449133,0.047690213,0.027623266,0.032238424,0.036190987,0.039616227,-0.030578732,0.027001947,0.03060931,-0.0044146776,-0.01822412,0.011137366,-0.0051517487,0.031306326,-0.015711665,-0.0019053221,-0.04540217,-0.0058215857,-0.032397002,0.02550283,0.01232411,0.092595816,0.07655072,0.049919873,0.061255515,0.10794228,0.013089597,0.0028287768,-0.0007863343,0.011706382,-0.0038115978,0.031733394,-0.057440758,0.037376657,0.047761858,-0.040938377,0.044979125,-0.004346609,0.029807866,0.008713186,0.020570293,-0.06129092,0.016689986,0.014665246,0.02241692,0.00465554,0.016017914,0.010220766,-0.07016727,0.03651297,0.07909483,-0.016336799,0.024111003,-0.044812888,0.0048636496,-0.05553031,0.043376207,0.005331993,0.050986707,0.060204864,-0.05266297,-0.06870043,0.023007259,-0.07996726,0.015079379,0.0072447658,0.03292638,0.008116335,-0.031225532,0.019206196,0.035905495,-0.0051360726,-0.014712453,-0.017715096,0.021140784,-0.004226744,-0.06940943,-0.0129444,0.07809651,-0.07307923,0.014182091,-0.012407392,0.006957084,-0.08046207,0.0007042885,-0.010671079,-0.023659319,-0.0048224926,0.014398366,-0.016208827,0.016164258,-0.00041639805,0.0067067742,0.049384788,-0.001798898,0.09338483,-0.015186787,-0.020796776,0.002372384,-0.0022761822
CPC017_A549_6H:BRD-A24429032-003-01-6:10,-0.0065571666,-0.0078371465,0.031178921,0.04078707,0.062368095,0.06053698,-0.005154729,-0.05319214,0.0071163476,0.045565426,0.016443193,-0.012170851,-0.021559536,-0.015161395,0.025310874,-0.019325376,-0.028930068,-0.071147084,0.052417815,0.0037305057,0.005049348,0.014426753,-0.009314179,0.10089588,0.011574864,0.0029820204,0.08687493,-0.0027948022,0.01303944,-0.008633465,-0.007013589,-0.014221787,0.028663933,-0.048808664,0.010420039,0.056541443,-0.049429834,0.065657854,0.009690434,-0.07145104,0.0047158897,0.013971627,-0.084031045,0.016214013,0.017169207,0.02780734,0.008567631,-0.029005826,0.004392624,0.09910305,-0.016423106,0.052024066,-0.041622996,0.034211755,0.06869331,0.012254119,-0.052479804,0.028373986,0.009329885,0.052282378,0.06941286,-0.051971197,-0.059439063,0.03215021,-0.06407732,-0.004703939,0.0037097335,0.026743114,0.011862874,-0.025785238,0.02024883,0.09754163,-0.04795301,-0.038189292,-0.01951325,-0.00884074,0.0027205348,-0.07554942,-0.018761456,0.08949287,-0.043068826,-0.027355075,0.011113852,0.0023756623,-0.1319404,0.022074401,-0.023606956,-0.008769929,-0.0024749637,-0.018451333,-0.038610995,0.025877818,-0.008545637,0.00028902292,0.047214583,0.0030162036,0.042080164,0.0073138177,-0.026602745,-0.0098000765,0.025531828
CPC017_A549_6H:BRD-A38898897-003-01-0:10,-0.018262863,-0.009469807,0.052131698,0.05026394,0.05903116,0.042533934,-0.019034684,-0.051213503,0.061617374,0.047453642,-0.03916323,-0.0056083202,0.003493905,-0.017351806,0.03783241,-0.016480863,-0.024380654,-0.079203784,0.030417323,0.021423653,0.035552353,0.010794103,0.037997156,0.119992524,0.044310838,0.057402402,0.13818598,0.00328058,0.016198039,0.043043822,0.0022212565,-0.026969492,0.052955717,-0.05814752,0.05435647,0.07715857,-0.044977546,0.10347754,0.011133969,-0.051573902,0.00015318394,0.030298173,-0.10896778,0.026859969,0.026622206,0.032278895,0.019357383,-0.013673067,0.014456451,0.09864047,0.07555044,0.11637795,-0.03123498,0.04258977,0.063792974,0.025706232,-0.075382054,0.04735568,0.009112656,0.0506873,0.10911685,-0.05012673,-0.08676344,-0.011017978,-0.09637803,0.00073963404,-0.050158918,0.039863467,0.02888158,0.0044428706,0.047300667,0.049606547,-0.060576856,-0.014061868,-0.047712088,-0.0021106005,0.004912734,-0.12962228,-0.055629253,0.11133504,-0.03711593,-0.022752583,0.015375495,0.0060295463,-0.1189796,-0.00043565035,-0.027602434,0.0003271401,-0.005119443,-0.042099386,-0.028796375,0.034816206,-0.0061767697,-0.0027379394,0.053526506,0.002239734,0.12287223,0.0016525388,-0.025813103,-0.005377114,0.009874463
CPC017_A549_6H:BRD-A39522003-001-01-0:10,-0.013870716,0.003532201,0.04462664,0.048855484,0.05206862,-0.0005016327,0.02121228,-0.057324767,0.022300243,0.05850047,-0.00170964,-0.007983148,0.0076549053,-0.018752277,0.022549272,-0.015265584,-0.017641991,-0.09176427,0.0464738,-0.0010582507,0.03513068,0.020873353,0.061920166,0.065408945,0.049723774,0.05989805,0.12801121,0.006576717,0.014229506,0.033809036,0.005742073,-0.0007147789,0.034184456,-0.04088518,0.05675994,0.0351364,-0.044677317,0.057923615,-0.011241883,-0.010499418,0.0019392073,0.02546534,-0.077659905,0.019005269,0.018974423,0.029822558,-0.002042234,0.0022966862,-0.0012683272,0.089240775,-0.057215452,0.11529684,-0.04477632,0.039367855,-0.0049162507,-0.00725618,-0.07527387,0.040550873,0.0077028275,0.051073596,0.0777061,-0.051464677,-0.084172726,0.044963837,-0.05746907,0.010960877,-0.016119838,0.02371341,0.026632994,-0.00409019,0.033821344,0.081066936,-0.0037060976,-0.02315253,-0.026138961,-0.0010016263,0.004116833,-0.08655888,-0.026382029,0.057190925,-0.06981027,-0.015833974,0.012688309,0.028634757,-0.05723563,-0.005809009,-0.03547579,-0.004527867,0.0002605319,-0.011071324,-0.04306978,0.031488106,-0.0037521124,-0.0037523508,0.022421986,-1.8715858e-05,0.06776664,-0.006068945,-0.022325873,0.00050604343,0.011018217
CPC017_A549_6H:BRD-A39747742-001-03-5:10,-0.014340371,-0.012096316,0.04178238,0.02825293,0.06482221,0.044777036,-0.008071959,-0.0009660721,0.030253828,0.03799784,0.0073422194,-0.008548796,0.0117099285,-0.013602674,0.032639056,-0.022522926,-0.024678707,-0.08466458,0.03305608,0.021315515,0.022150725,0.012416825,0.051046073,0.092457354,0.03389731,0.034128368,0.13095342,0.00844574,0.018996626,0.015960693,0.014904022,-0.008645177,0.02924329,-0.040249974,0.040226683,0.07012063,-0.04157418,0.09422776,-0.0007698238,-0.030888438,0.0018052161,0.025825188,-0.07653034,0.024000019,0.024567604,0.024839386,0.0051388144,-0.0063511133,0.004168093,0.09841721,0.020745039,0.12654626,-0.028758824,0.03677091,0.05741623,0.00452888,-0.06323016,0.037951723,0.008193046,0.050671324,0.100589484,-0.040480793,-0.07103014,0.04060203,-0.08306944,0.05235821,-0.029347837,0.034299016,0.002644807,0.0011147261,0.035146922,0.101667166,-0.04526943,-0.021622121,-0.03165573,-0.001968503,0.005130112,-0.101469696,-0.041996956,0.068170935,-0.058699965,-0.024341524,0.0150383115,-0.016480327,-0.11032215,0.010165393,-0.019107223,0.015362471,-0.0023525953,-0.038832247,-0.02731824,0.03513304,-0.0057557225,-0.0027190447,0.012619168,0.0013380349,0.08636135,0.005712092,-0.019884288,-0.0041781664,-0.022585869
CPC017_A549_6H:BRD-A43930669-003-01-0:10,-0.0200288,-0.00787136,0.041711867,0.041933924,0.072489694,0.0073206425,-0.019400895,-0.061393976,0.03546983,0.06800455,-0.05470699,-0.01105392,0.009701133,-0.023359835,0.03664732,-0.030394435,-0.017546773,-0.08643365,0.015054882,0.024407685,0.044361502,0.004779324,0.09067693,0.11567858,0.05301276,0.07356697,0.13062242,-0.0007510185,0.0135246515,0.04537052,-0.0030005276,-0.026078582,0.046861976,-0.08486611,0.06663411,0.05958128,-0.052496493,0.09444904,0.003126651,0.004869461,0.0023641586,0.015252113,-0.12557638,0.025981158,0.025003195,0.03512141,0.009925365,-0.0034885406,0.011772931,0.051852852,0.052208602,0.13411564,-0.04923123,0.040120304,0.06771198,0.008555651,-0.07491684,0.037887678,0.008999497,0.05074705,0.10259217,-0.06272191,-0.09495163,0.053109556,-0.09346032,0.035948545,-0.09209907,0.038835645,0.008837014,-0.012346864,0.060251266,0.1250612,-0.043962,-0.020254135,-0.060444534,0.011888087,0.004328847,-0.15091652,-0.06939471,0.101936504,-0.05507344,-0.021292865,0.011607528,0.00036418438,-0.096273065,-0.023555934,-0.0381158,0.013776451,-0.0035645366,-0.020849079,-0.04662347,0.03636363,-0.0046952963,-0.004529774,0.06128809,0.0012619793,0.12829617,-0.0040815473,-0.024055779,-0.00024980307,-0.006289661
CPC017_A549_6H:BRD-A47633927-001-01-8:10,-0.009786636,0.017696172,-0.04168555,-0.024118215,0.017023474,0.050941765,0.061656594,-0.071755886,-0.050909877,0.01276654,0.06411654,-0.0072402954,0.03151238,-0.012588441,0.029146284,-0.004827738,-0.0011740625,-0.099435925,0.07210052,-0.02165535,0.0045129955,0.0033815205,0.06778875,0.06258172,0.03399828,0.03395462,0.13058166,0.007356882,0.012913972,-0.023502141,0.024275899,-0.0071964264,0.006418526,-0.029606313,0.0026466101,0.05865252,-0.028483093,0.10952082,0.00094020367,0.007442981,0.0035764873,-0.002715677,-0.053708494,0.014554173,0.014092386,0.022537723,-0.009028196,0.014645755,-0.005537808,0.104387745,8.583069e-05,0.13391626,-0.059144318,0.020867437,0.05437103,-0.016079932,-0.07120818,-0.037728116,0.0029272735,0.05000727,0.057460636,-0.056202233,-0.07894707,0.06275152,-0.07422948,0.013167232,0.046913505,0.030499637,-0.020071417,-0.012215525,0.012206495,0.1292009,0.048431635,-0.025295436,-0.007174313,0.014290541,0.0021612942,-0.045143902,-0.006059289,0.012398809,-0.056873262,0.010374904,0.009607464,-0.041520923,-0.10932994,0.019327343,-0.026327252,-0.039588153,0.0043044686,0.021929294,-0.05753702,0.026133344,-0.0020554066,-0.00010955334,0.023134813,-0.0050955415,0.03238809,2.3722649e-05,-0.014103532,0.024722159,-0.05973959
