,O00327,O00716,O14593,O43524,O75030,P01100,P01106,P03372,P04150,P04637,P05412,P05549,P06401,P08047,P08651,P10070,P10242,P10275,P10276,P10914,P11308,P11473,P11831,P14859,P14921,P15036,P15336,P15407,P15923,P15976,P16220,P17535,P17542,P17676,P17947,P18146,P18846,P18848,P18850,P19419,P19544,P19793,P19838,P22415,P23511,P23769,P23771,P25490,P26367,P36956,P37231,P37275,P40763,P41235,P42224,P42226,P42229,P48382,P48431,P48436,P49715,P49716,P51692,P52630,P55317,P56693,P58012,P84022,P98177,Q00613,Q00653,Q00978,Q01094,Q01196,Q01201,Q01543,Q02447,Q04206,Q04864,Q06710,Q07869,Q08050,Q12772,Q12778,Q13127,Q13469,Q13485,Q13761,Q14186,Q14209,Q14765,Q15672,Q16236,Q16665,Q92731,Q99626,Q99814,Q9H3D4,Q9NQB0,Q9UJU2,Q9Y261
CPC013_A549_6H:BRD-A45664787-001-01-4:10,0.0027320385,-0.0015518367,-0.0186283,0.0042545497,0.013293415,-0.016879857,0.0029520988,-0.0003325343,-0.018509388,-0.05833012,0.0030408502,-0.019590735,-0.0023235679,0.0018290281,-0.009797543,0.0025796294,0.011436731,0.017579436,-0.009181023,-0.015167281,-0.023286045,0.0004017353,0.008354008,-0.03870207,-0.020216346,-0.02169326,-0.01997906,0.0018094182,0.0013181567,-0.027478755,0.0011265278,-0.00093221664,-0.015256405,-0.0014240742,-0.031380355,-0.005255997,-0.0057703853,-0.024927378,0.0,0.006354183,0.011057168,0.0029523224,-0.0013589859,-0.002794385,-0.0035940707,-0.008509681,-0.0018082261,-0.00017809868,-0.0024914742,-0.010041058,-0.0039415956,-0.0020659566,-0.0037479997,-0.009731755,-0.013487756,-0.007163197,0.011865854,-0.01695934,0.00042122602,-0.01717177,-0.014364541,0.010914862,0.014809132,0.008150786,0.025152683,0.0063236356,-0.0033102036,-0.0102241635,0.006768316,-0.03678581,-0.012578279,-0.0007325709,0.011838019,-0.0026042461,0.0039492846,0.0024777055,-0.0005351305,0.00864023,-0.008197844,-0.012014508,0.0101566315,0.0036138892,-0.0012235641,0.011786163,0.030346602,-0.011422694,0.004632175,-0.0059054494,0.0015086532,0.0041505694,-0.0032313466,-0.00545159,0.00035494566,-1.40070915e-05,-0.014788687,-0.000238657,-0.013534248,0.0025384426,0.0049399137,0.016076148,-0.01814872
CPC017_A549_6H:BRD-A03359064-001-01-5:10,0.0021405816,-0.0036674738,-0.0043575913,0.02176927,3.7550926e-05,-0.0058740973,4.553795e-05,0.012176752,-0.002362281,-0.00434345,-0.0020535588,-0.0024706125,-0.00044828653,-0.0011264682,-0.0072152913,0.0022627711,0.0023374557,-0.0015537739,-0.005991876,-0.10724948,0.00021398067,-0.0016551614,-0.0047382712,-0.029700726,-0.00272426,-0.003132403,-0.02339384,-0.003913045,0.000108510256,-0.0077726543,0.0019503534,-0.0010815859,-0.0012143254,0.0048851967,0.0031030923,-0.0101071,-0.00052821636,-0.017105639,0.0,0.0009855628,0.0010575652,0.003368646,0.0055553317,-0.0018976033,-0.002549708,-0.0013013482,-0.00468117,-0.0019574761,-0.00092703104,-0.0034134835,-0.0006853044,-0.0018256307,-0.0022287965,0.002839014,0.0012588203,-0.008210182,-0.000936985,-0.0038923621,0.0012585521,-0.00042146444,-0.009919643,0.0020604134,0.0067548156,0.02093397,0.01802969,0.0051681995,0.008941114,-0.0073384047,0.03748724,-0.0068728626,0.0009875894,0.020512402,-0.0039383173,-0.00056254864,0.0022327304,0.01008445,-0.0014975369,0.007909298,-0.020964742,-0.010834619,0.0026825666,-0.0019112229,-0.0026789308,0.0204494,0.023920715,9.1314316e-05,-0.00026375055,-0.00131464,-0.0004416108,-0.0025715232,-0.0011918545,-0.0044519305,0.00035136938,0.00086146593,-0.0053440034,-0.000108629465,-0.01609853,0.0012614429,-0.0025594234,0.002614379,0.0077744126
CPC017_A549_6H:BRD-A09828896-004-04-5:10,0.0008403659,2.7954578e-05,-0.0016031563,0.00043532252,0.0013153702,-0.003151536,-9.012222e-05,0.0009480715,-0.0012048185,-0.002201438,-0.0024837852,0.00029975176,-0.00050640106,7.033348e-05,-0.002523899,0.0009942651,0.0067901313,0.003927529,-0.0013437271,-0.00091664493,-0.0011955202,9.37283e-06,-0.0018863976,-0.020691872,8.177757e-05,-0.0017797053,-0.005739063,0.00013107061,-1.0341406e-05,-0.00420928,0.00047054887,1.4364719e-05,-0.00050479174,0.0004981756,-0.0012459159,-0.0035630465,0.0012688041,-0.012051225,0.0,0.0007278919,-0.00010377169,0.00044998527,7.1525574e-07,-0.0006624758,-0.00073230267,-0.00044877827,-0.0010904074,8.368492e-05,-0.00026518106,-0.0032277107,-0.0005662739,-0.0006018281,-0.00012385845,-0.0007034987,-0.0029638112,-0.0017160177,0.0046728253,-0.0014560521,-0.00061160326,2.4914742e-05,-0.0030398667,0.0023010373,0.005109608,0.0005994886,0.006486118,-0.00043803453,-0.0057790875,-0.002624333,0.00068974495,4.0113926e-05,0.00076287985,-0.0026753992,0.0007318258,-0.00031739473,-0.0002400279,0.00017029047,-9.995699e-05,-0.00011318922,-0.0034513474,-0.002770424,0.00043994188,-0.00020599365,-0.00045835972,0.0015589595,0.016594589,-0.00135988,-0.0006248951,-0.0006619692,6.532669e-05,-0.0009821355,-0.00012940168,-0.0008147359,0.00011730194,0.00041908026,-0.0010169744,-8.442998e-05,-0.002202034,0.00096946955,0.0009278059,0.009768844,-0.00022494793
CPC017_A549_6H:BRD-A15530910-001-01-3:10,4.172325e-07,-5.9604645e-08,2.9802322e-08,-1.1622906e-06,-6.556511e-07,-2.3841858e-07,0.0,2.3841858e-07,-1.1920929e-07,1.1920929e-07,5.9604645e-07,0.0,-1.7881393e-07,2.3841858e-07,-1.1920929e-07,0.0,8.940697e-08,1.1920929e-07,-5.9604645e-08,1.937151e-07,3.2782555e-07,1.4901161e-08,-9.23872e-07,-2.3841858e-07,2.9802322e-08,2.682209e-07,-2.0861626e-07,-1.7881393e-07,-5.9604645e-08,8.940697e-07,3.5762787e-07,0.0,-5.9604645e-08,-4.7683716e-07,6.92904e-07,-1.4901161e-06,1.1920929e-07,-1.1920929e-07,0.0,-1.4901161e-07,0.0,2.9802322e-08,7.1525574e-07,-5.9604645e-08,-2.9802322e-08,-1.3411045e-07,-1.7881393e-07,-5.9604645e-08,3.33786e-06,-1.4901161e-07,-5.9604645e-08,-2.3841858e-07,2.9802322e-07,-2.9802322e-08,-8.940697e-08,-1.1920929e-07,5.9604645e-08,2.9802322e-08,2.682209e-07,1.4901161e-08,-5.9604645e-08,4.7683716e-07,5.9604645e-08,5.9604645e-08,2.3841858e-07,5.9604645e-08,4.7683716e-07,-1.7881393e-07,-6.854534e-07,-1.1920929e-07,-3.874302e-07,-1.6391277e-07,-2.3841858e-07,2.3841858e-07,4.7683716e-07,2.682209e-07,-5.9604645e-08,1.3709068e-06,7.748604e-07,-1.4901161e-07,2.3841858e-07,0.0,-5.9604645e-08,-4.4703484e-07,1.7881393e-07,5.364418e-07,5.9604645e-08,-1.1920929e-07,-8.940697e-07,-2.0861626e-07,0.0,-7.4505806e-08,1.1920929e-07,2.9802322e-07,-1.0430813e-07,2.9802322e-08,-6.4074993e-06,0.0,-2.3841858e-07,5.9604645e-08,2.3841858e-07
CPC017_A549_6H:BRD-A24429032-003-01-6:10,2.026558e-05,2.7120113e-06,3.3825636e-06,-7.2419643e-06,-3.2410026e-05,-0.0003877282,-1.3709068e-06,-9.536743e-07,0.00010845065,1.8060207e-05,-9.071827e-05,0.0,-5.4240227e-06,5.9604645e-08,1.463294e-05,-8.34465e-07,-1.1861324e-05,1.21593475e-05,4.5359135e-05,-1.1205673e-05,1.2934208e-05,2.8371811e-05,-0.0008763969,-2.2053719e-06,-1.1712313e-05,2.3543835e-06,-6.312132e-05,1.1920929e-06,1.2606382e-05,7.849932e-05,2.3126602e-05,0.00011461973,5.5849552e-05,3.0398369e-05,7.9870224e-05,-0.0006273389,-4.2915344e-06,-2.115965e-06,0.0,0.000164181,0.0,5.9708953e-05,-9.655952e-06,-7.2419643e-06,-8.46386e-06,3.0741096e-05,2.5629997e-05,7.1525574e-07,-9.715557e-06,3.3825636e-06,2.3841858e-07,-6.902218e-05,8.702278e-06,4.142523e-06,-0.00012469292,5.3703785e-05,-2.014637e-05,3.0398369e-06,-3.5762787e-06,1.7881393e-07,-3.46601e-05,1.770258e-05,-3.796816e-05,-0.00013965368,-3.6776066e-05,-9.953976e-06,-1.0311604e-05,1.6450882e-05,-4.7832727e-05,3.33786e-06,-2.5212765e-05,-0.00025179982,-2.9325485e-05,5.5611134e-05,1.5556812e-05,5.2154064e-06,-4.172325e-07,3.9994717e-05,4.2319298e-05,1.4856458e-05,-2.4914742e-05,-9.268522e-05,-5.9604645e-07,2.7656555e-05,-4.7445297e-05,0.00015640259,-3.6478043e-05,6.3478947e-06,2.0861626e-06,-5.1617622e-05,6.854534e-06,-6.005168e-06,2.8014183e-06,1.4841557e-05,3.2633543e-05,9.834766e-07,-0.0015126169,1.013279e-06,2.3245811e-06,-1.7106533e-05,0.00023883581
CPC017_A549_6H:BRD-A38898897-003-01-0:10,9.179115e-06,0.006219983,-0.00044985116,-0.013945073,-0.0018073618,-5.1259995e-05,0.0014873147,-0.00076401234,-0.001860112,-0.0028348565,0.0010961294,0.000500679,0.00037938356,-0.0024293065,0.0022612512,4.7683716e-06,0.00038135052,0.00068050623,0.00026077032,0.00024454296,-0.00032538176,-0.00016701221,0.0007363856,-0.000859797,-0.0018162131,0.0002812147,9.4890594e-05,-6.878376e-05,4.9501657e-05,-0.0009197891,0.0005041063,-2.8192997e-05,-0.0019936562,-0.0042307377,-0.0012454018,-0.00012141466,-0.000641942,-0.00080278516,0.0,0.001914382,-0.00017562509,-0.00067317486,0.00019675493,-0.00029933453,-0.00027766824,0.0007569492,-0.00018799305,0.0018392205,-0.00045496225,-0.00035634637,-0.00067296624,0.002331376,-0.0007432699,-0.00033548474,-1.4424324e-05,-0.00025129318,-0.00021970272,-0.0004093498,6.312132e-05,9.611249e-05,-0.0011225343,-0.0057963133,-0.004982233,0.0003926456,-0.005883038,-0.0014907718,-0.00034809113,0.002305448,-0.015173018,0.0010199845,-2.208352e-05,0.0004762411,0.0041186213,-0.0004054308,-0.00012469292,0.0011816621,1.7881393e-06,-0.0005097389,0.0004885793,-0.14245321,-8.7976456e-05,9.024143e-05,6.8604946e-05,-0.008986831,0.0005866885,7.379055e-05,-0.00023472309,-0.00012499094,7.1167946e-05,0.011927724,-0.0007005334,0.0013750196,0.00028318167,5.6684017e-05,8.3982944e-05,-6.0111284e-05,0.0002026856,0.0005709827,-5.310774e-05,0.00037556887,-0.0054739118
CPC017_A549_6H:BRD-A39522003-001-01-0:10,8.940697e-07,-8.940697e-08,-8.940697e-08,6.2584877e-07,-7.003546e-07,-1.7285347e-06,1.7881393e-07,1.1920929e-07,3.5762787e-07,2.3841858e-07,-4.172325e-07,0.0,-1.7881393e-07,2.3841858e-07,5.9604645e-08,0.0,5.9604645e-08,2.3841858e-07,-1.7881393e-07,-1.4901161e-07,8.940697e-08,1.4901161e-07,-4.917383e-06,-1.1920929e-07,1.4901161e-07,-1.1920929e-07,-6.854534e-07,4.172325e-07,-1.1920929e-07,8.940697e-07,2.682209e-07,5.9604645e-08,1.4901161e-07,-5.9604645e-08,1.7136335e-07,-3.993511e-06,5.9604645e-08,5.9604645e-08,0.0,-8.940697e-08,0.0,4.0233135e-07,2.3841858e-07,-8.940697e-08,-5.9604645e-08,7.4505806e-08,-1.1920929e-07,-1.1920929e-07,5.9604645e-07,-1.0430813e-07,0.0,-4.7683716e-07,4.7683716e-07,-1.4901161e-08,-9.834766e-07,-8.940697e-08,0.0,-8.940697e-08,-1.1920929e-07,4.4703484e-08,-3.2782555e-07,3.5762787e-07,2.3841858e-07,-2.8312206e-07,-5.9604645e-08,-2.9802322e-08,5.9604645e-08,1.7881393e-07,-8.940697e-08,1.4901161e-07,2.9802322e-08,-1.1026859e-06,-2.3841858e-07,2.3841858e-07,1.1920929e-07,1.1920929e-07,-5.9604645e-08,3.5762787e-07,-1.1920929e-07,-3.874302e-07,0.0,-4.172325e-07,-5.9604645e-08,6.2584877e-07,5.9604645e-08,1.013279e-06,-1.1920929e-07,2.9802322e-08,-2.9802322e-07,-4.172325e-07,2.3841858e-07,-1.3411045e-07,5.9604645e-08,7.748604e-07,-1.4901161e-08,2.9802322e-08,-9.089708e-06,-5.9604645e-08,5.9604645e-08,0.0,1.1324883e-06
CPC017_A549_6H:BRD-A39747742-001-03-5:10,-0.00017511845,0.00074386597,-0.00012405217,0.0019405186,0.000954777,-0.0023306608,0.0009752512,-0.27138013,-0.0019331276,-3.3915043e-05,-0.0016299486,-0.0002564788,-0.0024770498,-5.7935715e-05,0.0001912713,-0.00051784515,-0.0035896301,-0.0026046038,0.013233185,-0.006933689,-0.00017020106,-0.005860552,0.0001526773,0.00038528442,-0.0001681149,7.170439e-05,0.0009534061,-8.21352e-05,-0.0001758933,-0.000328362,-0.0013007522,-0.0002822876,0.00054332614,-0.0067895055,-0.001134932,0.0011842251,-0.004456699,-0.00014144182,0.0,-7.3075294e-05,5.4895878e-05,-0.012801796,-0.016227007,4.5597553e-06,7.1823597e-06,0.01149556,0.00046801567,0.00018948317,0.00024735928,0.00045746565,-0.020166278,0.0004812479,-2.104044e-05,3.2886863e-05,0.00017869473,0.0005674362,-0.00031459332,-0.00011242926,0.00016182661,-3.8027763e-05,5.221367e-05,-0.0036808252,-0.00092482567,-0.00084254146,-0.0004954338,-0.00017607212,-0.0038846731,0.00019907951,0.0022369921,-9.995699e-05,-0.0006431341,-1.3291836e-05,0.00060659647,0.00029248,-0.00092434883,0.00010845065,-1.6391277e-06,-0.0024594069,-0.0026142597,0.00041413307,-0.004176736,-0.0003899336,5.108118e-05,0.0012268424,-0.0035727024,-0.0017181635,-0.026219606,6.979704e-05,-0.00015985966,0.0027839541,0.00015431643,0.0004190877,-1.31726265e-05,-7.927418e-05,0.085729495,-1.04010105e-05,0.0024231374,1.8298626e-05,-3.2544136e-05,-0.0054486394,-0.003240347
CPC017_A549_6H:BRD-A43930669-003-01-0:10,-0.00016534328,-4.634261e-05,-4.258752e-05,0.0008164048,0.0012388378,3.2365322e-05,1.8835068e-05,-3.5345554e-05,-0.0003067851,0.00018304586,0.0017008185,-0.0015820265,0.00042670965,-6.4969063e-06,0.0006109774,-5.5015087e-05,-3.6001205e-05,-0.0010909438,0.00019049644,-0.0039789826,-0.00017878413,0.00014960766,0.0016478002,0.0020446181,-3.5762787e-07,0.00025230646,0.0013288409,4.118681e-05,1.0371208e-05,-0.00040623546,0.0017781854,-8.183718e-05,-0.00038388371,0.00043576956,-0.000324592,0.0005531907,-0.0011404157,0.0006943345,0.0,0.0003325343,0.00085780025,0.00021706522,0.0006542206,0.00015109777,0.00015345216,0.00015047193,0.00015556812,-2.8550625e-05,-8.869171e-05,-0.0008239448,0.00011867285,0.00035345554,-0.00010961294,7.097423e-05,0.00062561035,0.00036635995,-0.0016841888,-3.810227e-05,7.817149e-05,-2.039969e-05,0.00068357587,-0.00032782555,-0.0007503629,0.00073589385,-0.0016165972,0.001219064,0.0027781725,0.00078868866,0.0022847354,-0.003147304,-0.0008533895,0.0011092499,0.00016254187,-0.00059986115,0.0004349947,0.0006765127,-2.9802322e-06,0.00092053413,0.00027900934,0.0001860708,4.3451786e-05,-6.300211e-05,-3.0189753e-05,0.0011558831,-8.380413e-05,-0.00016593933,5.8054924e-05,6.097555e-05,5.722046e-06,0.0005328059,-9.2089176e-05,0.00019051135,-6.0737133e-05,-0.00011539459,0.00022312999,-1.9431114e-05,-8.609891e-05,-5.5789948e-05,-8.523464e-05,0.00016278028,-0.0007491708
CPC017_A549_6H:BRD-A47633927-001-01-8:10,4.4345856e-05,9.536743e-07,-0.0011438131,-0.00033310056,-0.001172185,-0.003618896,0.00023204088,0.00013566017,-0.030466199,-0.00019937754,-0.00013190508,0.00019186735,-8.6307526e-05,0.00041812658,-0.0043819547,0.00033921003,0.0004579723,0.00429976,0.0010847449,-0.0015787929,-0.0052025914,-0.001513511,-0.0014927387,-0.003251791,-0.0005195439,-0.0043275356,-0.0057205707,-0.0006079674,-0.000117987394,-0.004626453,-0.005109608,8.869171e-05,-0.0010029972,0.0015664995,-0.007860839,-0.002589345,0.0012511015,-0.0035544932,0.0,0.00015345216,-3.8444996e-06,-0.030394047,-0.0005118251,-0.00041800737,-0.00026729703,-0.0013954788,-0.0008122921,6.3180923e-06,-0.0008944869,-0.0023343414,-0.5748621,0.010089636,-0.00023269653,-0.00092957914,-0.00013557076,-0.0013726056,0.0077962875,-0.001036346,0.0026425421,-2.2694468e-05,-0.001105845,0.002527237,0.0035524964,0.0039874613,0.011212945,0.00017684698,2.5689602e-05,-0.004638076,-0.00043201447,-0.00026392937,-0.00040012598,0.003600821,0.0006905794,0.0007109046,0.00043410063,-6.353855e-05,-0.00018143654,0.0013962388,1.758337e-05,-0.00079509616,-0.011379182,0.00027674437,-0.00048661232,-0.0007533431,0.0017566681,-0.0012607574,0.00044465065,-0.00015327334,6.234646e-05,-0.0012977123,-0.00018286705,-0.00036260486,8.72612e-05,-5.185604e-05,-0.0016155243,-1.7285347e-05,-0.0021584332,-8.3744526e-05,-0.0013756156,-0.00021278858,-0.0008350611
