,P10275,O00327,P18846,P15336,P18848,P18850,Q99626,P49715,P17676,P49716,P16220,Q01094,Q14209,O00716,P18146,P19419,Q99814,P11308,P03372,Q92731,P14921,P15036,Q01543,P01100,P15407,P55317,Q9Y261,P58012,Q08050,Q12778,O43524,P98177,P15976,P23769,P23771,P10070,Q16665,P41235,Q00613,P10914,Q00978,P05412,P17535,Q9UJU2,O75030,P10242,P01106,Q13469,Q16236,P08651,P19838,Q00653,P23511,P04150,P26367,Q06710,P06401,P14859,Q07869,P37231,P10276,Q04864,Q04206,Q01201,Q13127,P48382,O14593,Q01196,Q13761,P19793,P84022,Q13485,P56693,P48431,P48436,P08047,Q02447,P17947,P36956,Q12772,P11831,P42224,P52630,P40763,Q14765,P42229,P51692,P42226,P17542,P15923,Q9NQB0,P05549,Q14186,P04637,Q9H3D4,Q15672,P22415,P11473,P19544,P25490,P37275
A375,0.13038213551044464,-0.0016376579878851771,0.4797729253768921,0.14194530248641968,-0.2075941264629364,-0.10885194689035416,0.03244471922516823,-0.12508544325828552,0.10832681506872177,0.23675459623336792,0.4245428144931793,0.10152848064899445,0.20713631808757782,0.19671230018138885,0.1621001809835434,-0.1396358162164688,0.14302080869674683,-0.036882031708955765,0.1388554722070694,-0.0022701623383909464,0.28153669834136963,-0.030744027346372604,0.38442543148994446,0.102735735476017,-0.03258684277534485,0.34560954570770264,0.16851656138896942,0.08360946923494339,0.46079081296920776,0.2698010206222534,0.37278538942337036,0.06623439490795135,0.04355528950691223,-0.08000399172306061,0.03937283903360367,0.4299907088279724,0.09885082393884659,0.18194055557250977,0.16971072554588318,0.021438641473650932,0.29293277859687805,0.10436154156923294,-0.20143967866897583,0.11706939339637756,0.09898065030574799,0.0017145633464679122,0.08857090771198273,-0.07645459473133087,0.10570169240236282,0.00548161007463932,0.06639155745506287,0.12233651429414749,0.09170015901327133,-0.0501953661441803,0.34158140420913696,0.27356845140457153,-0.23423999547958374,-0.020995652303099632,0.004166122525930405,0.3530895709991455,-0.015635082498192787,0.15624353289604187,0.043757788836956024,0.16181786358356476,0.21320322155952454,0.32265782356262207,0.486795574426651,-0.007184034213423729,0.30409398674964905,0.26073309779167175,0.018158188089728355,0.00906216911971569,0.02380257099866867,0.1291574239730835,-0.016390180215239525,0.4263576567173004,0.29128262400627136,0.16811084747314453,0.06030489131808281,0.4127400517463684,0.27188852429389954,0.00992365088313818,0.3711199164390564,0.02900809608399868,0.17404493689537048,-0.13237114250659943,0.00012672612501773983,0.18128207325935364,0.16024400293827057,0.1818591058254242,0.014657302759587765,-0.08955217897891998,0.1718088537454605,0.18448778986930847,0.20115748047828674,0.042470499873161316,-0.02101934142410755,0.1971561312675476,0.26036882400512695,0.18148724734783173,0.2748602032661438
A549,0.25532785058021545,-0.05249413475394249,-0.049751680344343185,0.12750370800495148,0.1814092993736267,0.13877253234386444,0.08885633945465088,0.22148720920085907,-0.023218324407935143,0.11670546233654022,0.16745665669441223,0.4258970022201538,0.27941659092903137,0.16998112201690674,0.08555413037538528,0.26041263341903687,0.09173358231782913,0.12847869098186493,-0.08879321813583374,0.0995795950293541,0.1095871776342392,0.05704460293054581,0.2083640992641449,0.048589129000902176,0.06730953603982925,0.16142284870147705,0.0706629753112793,-0.02047089673578739,0.1986694186925888,0.3033035099506378,0.35143399238586426,-0.03372133523225784,-0.10977841168642044,0.29683664441108704,-0.09108497947454453,0.0018883210141211748,0.24943092465400696,0.15011708438396454,-0.34715139865875244,-0.005079599563032389,0.2380540817975998,0.28158047795295715,-0.11144649237394333,0.30347609519958496,0.3995257318019867,0.34913188219070435,0.09777552634477615,-0.0948883444070816,0.06424705684185028,0.2221575230360031,-0.033014073967933655,-0.048480354249477386,-0.11573312431573868,0.1549542099237442,0.1479552537202835,-0.05089772865176201,-0.03824053704738617,0.028383607044816017,-0.12841278314590454,0.23932483792304993,-0.05731503665447235,-0.1989755779504776,-0.09781862795352936,-0.02636667899787426,0.17211522161960602,0.09351049363613129,0.016665427014231682,-0.08098572492599487,0.14884768426418304,-0.02716083452105522,-0.0004116048221476376,0.009534008800983429,0.32932037115097046,0.2691594362258911,0.22610339522361755,0.11173169314861298,0.11295118182897568,0.2769117057323456,0.2831383943557739,0.2192736715078354,0.16822350025177002,0.23273514211177826,0.4520012140274048,-0.048116061836481094,-0.016756825149059296,0.335439532995224,0.23047330975532532,0.07149866968393326,0.19743585586547852,-0.03895699605345726,0.405791312456131,-0.05266701802611351,0.3063771724700928,0.18213866651058197,-0.0674375519156456,-0.016398465260863304,0.082272008061409,0.17838573455810547,0.26771074533462524,0.023826899006962776,0.29604700207710266
HA1E,0.10424382239580154,0.11465366184711456,-0.12696439027786255,0.02341354638338089,0.05841928720474243,0.07738356292247772,0.12673543393611908,-0.07362770289182663,-0.13633307814598083,0.10635559260845184,0.06729203462600708,0.15833111107349396,-0.0030700399074703455,-0.051866352558135986,-0.09296967834234238,0.2564171850681305,-0.1369432955980301,0.12713101506233215,0.07633194327354431,0.10733278095722198,-0.028290042653679848,-0.12233781814575195,0.07278405129909515,-0.036781199276447296,0.12584130465984344,0.31718385219573975,-0.0016100070206448436,-0.1660466343164444,0.06833859533071518,0.1656145304441452,-0.0003229861904401332,0.08273512125015259,0.007690945640206337,0.171572744846344,0.16594460606575012,-0.03561827912926674,-0.10749530792236328,0.06371515244245529,-0.04947015643119812,-0.15670537948608398,0.1381978541612625,-0.11363052576780319,0.07895288616418839,-0.11975008249282837,0.14335167407989502,-0.030625253915786743,-0.05527104437351227,0.14490215480327606,0.08352658897638321,-0.14066430926322937,-0.05623237043619156,0.2288600653409958,0.13082225620746613,0.14557959139347076,0.14621959626674652,0.050029102712869644,-0.012099404819309711,0.07633999735116959,-0.039962057024240494,0.07843469828367233,-0.14295174181461334,0.3163563907146454,0.25959354639053345,0.14285080134868622,0.23468251526355743,0.19918718934059143,0.20006045699119568,0.08031918853521347,0.3210226595401764,0.14032544195652008,0.05136178806424141,-0.023003656417131424,0.014855324290692806,-0.0484001524746418,0.08993557095527649,-0.03607581555843353,-0.16365768015384674,0.04103017970919609,0.0344189815223217,0.15894094109535217,-0.055443551391363144,0.09420932084321976,0.15179890394210815,-0.0059271869249641895,0.10329876840114594,0.12810693681240082,0.2422477751970291,0.06644928455352783,-0.03384903445839882,-0.11487293243408203,0.2092083990573883,-0.15675848722457886,0.2708550989627838,0.09807273000478745,0.16020946204662323,-0.0876246765255928,-0.004958387464284897,0.21692541241645813,-0.0947609394788742,-0.15143094956874847,-0.04320043325424194
HCC515,0.1509682983160019,0.26702016592025757,0.08175651729106903,0.025064842775464058,0.10129240900278091,0.13957194983959198,0.027921661734580994,0.13691101968288422,0.18709510564804077,0.05998864769935608,0.18388350307941437,0.2129037082195282,0.299211710691452,0.2331112027168274,-0.13431115448474884,0.5371907353401184,-0.08222874999046326,-0.10969479382038116,0.2137117236852646,-0.03255680203437805,0.0448828786611557,-0.03155075013637543,-0.09265575557947159,0.04799320548772812,-0.13171115517616272,0.39231738448143005,-0.24449476599693298,0.19090130925178528,-0.15841969847679138,0.13180455565452576,0.13178691267967224,0.1743769496679306,0.17682325839996338,-0.07717878371477127,-0.15616099536418915,0.08646275848150253,0.1385374516248703,0.13243195414543152,-0.2976376712322235,0.09247986227273941,0.15672674775123596,0.13326168060302734,-0.027478212490677834,0.202591210603714,0.040114764124155045,0.1685631424188614,0.07855868339538574,-0.11669065058231354,0.0038046722766011953,-0.16517823934555054,0.3492203950881958,0.08197174221277237,0.25802356004714966,-0.04787728935480118,0.01890445500612259,0.0072901928797364235,0.17995229363441467,-0.062315791845321655,0.3399801552295685,0.0061257751658558846,0.08163753151893616,0.3501088321208954,0.298386812210083,0.278389573097229,0.13511435687541962,-0.04583115875720978,0.02117316424846649,0.26199644804000854,0.15237051248550415,0.03322640061378479,0.05824626237154007,0.0287921279668808,0.192364901304245,-0.07872088998556137,0.11158112436532974,-0.060712046921253204,0.16670922935009003,0.18358135223388672,0.33390361070632935,0.28925421833992004,0.055884916335344315,0.2636038661003113,0.2102358341217041,0.08105847239494324,0.16189289093017578,0.2829239070415497,0.41664114594459534,0.13133582472801208,-0.00958943273872137,-0.13051164150238037,0.30485475063323975,0.27100831270217896,-0.13852299749851227,-0.06503570824861526,0.03782389312982559,-0.05418916791677475,0.4110511541366577,0.02888341434299946,0.09288225322961807,0.17697271704673767,0.019281508401036263
HT29,0.11355231702327728,0.018820397555828094,0.10615042597055435,0.16590188443660736,0.20598860085010529,-0.02284896932542324,0.12758968770503998,-0.028901226818561554,0.3888236880302429,-0.2080373913049698,0.34313130378723145,0.32865187525749207,0.4340125024318695,0.25390127301216125,0.155521959066391,-0.16054941713809967,0.5264127850532532,-0.15068644285202026,0.10299734026193619,0.19182123243808746,0.3924426734447479,-0.09721603989601135,0.07803718745708466,-0.08471234142780304,-0.1843288689851761,0.15189959108829498,0.06642483174800873,-0.2464064657688141,0.19048845767974854,0.3148965537548065,0.355674684047699,0.25398141145706177,0.19190281629562378,0.031773947179317474,0.20796367526054382,0.3796320855617523,0.09675466269254684,0.3612792491912842,-0.07787065207958221,0.3873441517353058,0.20821067690849304,-0.1419261246919632,0.351968377828598,0.4060399830341339,0.21822567284107208,0.2557554841041565,0.3286246657371521,0.14917904138565063,-0.07258937507867813,0.03591489419341087,-0.29938313364982605,0.08249585330486298,0.13271084427833557,0.4764362871646881,0.36441612243652344,0.19695192575454712,0.4623700678348541,-0.054660964757204056,0.1284390687942505,0.4591204524040222,-0.08308521658182144,-0.14162281155586243,-0.15707366168498993,-0.18757027387619019,0.3922034502029419,0.37668678164482117,0.30756041407585144,-0.11424878984689713,0.4790179431438446,0.390424519777298,-0.18751296401023865,-0.06804437190294266,-0.10010623186826706,0.38327765464782715,0.3250758647918701,0.5007613897323608,-0.03561336547136307,0.052077729254961014,-0.04692239314317703,0.01148149836808443,0.2058929055929184,0.2592643201351166,0.21039320528507233,-0.17221783101558685,0.25830480456352234,0.05876793712377548,0.11138559132814407,0.2049151360988617,0.2727428376674652,-0.15422622859477997,0.4817911386489868,0.39059868454933167,0.4450494050979614,0.28579550981521606,-0.11763767153024673,0.15773911774158478,0.21636775135993958,0.351352334022522,0.004982919432222843,0.19561217725276947,0.04798031598329544
PC3,-0.012368100695312023,-0.05157511308789253,-0.1552305668592453,-0.16433455049991608,0.10806908458471298,0.12862566113471985,-0.05126136541366577,0.09595146775245667,-0.10470473021268845,0.013375155627727509,0.12224423140287399,0.31632477045059204,0.19849921762943268,-0.1323539763689041,0.13290441036224365,0.21033890545368195,-0.10598033666610718,-0.17525608837604523,-0.17495998740196228,0.14551296830177307,0.0998116210103035,-0.07991691678762436,-0.13815894722938538,0.19576990604400635,-0.06159355118870735,0.04755839705467224,0.19954153895378113,0.04980713874101639,-0.09785724431276321,0.026809262111783028,0.2728674113750458,0.23575082421302795,0.06992744654417038,0.09188337624073029,-0.07048635184764862,0.22523362934589386,0.027871662750840187,0.048258520662784576,-0.11767911911010742,0.04525500163435936,0.010475323535501957,-0.09204351902008057,-0.06382907927036285,0.3623008131980896,0.13549987971782684,-0.13632869720458984,0.14428991079330444,0.0893888995051384,-0.04414648935198784,0.08416813611984253,-0.305370032787323,0.0239165797829628,0.09017648547887802,0.15547430515289307,0.08749204128980637,0.012084241956472397,0.10978855192661285,-0.1816408485174179,0.04165691137313843,-0.043391153216362,-0.0656483918428421,-0.057007547467947006,-0.26007387042045593,0.20496036112308502,0.11704383045434952,0.24588440358638763,0.17994298040866852,0.037517137825489044,0.06369650363922119,-0.05991661176085472,0.12353632599115372,0.1580822765827179,0.1493586003780365,0.039223216474056244,0.25234124064445496,-0.1376742720603943,0.08511960506439209,0.06965713948011398,0.0016446621157228947,-0.006664051674306393,-0.09821672737598419,-0.05426918715238571,0.10859429091215134,0.22373268008232117,0.06192599609494209,0.002704581944271922,-0.18589922785758972,0.19524416327476501,0.16690348088741302,0.15463216602802277,0.19684551656246185,0.03534996137022972,0.3609668016433716,0.1828092783689499,0.1571280062198639,0.25268617272377014,-0.12829577922821045,0.32205289602279663,0.30420270562171936,-0.009272274561226368,0.06532344222068787
MCF7,-0.0491500161588192,-0.07895425707101822,-0.21337059140205383,0.08999180793762207,0.06774790585041046,-0.022454651072621346,-0.1738789975643158,-0.32205450534820557,-0.1108698919415474,0.248778834939003,-0.08690402656793594,0.0825362578034401,0.23030447959899902,0.23187577724456787,-0.24177172780036926,0.07693991810083389,0.2547634541988373,-0.3040524423122406,-0.01781224086880684,-0.04774538800120354,-0.040380507707595825,-0.263753205537796,-0.01896522007882595,0.17947715520858765,-0.07141464948654175,0.03141181543469429,-0.20309831202030182,-0.15624958276748657,0.11107576638460159,0.17432959377765656,0.3658943772315979,0.30790483951568604,-0.24555036425590515,-0.08238241821527481,-0.25272899866104126,0.0043509709648787975,0.23136043548583984,-0.01559537835419178,0.042255572974681854,0.022112790495157242,0.41064897179603577,0.3532920777797699,-0.04118475690484047,-0.1680935174226761,0.03747759386897087,0.4619915783405304,0.12909545004367828,0.1565273106098175,0.0780801996588707,-0.050154417753219604,-0.13662895560264587,0.32239261269569397,0.04554278403520584,0.03567403554916382,-0.1953151375055313,-0.08251800388097763,-0.12920545041561127,-0.09751732647418976,-0.004826350137591362,0.09159602969884872,-0.08413443714380264,-0.2675279974937439,-0.3385913372039795,-0.3019506335258484,-0.10558463633060455,0.26001790165901184,0.2747069299221039,0.1180925965309143,-0.056001950055360794,-0.14758536219596863,-0.16559633612632751,-0.16947054862976074,0.17981268465518951,0.21781598031520844,-0.25605684518814087,0.38061240315437317,-0.34240201115608215,-0.35915714502334595,0.012825283221900463,0.1168174222111702,0.21277612447738647,0.2294001579284668,0.37966376543045044,-0.183912456035614,-0.4365524351596832,-0.03270811215043068,-0.034409765154123306,-0.17439669370651245,-0.11665209382772446,0.09633617848157883,-0.19036507606506348,-0.10165143758058548,-0.05937262624502182,0.08210933208465576,0.055605605244636536,-0.291337251663208,-0.13559383153915405,0.13965770602226257,0.116042360663414,-0.28224697709083557,0.1358535885810852
HEPG2,-0.03847454860806465,-0.4144613742828369,0.0901186391711235,0.01843533106148243,0.24408122897148132,-0.26554039120674133,-0.20854651927947998,0.03807303309440613,0.17197731137275696,-0.09926186501979828,0.18133024871349335,0.08482120931148529,0.1281065195798874,0.03307946026325226,-0.35915735363960266,-0.35999247431755066,0.06822661310434341,-0.014359424822032452,0.07196921855211258,0.07518510520458221,-0.2180798053741455,-0.11488290131092072,-0.3438471853733063,0.16361823678016663,0.08266190439462662,0.06427374482154846,0.17793790996074677,0.04598067328333855,0.05460716038942337,-0.14095906913280487,0.22884641587734222,-0.06645654886960983,0.11765167862176895,-0.15627342462539673,-0.15660348534584045,0.026751121506094933,-0.33982303738594055,-0.10993799567222595,0.1506083607673645,0.10250963270664215,-0.04449818655848503,-0.009278464131057262,-0.10801175981760025,0.24046726524829865,0.16755333542823792,0.11412777006626129,-0.2902030646800995,0.3897795081138611,-0.0785103514790535,-0.04482658952474594,0.03391982987523079,0.18557342886924744,-0.20900478959083557,0.06157170608639717,0.04081586003303528,0.06605174392461777,-0.09671565145254135,-0.1255136877298355,-0.33115530014038086,1.2059107348250109e-06,-0.4388880431652069,-0.12267076224088669,0.060960277915000916,0.11119171977043152,0.11481969058513641,0.005770878400653601,0.001216559554450214,0.1990511119365692,0.02933342568576336,-0.2564156651496887,-0.2171604335308075,-0.20228387415409088,0.04024934396147728,0.012168794870376587,-0.15825220942497253,-0.21098209917545319,-0.1505317986011505,-0.12673906981945038,-0.41088011860847473,0.01502717100083828,-0.18301863968372345,0.04306589812040329,-0.24253173172473907,0.0915796086192131,0.16933828592300415,-0.1496502161026001,-0.13490796089172363,0.17413590848445892,-0.11358585208654404,0.12888754904270172,-0.340051531791687,0.05993371829390526,0.46896928548812866,0.1361895054578781,0.06674274057149887,-0.14783701300621033,-0.46597763895988464,0.026848718523979187,-0.2368369698524475,0.15268558263778687,0.1614939570426941
