,P10275,O00327,P18846,P15336,P18848,P18850,Q99626,P49715,P17676,P49716,P16220,Q01094,Q14209,O00716,P18146,P19419,Q99814,P11308,P03372,Q92731,P14921,P15036,Q01543,P01100,P15407,P55317,Q9Y261,P58012,Q08050,Q12778,O43524,P98177,P15976,P23769,P23771,P10070,Q16665,P41235,Q00613,P10914,Q00978,P05412,P17535,Q9UJU2,O75030,P10242,P01106,Q13469,Q16236,P08651,P19838,Q00653,P23511,P04150,P26367,Q06710,P06401,P14859,Q07869,P37231,P10276,Q04864,Q04206,Q01201,Q13127,P48382,O14593,Q01196,Q13761,P19793,P84022,Q13485,P56693,P48431,P48436,P08047,Q02447,P17947,P36956,Q12772,P11831,P42224,P52630,P40763,Q14765,P42229,P51692,P42226,P17542,P15923,Q9NQB0,P05549,Q14186,P04637,Q9H3D4,Q15672,P22415,P11473,P19544,P25490,P37275
A375,0.5611178278923035,0.4648193418979645,0.045525506138801575,0.292356938123703,0.289502888917923,-0.10695245116949081,0.2090490460395813,0.6212648153305054,0.20067675411701202,0.27288585901260376,0.31378066539764404,0.5582160353660583,0.17183110117912292,0.057996418327093124,0.29728028178215027,0.3010322153568268,0.5383346676826477,0.4669943153858185,0.3296229839324951,0.21606390178203583,0.13458099961280823,0.5352049469947815,0.6840939521789551,0.3680548369884491,0.298422247171402,0.31525927782058716,0.7180117964744568,0.30919450521469116,0.5658773183822632,0.4486019015312195,0.5510295629501343,0.1994846761226654,0.7182782888412476,0.6580480933189392,0.4016719162464142,0.4354417026042938,0.5404881238937378,0.34723857045173645,0.15987665951251984,0.6724251508712769,0.21568258106708527,0.4393254816532135,0.3641063868999481,0.6744468212127686,0.18378649652004242,0.21325717866420746,0.47155246138572693,0.36836910247802734,0.5477769374847412,0.3338737189769745,0.21800461411476135,0.035502612590789795,0.07650045305490494,0.2865292727947235,0.5350794792175293,0.3217795193195343,0.4563678503036499,0.5285674929618835,0.2827422618865967,0.2968812584877014,0.15535005927085876,0.3200732469558716,0.1858886331319809,0.2604353427886963,0.4868142604827881,0.15325328707695007,0.23405984044075012,0.1968538910150528,0.6257397532463074,0.13291995227336884,0.4116666913032532,0.4651806354522705,0.24834658205509186,0.5209146738052368,0.31135693192481995,0.5003854036331177,0.3901174068450928,0.7297202944755554,0.3767406642436981,0.38640475273132324,0.4421239495277405,0.3647730052471161,0.37024956941604614,0.5051888227462769,0.8087529540061951,0.23134328424930573,0.23599368333816528,0.4761565029621124,0.6978040933609009,0.2550557553768158,0.5931431651115417,-0.03850590065121651,0.40853482484817505,0.24714252352714539,0.28258609771728516,0.620503306388855,0.2985401749610901,0.3005414605140686,0.6033619046211243,0.42719632387161255,0.0479658879339695
A549,0.15186597406864166,0.1604694277048111,-0.024425283074378967,0.386406272649765,0.33622023463249207,0.33181217312812805,0.21893605589866638,0.5204679369926453,0.13617277145385742,0.03961103409528732,0.22283324599266052,0.3872097432613373,0.3746338486671448,0.24000857770442963,0.24144390225410461,0.23311059176921844,0.4435027241706848,0.31335291266441345,0.01857929676771164,0.29456955194473267,0.20218710601329803,0.2753864824771881,0.2113025188446045,0.4661432206630707,0.22624751925468445,0.2344711720943451,0.351413756608963,0.303135484457016,0.21397370100021362,0.20152290165424347,0.21567291021347046,0.10777491331100464,0.4120124876499176,0.25578537583351135,0.3085806667804718,0.12362982332706451,0.2284565567970276,0.33282607793807983,0.13773028552532196,0.30435019731521606,0.21053153276443481,0.26894110441207886,0.12229461967945099,0.31806114315986633,0.08716412633657455,0.29103386402130127,0.2376682013273239,0.39755746722221375,-0.00984075479209423,0.08022309839725494,0.17771677672863007,0.019549263641238213,0.012304392643272877,0.39089828729629517,0.541189432144165,0.2729569673538208,0.06326872855424881,0.3527025878429413,0.1380281299352646,0.37752407789230347,0.4002380073070526,0.24693869054317474,0.16767235100269318,0.09309729933738708,0.14243051409721375,0.34316790103912354,0.3338342607021332,-0.02531427890062332,0.08700662106275558,0.13305696845054626,0.2297762781381607,0.0411376915872097,0.2592805027961731,0.36126747727394104,0.2914484739303589,0.07453585416078568,0.3454987406730652,0.47014352679252625,0.3846394419670105,0.25373634696006775,0.2322390079498291,0.2899901866912842,0.26001015305519104,0.34543880820274353,0.16380685567855835,0.12581059336662292,0.26421162486076355,0.2420257031917572,0.29133811593055725,0.02743467688560486,0.3066102862358093,0.22754062712192535,0.33622321486473083,0.24906936287879944,0.11235205829143524,0.26312538981437683,0.23805075883865356,0.1258271187543869,0.14413760602474213,-0.09196559339761734,0.013896242715418339
HA1E,0.5058826804161072,0.5077828764915466,0.13372723758220673,0.3217950761318207,0.5693632364273071,0.09913572669029236,0.33206385374069214,0.43594124913215637,0.23445460200309753,0.3507966697216034,0.06706824898719788,0.6260342597961426,0.13708022236824036,0.14389166235923767,0.489482045173645,0.40205326676368713,0.5928084254264832,0.4813503921031952,0.37358105182647705,0.5040008425712585,0.5906229019165039,0.30839189887046814,0.515120804309845,0.6790155172348022,0.6799942851066589,0.25316381454467773,0.3622831702232361,0.2805004119873047,0.5443460941314697,0.5870154500007629,0.3652993440628052,0.12193215638399124,0.4597839117050171,0.3665854334831238,0.13799411058425903,0.5396355986595154,0.15443584322929382,0.37052851915359497,0.4801657795906067,0.6332210302352905,0.617887020111084,0.5062896013259888,0.7370923161506653,0.5540879368782043,0.33134108781814575,0.2449726015329361,0.4701874256134033,0.3164793848991394,0.5952761769294739,0.15223011374473572,0.20847630500793457,0.11647538095712662,0.11128276586532593,0.3402070701122284,0.453377902507782,0.4669462740421295,0.516721248626709,0.4449130594730377,0.19375856220722198,0.5875318646430969,0.30190080404281616,0.4183439314365387,0.3163173496723175,0.23108942806720734,0.4308115243911743,0.5870825052261353,0.5621905326843262,0.3416183590888977,0.4739544093608856,-0.00027836408116854727,0.0673472210764885,0.0708203986287117,0.2298433631658554,0.6454792022705078,0.45041424036026,0.5375385880470276,0.2849532961845398,0.3857724070549011,0.4541400372982025,0.49466508626937866,0.3653530776500702,0.5792656540870667,0.560225784778595,0.4504965543746948,0.4237394630908966,0.49059030413627625,0.4434668719768524,0.46212416887283325,0.3561828136444092,0.08078993111848831,0.5457759499549866,0.24825769662857056,0.1547623574733734,0.2572464942932129,0.18024477362632751,0.6627548933029175,0.4128933548927307,0.24448153376579285,0.45160555839538574,-0.01264815405011177,0.2146146297454834
HCC515,0.6298444271087646,0.32184791564941406,0.532930850982666,0.09050723165273666,0.32756850123405457,0.3964892327785492,0.37450480461120605,0.1799081414937973,0.04881812632083893,0.678674042224884,0.5003129243850708,0.38139253854751587,0.18638595938682556,0.18326377868652344,0.44669362902641296,0.25719624757766724,-0.010770469903945923,0.5235147476196289,0.3936922550201416,0.45756351947784424,0.6759997606277466,0.518174409866333,0.4421713948249817,0.5280051231384277,0.7849467396736145,0.110557422041893,0.10159508883953094,0.41000208258628845,0.12428796291351318,0.22866226732730865,0.40552160143852234,0.32188862562179565,0.4239732623100281,0.0632515698671341,0.255389004945755,0.2836439907550812,0.5905293822288513,0.23558689653873444,0.4511182904243469,0.08601702004671097,0.4157531261444092,0.7514219284057617,0.702517032623291,0.19011357426643372,0.2659398913383484,0.3226071000099182,0.6365144848823547,0.15257684886455536,0.6912167072296143,0.19127747416496277,0.2760329842567444,0.30794093012809753,0.14220835268497467,0.11232219636440277,0.17847603559494019,0.06913914531469345,0.49011602997779846,0.30139967799186707,0.256222128868103,0.6185319423675537,0.47764936089515686,0.5990239977836609,0.31598731875419617,0.16582055389881134,0.06544054299592972,0.24773910641670227,0.19516174495220184,0.43301063776016235,0.2316940873861313,0.27725380659103394,0.2773730158805847,0.32711172103881836,0.338986337184906,0.4426588714122772,0.34558895230293274,0.8418495655059814,0.14509055018424988,0.40897566080093384,0.4607716500759125,0.5140051245689392,0.3413352072238922,0.45569947361946106,0.27011922001838684,0.4322657585144043,0.7559360265731812,0.2951320707798004,0.23651984333992004,0.12539298832416534,0.1512240469455719,0.45744192600250244,0.27153903245925903,0.304766446352005,0.275156170129776,0.21194885671138763,0.573043167591095,0.1876203715801239,0.3729511499404907,0.22442297637462616,0.1627630740404129,0.31147098541259766,0.09641635417938232
HT29,0.35527536273002625,0.05447107180953026,0.10782213509082794,0.3837728798389435,0.39261212944984436,0.13454844057559967,-0.05054478347301483,0.2263079136610031,0.205641508102417,0.09199348837137222,0.17017973959445953,0.4758221507072449,0.6254717111587524,0.45378467440605164,0.12134046852588654,0.08431410044431686,0.2609046399593353,0.18800021708011627,0.06250082701444626,0.2874837815761566,0.18599717319011688,0.1418842077255249,0.15820492804050446,0.3470504581928253,0.10967035591602325,0.15441285073757172,0.15322622656822205,0.3880675435066223,0.35649776458740234,0.2926887273788452,0.5150576233863831,0.40236058831214905,0.3503831923007965,0.21619459986686707,0.26756349205970764,-0.002312768716365099,0.3167361915111542,0.29890507459640503,0.015527348965406418,0.4777492880821228,0.35397472977638245,0.1691046506166458,0.14639028906822205,0.2757151126861572,0.16754820942878723,0.4642565846443176,0.6532949209213257,0.11113161593675613,0.030641376972198486,0.12043855339288712,0.3030320107936859,0.03498978912830353,-0.015232213772833347,0.28826847672462463,0.16112066805362701,0.3878221809864044,0.12035662680864334,0.35548654198646545,0.1846311241388321,0.32684651017189026,0.08523458242416382,0.18945178389549255,0.22772449254989624,0.19471623003482819,0.14573781192302704,0.42275187373161316,0.3149968087673187,0.05972155183553696,0.23135510087013245,0.2376714050769806,0.14915309846401215,0.13729536533355713,0.044062525033950806,0.3316792845726013,0.32884255051612854,0.26023826003074646,0.3384704887866974,0.43607065081596375,0.2644169330596924,0.12164978682994843,0.14072595536708832,0.60654616355896,0.3801516890525818,0.1759042739868164,0.26118236780166626,0.1704406887292862,0.16948461532592773,0.36771178245544434,0.5289208889007568,0.06693848222494125,0.450577050447464,0.3479434549808502,0.5573985576629639,0.4902878701686859,0.3092528283596039,0.3271612524986267,0.34062421321868896,0.20154409110546112,0.1196204349398613,0.07136673480272293,0.3208245635032654
PC3,0.5670387148857117,0.5657330751419067,0.21849341690540314,0.19347701966762543,0.3387654423713684,0.2217167317867279,0.0877951830625534,0.7339266538619995,0.2644214332103729,0.5275840759277344,0.5442010760307312,0.6360891461372375,0.300749272108078,0.32933735847473145,0.3873822093009949,0.396185040473938,0.4705538749694824,0.5143409967422485,0.09888868778944016,0.5154929757118225,0.3750930428504944,0.5840287208557129,0.430018812417984,0.38374078273773193,0.5103339552879333,0.36255311965942383,0.5874953269958496,0.29125022888183594,0.2840730845928192,0.472625195980072,0.3419538140296936,0.29688096046447754,0.5679386258125305,0.6194853186607361,0.2199612259864807,0.2261158972978592,0.3355008661746979,0.6644906997680664,0.5006688237190247,0.5640015602111816,0.3754039704799652,0.3106325566768646,0.353895902633667,0.5460906624794006,0.6117197871208191,0.3666938841342926,0.6328905820846558,0.09652717411518097,0.5440428256988525,0.41033875942230225,0.2623929977416992,0.23841923475265503,0.4210073947906494,0.4675716161727905,0.7228105664253235,0.33178460597991943,0.555945873260498,0.6222533583641052,0.12946073710918427,0.22526299953460693,0.43481335043907166,0.15857423841953278,0.28367313742637634,0.22533075511455536,0.3950025141239166,0.2016182541847229,0.2419825792312622,0.14211811125278473,0.5056455731391907,-0.015258627943694592,0.49424847960472107,0.5252631306648254,0.5381503701210022,0.44070401787757874,0.5793553590774536,0.2932673990726471,0.7201262712478638,0.6985521912574768,0.574065625667572,0.2879090905189514,0.33389270305633545,0.35647454857826233,0.3434534966945648,0.7107601165771484,0.8611276745796204,0.13308775424957275,0.08740918338298798,0.6176193952560425,0.5331868529319763,0.11478367447853088,0.25040745735168457,0.24789303541183472,0.4570870101451874,0.31787508726119995,0.4870140254497528,0.8350167870521545,0.4376274645328522,0.3486701250076294,0.667881965637207,0.4199110269546509,0.36277952790260315
MCF7,0.1956768035888672,0.15157203376293182,0.07476810365915298,0.16975706815719604,0.38825565576553345,0.2829769551753998,0.1774321347475052,0.6147310137748718,0.11836671084165573,0.11621132493019104,0.05195414274930954,0.3754992187023163,0.26208046078681946,0.2437017410993576,0.17589996755123138,0.21145160496234894,0.045032843947410583,0.14806289970874786,0.20110999047756195,0.2601425051689148,0.24515649676322937,0.10764912515878677,0.36459922790527344,0.35039278864860535,0.2830537259578705,0.03998960554599762,0.553695559501648,0.22790078818798065,0.2210717797279358,0.21123269200325012,0.6219505071640015,0.40562453866004944,0.49167951941490173,0.4201408326625824,0.5319192409515381,0.39688509702682495,0.41378897428512573,0.738441526889801,0.10728728026151657,0.3441965579986572,0.16941387951374054,0.49730241298675537,0.09098581224679947,0.6007269620895386,0.1948036402463913,0.14037105441093445,0.03189258649945259,0.13521511852741241,0.5442017912864685,0.22364160418510437,0.09617104381322861,0.08043579757213593,0.29454144835472107,0.4724481999874115,0.14395172894001007,0.06335096061229706,0.2057601362466812,0.3181591331958771,0.2593991458415985,0.012113473378121853,0.15682803094387054,0.16524264216423035,0.09235837310552597,0.12793052196502686,0.10610029846429825,0.5990869402885437,0.5953133702278137,0.05068186670541763,0.3180118501186371,0.0663406252861023,0.12627853453159332,0.15523630380630493,0.5256963968276978,0.048838671296834946,0.16081678867340088,0.11345290392637253,0.09327825158834457,0.38332295417785645,0.5881796479225159,0.15905822813510895,0.23383471369743347,0.09934370964765549,0.07536257058382034,0.37810540199279785,0.6289802193641663,-0.0041770669631659985,0.10050248354673386,0.2055942416191101,0.29845166206359863,-0.0563296377658844,0.3672920763492584,0.07894682139158249,0.01206886488944292,0.1723114550113678,0.16885173320770264,0.4782930612564087,0.18469324707984924,0.3092823028564453,0.5676921010017395,0.23260213434696198,0.03762117773294449
HEPG2,0.7191146612167358,0.15425345301628113,0.5980337262153625,0.2395302802324295,0.27787455916404724,0.01964261196553707,0.45132434368133545,0.3176316022872925,0.46095672249794006,0.36008384823799133,0.17897601425647736,0.41187581419944763,0.22354254126548767,0.16691145300865173,0.39228105545043945,0.15561363101005554,0.28341129422187805,0.3448701798915863,0.6972735524177551,0.17751941084861755,0.7184025049209595,0.45639318227767944,-0.04131440818309784,0.584033191204071,0.5947611331939697,0.033463697880506516,0.2781277298927307,0.5134778022766113,-0.009658942930400372,0.03460928425192833,0.41874727606773376,0.15694469213485718,0.5533131957054138,0.25242942571640015,0.13590386509895325,0.0851099044084549,0.6731749176979065,0.31876587867736816,0.23630960285663605,0.1882152110338211,0.0953725203871727,0.6574050784111023,0.8496004939079285,0.4899229407310486,0.014143713749945164,0.07044265419244766,0.04586755856871605,0.33304229378700256,0.4267182946205139,0.052936799824237823,0.6722356677055359,-0.07664436101913452,0.15565399825572968,0.3345140218734741,0.48929113149642944,0.3330591917037964,0.5132190585136414,0.3373926877975464,0.05731201171875,5.723455274164735e-07,0.5053342580795288,0.2693290710449219,0.3871459364891052,0.18301063776016235,0.01915152370929718,0.39458373188972473,0.37711530923843384,0.5981375575065613,0.4813179075717926,0.32119858264923096,0.27386847138404846,0.29076868295669556,0.3388276994228363,0.2549600303173065,0.15373581647872925,0.7420806288719177,0.1902727633714676,0.5964134931564331,0.078521728515625,0.1369246542453766,0.4993739724159241,0.10258972644805908,0.15639902651309967,0.6647285223007202,0.7622655034065247,0.1920093446969986,0.1809152513742447,0.3368013799190521,0.31318774819374084,0.4330069124698639,0.2289644330739975,0.35347890853881836,0.13156412541866302,0.5299500823020935,0.6850093603134155,0.13670668005943298,0.25910651683807373,0.144501194357872,0.19098025560379028,0.4625304639339447,0.19959761202335358
