model,cell,TF,r
Ensembles,A375,O00327,-0.250206994792192
Ensembles,A375,O00716,0.444380164377535
Ensembles,A375,O14593,0.151915652086429
Ensembles,A375,O43524,0.474770565699475
Ensembles,A375,O75030,0.253378763239397
Ensembles,A375,P01100,0.183026752937439
Ensembles,A375,P01106,0.323984550602765
Ensembles,A375,P03372,0.165347647126465
Ensembles,A375,P04150,-0.0126494145291185
Ensembles,A375,P04637,0.194898369526683
Ensembles,A375,P05412,0.278352261498699
Ensembles,A375,P05549,0.148852595418774
Ensembles,A375,P06401,0.122589823708897
Ensembles,A375,P08047,0.381071331517224
Ensembles,A375,P08651,0.385767105916011
Ensembles,A375,P10070,0.0604437231018728
Ensembles,A375,P10242,-0.205883176391369
Ensembles,A375,P10275,0.257802930503998
Ensembles,A375,P10276,0.115240699736402
Ensembles,A375,P10914,0.167228596290056
Ensembles,A375,P11308,0.0305440543962652
Ensembles,A375,P11473,0.392219560418704
Ensembles,A375,P11831,0.655797412940309
Ensembles,A375,P14859,0.0711023544956767
Ensembles,A375,P14921,0.2730350468022
Ensembles,A375,P15036,0.169223256292742
Ensembles,A375,P15336,0.328780245099827
Ensembles,A375,P15407,0.303769000042949
Ensembles,A375,P15923,0.345655118041028
Ensembles,A375,P15976,0.249045051286848
Ensembles,A375,P16220,0.220902112011238
Ensembles,A375,P17535,0.100835849747807
Ensembles,A375,P17542,0.109240346383302
Ensembles,A375,P17676,0.542124410655738
Ensembles,A375,P17947,0.558212183261324
Ensembles,A375,P18146,0.461365301869353
Ensembles,A375,P18846,0.659818119628809
Ensembles,A375,P18848,0.294957071917188
Ensembles,A375,P18850,0.288134732484154
Ensembles,A375,P19419,0.329859753993171
Ensembles,A375,P19544,-0.016160668051879
Ensembles,A375,P19793,0.054439827855522
Ensembles,A375,P19838,0.486234346464371
Ensembles,A375,P22415,0.374597780261303
Ensembles,A375,P23511,-0.174078821462562
Ensembles,A375,P23769,0.298652046702681
Ensembles,A375,P23771,0.480339872370661
Ensembles,A375,P25490,0.3548340258807
Ensembles,A375,P26367,0.694072717833971
Ensembles,A375,P36956,0.0759593639331369
Ensembles,A375,P37231,0.0368831967921319
Ensembles,A375,P37275,0.478576592512986
Ensembles,A375,P40763,0.347310014610088
Ensembles,A375,P41235,0.307404650618388
Ensembles,A375,P42224,0.309543647568858
Ensembles,A375,P42226,0.185130914516002
Ensembles,A375,P42229,0.172586183646977
Ensembles,A375,P48382,0.0679310374974904
Ensembles,A375,P48431,0.356904178350895
Ensembles,A375,P48436,-0.0681996694622586
Ensembles,A375,P49715,0.0416941155692406
Ensembles,A375,P49716,0.117485190097564
Ensembles,A375,P51692,0.264091209679233
Ensembles,A375,P52630,0.710658029776296
Ensembles,A375,P55317,0.510230331644312
Ensembles,A375,P56693,-0.0337034181552112
Ensembles,A375,P58012,0.50781051069127
Ensembles,A375,P84022,0.0546942544129536
Ensembles,A375,P98177,0.151721870800569
Ensembles,A375,Q00613,0.149431325772301
Ensembles,A375,Q00653,0.119015349183894
Ensembles,A375,Q00978,0.518939149113598
Ensembles,A375,Q01094,0.443863666636388
Ensembles,A375,Q01196,0.360153108762595
Ensembles,A375,Q01201,0.378124845470442
Ensembles,A375,Q01543,0.721427366965291
Ensembles,A375,Q02447,0.541788429649325
Ensembles,A375,Q04206,0.413683420583031
Ensembles,A375,Q04864,0.221283413952352
Ensembles,A375,Q06710,0.543785756425886
Ensembles,A375,Q07869,0.504013734901144
Ensembles,A375,Q08050,0.755605075833775
Ensembles,A375,Q12772,0.129651249651017
Ensembles,A375,Q12778,0.738378365743225
Ensembles,A375,Q13127,0.65597891505811
Ensembles,A375,Q13469,0.27014561511065
Ensembles,A375,Q13485,0.426369505019921
Ensembles,A375,Q13761,0.335578746527726
Ensembles,A375,Q14186,0.260860836540142
Ensembles,A375,Q14209,0.390553179168042
Ensembles,A375,Q14765,0.41443288430857
Ensembles,A375,Q15672,0.366275027517977
Ensembles,A375,Q16236,0.496525240328546
Ensembles,A375,Q16665,-0.276822468462655
Ensembles,A375,Q92731,-0.0375855398752737
Ensembles,A375,Q99626,0.175455810656854
Ensembles,A375,Q99814,0.47637259485663
Ensembles,A375,Q9H3D4,-0.262087143151551
Ensembles,A375,Q9NQB0,0.443580657991898
Ensembles,A375,Q9UJU2,0.466993492469296
Ensembles,A375,Q9Y261,0.642329288768417
Ensembles,A549,O00327,0.0654864964927196
Ensembles,A549,O00716,0.319745278167652
Ensembles,A549,O14593,0.415048385470146
Ensembles,A549,O43524,0.406351907393132
Ensembles,A549,O75030,0.622818285146632
Ensembles,A549,P01100,0.127318427292911
Ensembles,A549,P01106,0.305988959698212
Ensembles,A549,P03372,0.538154684006295
Ensembles,A549,P04150,0.554627555500886
Ensembles,A549,P04637,0.462575176817262
Ensembles,A549,P05412,0.137486881819422
Ensembles,A549,P05549,0.466728299660921
Ensembles,A549,P06401,0.0534162457052151
Ensembles,A549,P08047,0.205554658506728
Ensembles,A549,P08651,0.381494306926168
Ensembles,A549,P10070,0.274892939212719
Ensembles,A549,P10242,0.601548429432359
Ensembles,A549,P10275,0.473178154669232
Ensembles,A549,P10276,0.358758460543316
Ensembles,A549,P10914,0.243804410319863
Ensembles,A549,P11308,0.381326974623664
Ensembles,A549,P11473,-0.020426449165564
Ensembles,A549,P11831,0.462089638317938
Ensembles,A549,P14859,0.433545042395004
Ensembles,A549,P14921,0.192343498361137
Ensembles,A549,P15036,0.313560815777248
Ensembles,A549,P15336,0.512822806815185
Ensembles,A549,P15407,0.00403090356197961
Ensembles,A549,P15923,-0.121995325838897
Ensembles,A549,P15976,0.158092222968885
Ensembles,A549,P16220,0.181012207345064
Ensembles,A549,P17535,0.0230637585497373
Ensembles,A549,P17542,0.496816095070032
Ensembles,A549,P17676,0.318182119025593
Ensembles,A549,P17947,0.494400726682146
Ensembles,A549,P18146,0.264245675407549
Ensembles,A549,P18846,0.527146192241292
Ensembles,A549,P18848,0.431560578431713
Ensembles,A549,P18850,0.333788890215673
Ensembles,A549,P19419,0.424904670859414
Ensembles,A549,P19544,-0.132281016072274
Ensembles,A549,P19793,0.0705525905695552
Ensembles,A549,P19838,0.414574043910776
Ensembles,A549,P22415,0.289789608316778
Ensembles,A549,P23511,0.0257524095171323
Ensembles,A549,P23769,0.606972069768025
Ensembles,A549,P23771,0.3990166571475
Ensembles,A549,P25490,0.197765400284209
Ensembles,A549,P26367,0.150412337588833
Ensembles,A549,P36956,0.592627580809827
Ensembles,A549,P37231,-0.00177624350347812
Ensembles,A549,P37275,0.212985120514601
Ensembles,A549,P40763,0.135707816477054
Ensembles,A549,P41235,0.427808343644545
Ensembles,A549,P42224,0.504375326831074
Ensembles,A549,P42226,0.420375828749131
Ensembles,A549,P42229,0.526362056992748
Ensembles,A549,P48382,0.440620306536456
