,r
O00327,0.895908838915383
O00716,0.6453807047254988
O14593,0.6930375707525508
O43524,0.7276107911237206
O75030,0.6095430173019176
P01100,0.8004864635427504
P01106,0.6708035915048014
P03372,0.7595528755649942
P04150,0.6941945433458978
P04637,0.7670251784589128
P05412,0.8429431826647281
P05549,0.3196309780678329
P06401,0.7638753799933522
P08047,0.8456906301368117
P08651,0.7574383537491591
P10070,0.6416694277013741
P10242,0.4235838404468034
P10275,0.8893640974839033
P10276,0.8441089602084768
P10914,0.5044149154790026
P11308,0.36250630321225924
P11473,0.4786563564855522
P11831,0.778510595656729
P14859,0.8471360384459479
P14921,0.9231618132997
P15036,0.8266488099009728
P15336,0.7834096320930739
P15407,0.8651662475432423
P15923,0.8525917299053787
P15976,0.8808778731797867
P16220,0.6168837874323505
P17535,0.819387942614224
P17542,0.6871940726900976
P17676,0.5818480998861284
P17947,0.9259028556728205
P18146,0.8738788412662875
P18846,0.6992987648162077
P18848,0.8668450880518334
P18850,0.3635714062024232
P19419,0.6473120042121797
P19544,0.3060431569477345
P19793,0.8615165386543658
P19838,0.6522743511578319
P22415,0.832238139097824
P23511,0.2813747130703119
P23769,0.5145630839880196
P23771,0.5766166313094909
P25490,0.5630323608473201
P26367,0.9235875571660178
P36956,0.8016539570815222
P37231,0.8263334932073215
P37275,0.6236412492546705
P40763,0.6961885492724306
P41235,0.5586004824177981
P42224,0.5686889508104412
P42226,0.2484020431334849
P42229,0.830692545226546
P48382,0.6494425748611201
P48431,0.12037955941868123
P48436,0.8147940874681823
P49715,0.8858874492447766
P49716,0.7554044131075893
P51692,0.8162348760975228
P52630,0.7768821441260958
P55317,0.8314037079300017
P56693,0.6023850094574998
P58012,0.6854240139539843
P84022,0.5216032776447163
P98177,0.6614428066926995
Q00613,0.7868864494121468
Q00653,0.6933222191736919
Q00978,0.5700116877158447
Q01094,0.8308401725086082
Q01196,0.8755881804539933
Q01201,0.7436270570718538
Q01543,0.5139824970828505
Q02447,-0.06792551847579532
Q04206,0.415700366021636
Q04864,0.5348330295531853
Q06710,0.7336264288176261
Q07869,0.5798254819097545
Q08050,0.6679667162558103
Q12772,-0.03454397195281826
Q12778,0.7995998712865103
Q13127,0.8340701109516485
Q13469,0.4341858850953697
Q13485,0.6702655280031417
Q13761,0.6541358880331717
Q14186,0.7706167273705368
Q14209,0.6526601125891331
Q14765,0.8905363283366623
Q15672,0.7800756499293513
Q16236,0.862846036491715
Q16665,0.4077207451163243
Q92731,0.8605821078706352
Q99626,0.8614062095388666
Q99814,0.7847739887806853
Q9H3D4,0.8431474593468189
Q9NQB0,0.6695816917020856
Q9UJU2,0.876867706552624
Q9Y261,0.4509328056409353
