,O00327,O00716,O14593,O43524,O75030,P01100,P01106,P03372,P04150,P04637,P05412,P05549,P06401,P08047,P08651,P10070,P10242,P10275,P10276,P10914,P11308,P11473,P11831,P14859,P14921,P15036,P15336,P15407,P15923,P15976,P16220,P17535,P17542,P17676,P17947,P18146,P18846,P18848,P18850,P19419,P19544,P19793,P19838,P22415,P23511,P23769,P23771,P25490,P26367,P36956,P37231,P37275,P40763,P41235,P42224,P42226,P42229,P48382,P48431,P48436,P49715,P49716,P51692,P52630,P55317,P56693,P58012,P84022,P98177,Q00613,Q00653,Q00978,Q01094,Q01196,Q01201,Q01543,Q02447,Q04206,Q04864,Q06710,Q07869,Q08050,Q12772,Q12778,Q13127,Q13469,Q13485,Q13761,Q14186,Q14209,Q14765,Q15672,Q16236,Q16665,Q92731,Q99626,Q99814,Q9H3D4,Q9NQB0,Q9UJU2,Q9Y261
CPC013_VCAP_6H:BRD-A45664787-001-01-4:10,0.13061008,0.017874956,-0.11411017,0.04764852,-0.055657208,-0.06348592,0.022350162,-0.0025746226,-0.064519405,-0.080171406,-0.14731903,-0.00302428,0.12453896,-0.059346497,-0.10238674,-0.03457871,0.028506279,0.087376475,-0.028476954,-0.038348794,-0.06005287,0.0033897161,-0.055501968,-0.07958737,-0.13218099,-0.107629836,-0.0155828595,-0.021990478,0.048322916,-0.13179433,-0.019778013,-0.06362334,-0.054986656,0.049138874,-0.25031513,-0.049684256,-0.041450202,-0.00393489,0.030655324,0.044684753,0.011590093,0.095155776,-0.0061427653,-0.042271137,0.011827171,0.013964593,-0.023416132,0.026557386,-0.14148372,0.13912943,-0.025640175,0.047802478,-0.06614959,-0.011205852,-0.09678602,-0.019111633,0.13260823,-0.10609454,-0.0045279264,-0.08393639,-0.08132213,0.0795733,0.08988187,0.10376793,0.16717812,-0.038845032,0.02762556,-0.056741104,0.0429042,-0.045830607,-0.066293895,-0.005729437,0.1111455,-0.09158811,0.073498696,0.0018168688,-9.4652176e-05,0.01500015,0.037557185,-0.114495814,0.023191899,0.02502817,-6.401539e-05,0.09416908,0.123117775,-0.029149204,0.0026605725,-0.047540367,0.012827933,-0.00052684546,-0.117099434,-0.08489972,0.039261073,-0.016893506,-0.08977622,0.09941918,-0.111444294,-0.03370607,0.063001305,0.08550677,-0.009583831
CPC001_VCAP_6H:BRD-A03359064-001-01-5:10,0.03614655,-0.011595756,-0.16742492,0.14598379,-0.0466066,-0.041345447,-0.060615674,0.012688786,-0.07872647,-0.046329677,-0.06217715,-0.024937004,0.044422448,-0.0149718225,-0.052625448,-0.021584779,0.0057982802,-0.024694562,-0.02859202,-0.050304055,-0.033073425,-0.047305852,0.0026019067,-0.027636796,-0.106904685,-0.069218695,-0.030398667,-0.01226756,0.17963958,-0.1485261,-0.052966535,0.004791051,-0.033075213,0.03457737,-0.15731695,0.0044501126,-0.07900858,-0.117026955,-0.00348863,0.06264438,0.0110324025,0.032289088,0.012284763,-0.06473109,0.007167995,0.07384664,0.07936251,0.03739792,-0.14441925,0.08039421,-0.013344571,0.084755674,-0.05061096,-0.0066844225,-0.036886156,0.03853935,0.09426507,-0.1558482,0.0004912615,-0.15067303,-0.04877132,0.10449445,0.0819439,-0.01949209,0.068566054,0.031900853,0.05310692,-0.024883881,0.09297261,-0.12598172,-0.09999287,-0.03928715,0.114117295,-0.079230696,0.057502985,0.02149345,-6.556511e-06,-0.0130954385,0.031538427,-0.09232795,-0.020420551,-0.11781603,-1.847744e-06,0.09772012,0.11937271,-0.030307561,0.0049893707,0.031746745,-0.055496573,0.00015991926,-0.10706088,-0.12841398,0.06440763,-0.002082482,-0.027892232,0.08723438,-0.06586552,-0.021329522,0.0074184835,0.032493234,-0.010342598
CPC001_VCAP_6H:BRD-A09828896-004-04-5:10,0.12357712,0.018461704,-0.11328906,0.1701966,-0.10224402,-0.033578128,-0.016336739,-0.061831594,-0.055560768,-0.08424324,-0.10131386,-0.023795724,0.09991324,-0.041552782,-0.10126197,-0.04277602,0.033481687,0.031930804,-0.050097078,-0.013601959,-0.047112852,-0.061202914,-0.029179096,-0.04503888,-0.079184696,-0.10352558,-0.06878504,-0.032699883,0.09678942,-0.18011528,-0.03279221,-0.00271447,-0.05415839,0.066431075,-0.22185725,-0.038030967,-0.06377524,-0.20843023,0.009464622,0.08381586,0.018010944,0.036002398,0.025001213,-0.07915291,0.013730824,0.042664587,0.021939933,0.03309971,-0.21311295,0.17500603,-0.026398018,0.08569047,-0.06507458,-0.03384906,0.00979948,0.013540208,0.20385364,-0.105347574,-0.0010922551,-0.14236331,-0.095021695,0.13375148,0.17210367,0.19190198,0.14121068,0.070141345,0.07041861,-0.049151137,0.11554381,-0.1252622,-0.12157476,0.0725559,0.16821235,-0.10148597,0.10697439,0.024276435,-0.00011944771,0.038793102,0.07035476,-0.07296145,-0.010047376,-0.095929205,-8.445978e-05,0.15374506,0.200191,-0.0066916943,0.012677819,0.004169494,-0.035393596,0.0023344755,-0.13447154,-0.13064012,0.045372233,-0.01546149,-0.11716771,0.12263477,-0.13316053,-0.04999125,0.037050754,0.10385096,-0.017813087
CPC001_VCAP_6H:BRD-A15530910-001-01-3:10,0.11591026,-0.012684226,-0.17259967,0.18682122,0.011161089,-0.06787315,-0.014621705,-0.026758581,-0.099033,-0.054442465,-0.12450275,-0.022235781,0.09128463,-0.04512275,-0.11886433,-0.03974524,0.020294964,0.041671574,-0.14544359,-0.04461676,-0.04867229,-0.060522556,-0.037421748,-0.07099685,-0.07111953,-0.09611377,-0.09162477,-0.05722797,0.20143664,-0.21074173,-0.039878786,-0.011561453,-0.044675767,0.03473285,-0.25584787,-0.029921874,-0.07746035,-0.15331814,-0.010807693,0.08683553,0.015493095,0.047236383,-0.017855287,-0.1114099,0.017267346,0.06953555,0.06335902,0.040404737,-0.23942041,-0.09625089,-0.027093008,0.09213106,-0.08135621,-0.011909187,0.004581392,0.008000016,0.16048086,-0.16042483,-0.0030719638,-0.18193173,-0.12061468,0.14556625,0.12997171,0.113520265,0.16903752,0.058013916,0.053647533,-0.05679661,0.11701983,-0.15502903,-0.106343806,0.024378419,0.16793111,-0.101397246,0.036429107,0.0293307,-0.0001500845,-0.04103467,0.009532154,-0.111882865,-0.055204332,-0.14234054,-0.00010699034,0.15587202,0.18009448,-0.009931803,0.006309882,0.016652346,-0.04028958,0.0005927086,-0.16699359,-0.17001587,0.055537596,-0.012227267,-0.112093806,0.14703399,-0.11989671,-0.066314995,0.053815067,0.08465159,-0.012460589
CPC001_VCAP_6H:BRD-A24429032-003-01-6:10,0.11692271,0.0009123683,-0.19152367,0.18285921,0.001214385,-0.080886096,-0.021014333,-0.068977416,-0.097164094,-0.06341505,-0.12242752,-0.029460162,0.14155912,-0.03741692,-0.075567216,-0.0026151538,0.026377022,0.0075062513,-0.0874483,-0.03918016,-0.06812143,-0.06498593,-0.017037958,-0.009257019,-0.13345192,-0.12439409,-0.08380151,-0.052308023,0.14134479,-0.21677157,-0.055844307,-0.022316799,-0.042854726,0.025916487,-0.2687947,-0.0041523427,-0.097717166,-0.18701726,0.006306559,0.080469206,0.014019519,0.07678354,-0.022467338,-0.08613455,0.01052475,0.08895081,0.07139802,0.044376194,-0.21496826,0.02020359,-0.054180875,0.099660784,-0.069677204,-0.035363972,-0.009788871,0.008376896,0.21628961,-0.17814839,-0.00092959404,-0.16576499,-0.07303354,0.13992703,0.16319513,0.08053291,0.100880325,0.078146905,0.061586365,-0.03464769,0.121555686,-0.18091765,-0.10637814,0.0018991232,0.12381616,-0.117908955,0.047980905,-0.01797533,-0.00014048815,-0.037111938,0.01983139,-0.020727277,-0.0076889694,-0.08436841,-0.00010854006,0.124201685,0.1691593,-0.032250196,-0.00018836558,0.009829938,-0.06385797,0.0022095442,-0.14347625,-0.1753962,-0.007895306,-0.011192195,-0.096153855,0.123838425,-0.11608207,-0.061956406,0.029796481,0.094504595,-0.015045524
CPC001_VCAP_6H:BRD-A38898897-003-01-0:10,0.13160294,-0.013540596,-0.1468172,0.20024829,-0.0652765,-0.011300594,-0.05322364,0.0024493039,-0.08129096,-0.0036177635,-0.07024969,-0.018561155,0.10874605,-0.02917035,-0.08843136,-0.036228895,0.015722811,0.014472365,-0.036409587,-0.011970162,-0.030121863,-0.023552448,-0.019258901,-0.037142307,-0.043635562,-0.06898466,-0.035600185,-0.03033799,0.19330275,-0.15658751,-0.044535577,0.01766494,-0.0068787932,0.0720903,-0.17281425,0.012546942,-0.057215273,-0.062436342,0.012222856,0.08594145,0.014019549,0.07323581,0.024697676,-0.058930993,0.0040977597,0.055507362,0.062219143,0.03969407,-0.2022179,0.015434861,0.013481051,0.10277979,-0.060825735,0.00502789,0.06793594,0.03783208,0.08700895,-0.13647395,0.0005220175,-0.07046038,-0.0278714,0.16761225,0.111902684,0.12637049,0.12045652,0.04916939,0.07946433,-0.04065162,0.12499665,-0.12365407,-0.12682444,0.05323118,0.08022499,-0.10487616,0.06713715,0.035896823,-0.00014328957,0.0008664727,0.044237047,-0.025841236,-0.016828716,-0.13821563,-0.000108361244,0.15925592,0.16918188,0.0012662411,0.03970281,0.03160715,-0.06961942,5.6684017e-05,-0.1347419,-0.13367018,0.055054486,-0.012157612,-0.0619964,0.13201952,-0.10679865,-0.029869542,0.017450392,0.06467831,-0.0153592825
CPC001_VCAP_6H:BRD-A39522003-001-01-0:10,0.13128954,-0.00908491,-0.03026098,0.19923595,0.013202548,-0.03663835,-0.035922438,-0.01631239,-0.08869034,-0.041525602,-0.09832445,-0.021545231,0.07456082,-0.038514584,-0.069918305,-0.058264434,0.030915797,0.028871298,-0.035652608,-0.03053981,-0.0463309,-0.04622063,-0.030396134,-0.05573511,-0.09408209,-0.09924179,0.008367389,-0.04337427,0.17493695,-0.17941919,-0.01799035,-0.0015068501,-0.066888094,0.063968,-0.22286531,0.0033689141,-0.06271428,-0.11312294,0.0116254985,0.09449823,0.017097414,0.03707975,0.010360256,-0.060319126,0.0058654547,0.060982645,0.056233168,0.034201026,-0.21177024,-0.013780057,-0.024774715,0.098597705,-0.07175657,0.02676946,0.011065841,0.02141738,0.1239692,-0.028205514,-0.004640043,-0.12180787,-0.04023391,0.1628358,0.11206052,0.23252478,0.09230542,0.02265203,0.07211445,-0.030991167,0.13574757,-0.13900676,-0.12563998,0.11369336,0.10963598,-0.082719,0.06669843,0.026139379,-3.46601e-05,-0.01069425,0.03661242,-0.06596553,-0.013116449,-0.122024536,-1.1980534e-05,0.18864992,0.18068284,-0.0026727617,0.038214058,0.016509712,-0.06779581,0.00038522482,-0.151514,-0.121300966,0.04573202,-0.011526674,-0.03109014,0.14441013,-0.12068558,-0.038326323,0.05395493,0.11227417,-0.013064742
CPC001_VCAP_6H:BRD-A39747742-001-03-5:10,0.12839973,0.0045821667,-0.20619744,0.13982967,-0.07260686,-0.06099063,0.020270348,0.00030994415,-0.045641243,-0.057693988,-0.122686386,-0.025495797,0.18468669,-0.050701335,-0.074983865,-0.059208035,0.025967002,0.0671612,-0.0052397847,0.03064394,-0.061445147,-0.033713102,-0.027616277,-0.05412495,-0.11563885,-0.12994584,-0.04582852,-0.061412245,0.23823053,-0.19465426,-0.04517281,-0.001994744,-0.017473757,0.061234653,-0.27036604,-0.013801217,-0.0756703,-0.15891287,-0.0032456517,0.09258506,0.01691103,0.02963686,0.0071192384,-0.094952285,0.018379688,0.066186965,0.057136893,0.0455724,-0.22394261,0.19272932,0.04576403,0.06280327,-0.062041476,-0.039030552,0.09108776,0.013987601,0.2547069,-0.19207704,0.00067204237,-0.10646886,-0.12918293,0.14574012,0.21252498,0.2373271,0.10034022,0.08512068,0.0809975,-0.03465168,0.10025482,-0.15931532,-0.1308218,0.12323314,0.15202206,-0.14007476,0.042529166,0.012195826,-0.0001757741,-0.018267304,0.041616946,-0.1119014,0.013889521,-0.060825348,-0.00012773275,0.1220662,0.19215001,-0.01692015,0.03935747,-0.03861171,-0.019411862,0.0011911392,-0.13045263,-0.14225084,0.019683197,-0.014764875,-0.040399134,0.1250351,-0.12520659,-0.0600847,0.0058760047,0.08950293,-0.017225206
CPC001_VCAP_6H:BRD-A43930669-003-01-0:10,0.1418311,0.0033719838,-0.20045602,0.185525,-0.043233693,-0.02332294,-0.017996073,-0.01034978,-0.08880347,-0.09419268,-0.12876798,-0.025021583,0.13985491,-0.04647553,-0.10639712,-0.040578127,0.03622088,0.055733323,-0.056431174,-0.062037647,-0.06170848,-0.0009928346,-0.025849268,-0.080387115,-0.11538783,-0.120536566,-0.020592242,-0.038658425,0.20060843,-0.19210854,-0.03602457,0.016275093,-0.049568653,0.057101965,-0.27464765,-0.01398851,-0.0783886,-0.12058243,0.008830279,0.09025937,0.016108304,0.044615507,0.017505854,-0.09059882,0.0148560405,0.051240027,0.04321447,0.048050344,-0.22980249,-0.05050862,0.030207083,0.083577365,-0.08288801,-0.008867025,-0.06795418,0.010041773,0.17671001,-0.18657875,-0.003313601,-0.16278929,-0.10394734,0.14487529,0.14710915,0.13560498,0.14977151,0.076664686,0.06749722,-0.051936224,0.11739889,-0.16722822,-0.128546,-0.0018045306,0.16406205,-0.099963814,0.097170204,0.015535757,-0.000115692616,0.007481098,0.050127417,-0.09682506,-0.009367734,-0.14925998,-8.2314014e-05,0.15056935,0.19537716,-0.00078228116,0.03311988,0.035948724,-0.062106133,0.0012774467,-0.16172501,-0.13722175,0.06624183,-0.01673793,-0.13031417,0.13216448,-0.14651948,-0.04657203,0.057178766,0.11962229,-0.019902289
CPC001_VCAP_6H:BRD-A47633927-001-01-8:10,0.20819962,-0.014128566,-0.19979155,0.2204973,-0.028815448,-0.023388237,0.022024259,-0.0026203096,-0.10086924,-0.08259669,-0.14382888,-0.028367996,0.16021961,-0.061608173,-0.122872084,-0.034485847,0.04957992,0.114008844,-0.14490396,-0.02646768,-0.06665081,-0.03831029,-0.029753655,-0.093494326,-0.14896244,-0.13980028,-0.01161471,-0.051274896,0.16343445,-0.23014319,-0.041769207,0.009730667,-0.07189596,0.0811159,-0.30786636,-0.05258134,-0.09042904,-0.082594305,0.017384082,0.10431041,0.016744465,0.15922993,0.023680285,-0.099925935,0.02141279,0.062214613,0.051870227,0.04864365,-0.24899876,0.03993255,-0.0066794157,0.067469686,-0.08325431,0.014993727,0.018505394,0.025871396,0.2194837,-0.18589193,-0.0065635443,-0.17727965,-0.15084925,0.16855016,0.18157658,0.09478593,0.17394105,0.08313155,0.08121672,-0.06134884,0.14962286,-0.17711923,-0.13968346,-0.006978333,0.1794028,-0.15276006,0.11896625,0.019583687,-9.968877e-05,0.02621597,0.06821519,-0.05799055,-0.015404046,-0.10137671,-6.890297e-05,0.18863282,0.21550238,0.0085736215,0.039927505,-0.0012567341,-0.046920896,0.0025959015,-0.16439167,-0.17541692,0.054238185,-0.023955699,-0.11803156,0.14743376,-0.19432527,-0.06951724,0.09304863,0.15825707,-0.017764926
