"","smile","sig_id"
"16","COCC(=O)NC\C=C\c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1","CPC013_PC3_6H:BRD-K76908866-001-01-9:10"
"17","COCC(=O)NC\C=C\c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1","CPC013_VCAP_6H:BRD-K76908866-001-01-9:10"
"18","COCC(=O)NC\C=C\c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1","LJP001_MCF7_6H:BRD-K76908866-001-03-5:10"
"19","CCCCC(=O)O[C@H]1CCC2C3CCc4cc(O)ccc4C3CC[C@]12C","CPC001_HA1E_6H:BRD-A39747742-001-03-5:10"
"20","CCCCC(=O)O[C@H]1CCC2C3CCc4cc(O)ccc4C3CC[C@]12C","CPC001_HCC515_6H:BRD-A39747742-001-03-5:10"
"21","CCCCC(=O)O[C@H]1CCC2C3CCc4cc(O)ccc4C3CC[C@]12C","CPC001_PC3_6H:BRD-A39747742-001-03-5:10"
"22","CCCCC(=O)O[C@H]1CCC2C3CCc4cc(O)ccc4C3CC[C@]12C","CPC001_VCAP_6H:BRD-A39747742-001-03-5:10"
"23","CCCCC(=O)O[C@H]1CCC2C3CCc4cc(O)ccc4C3CC[C@]12C","CPC017_A375_6H:BRD-A39747742-001-03-5:10"
"24","CCCCC(=O)O[C@H]1CCC2C3CCc4cc(O)ccc4C3CC[C@]12C","CPC017_A549_6H:BRD-A39747742-001-03-5:10"
"25","CCCCC(=O)O[C@H]1CCC2C3CCc4cc(O)ccc4C3CC[C@]12C","CPC017_HEPG2_6H:BRD-A39747742-001-03-5:10"
"26","CCCCC(=O)O[C@H]1CCC2C3CCc4cc(O)ccc4C3CC[C@]12C","CPC017_HT29_6H:BRD-A39747742-001-03-5:10"
"27","CCCCC(=O)O[C@H]1CCC2C3CCc4cc(O)ccc4C3CC[C@]12C","CPC017_MCF7_6H:BRD-A39747742-001-03-5:10"
"28","CCCCC1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1","CPC002_HA1E_6H:BRD-K10843433-001-12-8:10"
"29","CCCCC1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1","CPC002_HCC515_6H:BRD-K10843433-001-12-8:10"
"30","CCCCC1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1","CPC002_PC3_6H:BRD-K10843433-001-12-8:10"
"31","CCCCC1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1","CPC002_VCAP_6H:BRD-K10843433-001-12-8:10"
"32","CCCCC1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1","CPC018_A375_6H:BRD-K10843433-001-12-8:10"
"33","CCCCC1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1","CPC018_A549_6H:BRD-K10843433-001-12-8:10"
"34","CCCCC1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1","CPC018_HEPG2_6H:BRD-K10843433-001-12-8:10"
"35","CCCCC1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1","CPC018_HT29_6H:BRD-K10843433-001-12-8:10"
"36","CCCCC1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1","CPD003_MCF7_6H:BRD-K10843433-001-15-1:10"
"37","CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1","CPC013_A375_6H:BRD-K66175015-001-01-7:10"
"38","CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1","CPC013_A549_6H:BRD-K66175015-001-01-7:10"
"39","CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1","CPC013_HA1E_6H:BRD-K66175015-001-01-7:10"
"40","CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1","CPC013_HCC515_6H:BRD-K66175015-001-01-7:10"
"41","CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1","CPC013_HEPG2_6H:BRD-K66175015-001-01-7:10"
"42","CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1","CPC013_HT29_6H:BRD-K66175015-001-01-7:10"
"43","CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1","CPC013_MCF7_6H:BRD-K66175015-001-01-7:10"
"44","CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1","CPC013_PC3_6H:BRD-K66175015-001-01-7:10"
"45","CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1","CPC013_VCAP_6H:BRD-K66175015-001-01-7:10"
"46","COCC[n+]1c(C)n(Cc2cnccn2)c2c1C(=O)c1ccccc1C2=O","CPC013_A375_6H:BRD-K24681473-004-01-4:10"
"47","COCC[n+]1c(C)n(Cc2cnccn2)c2c1C(=O)c1ccccc1C2=O","CPC013_A549_6H:BRD-K24681473-004-01-4:10"
