	PC3	MCF7	A375	HA1E	HCC515	VCAP	HEPG2	HT29	A549
CPC017_MCF7_6H:BRD-K24201553-003-02-4:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-K24201553-003-02-4:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K24201553-003-02-4:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K24201553-003-02-4:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K24201553-003-02-4:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-K24201553-003-02-4:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-K24201553-003-02-4:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-K24201553-003-02-4:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K26521938-001-04-9:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-K26521938-001-04-9:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-K26521938-001-04-9:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K26521938-001-04-9:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K26521938-001-04-9:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K26521938-001-04-9:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-K26521938-001-04-9:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-K26521938-001-04-9:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-K26521938-001-04-9:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K27737647-300-01-4:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-K27737647-300-01-4:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-K27737647-300-01-4:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K27737647-300-01-4:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K27737647-300-01-4:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K27737647-300-01-4:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-K27737647-300-01-4:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-K27737647-300-01-4:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-K27737647-300-01-4:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K54708045-001-01-3:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-K54708045-001-01-3:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-K54708045-001-01-3:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K54708045-001-01-3:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K54708045-001-01-3:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K54708045-001-01-3:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-K54708045-001-01-3:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-K54708045-001-01-3:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-K54708045-001-01-3:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K59650319-003-01-7:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-K59650319-003-01-7:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-K59650319-003-01-7:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K59650319-003-01-7:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K59650319-003-01-7:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K59650319-003-01-7:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-K59650319-003-01-7:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-K59650319-003-01-7:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-K59650319-003-01-7:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K60184833-001-03-1:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-K60184833-001-03-1:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-K60184833-001-03-1:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K60184833-001-03-1:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K60184833-001-03-1:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K60184833-001-03-1:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-K60184833-001-03-1:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-K60184833-001-03-1:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-K60184833-001-03-1:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K62310379-001-03-0:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-K62310379-001-03-0:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-K62310379-001-03-0:10	0	0	1	0	0	0	0	0	0
CPC011_HA1E_6H:BRD-K62310379-001-08-9:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K62310379-001-03-0:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K62310379-001-03-0:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-K62310379-001-03-0:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-K62310379-001-03-0:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-K62310379-001-03-0:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K63150726-001-01-3:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-K63150726-001-01-3:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-K63150726-001-01-3:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K63150726-001-01-3:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K63150726-001-01-3:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K63150726-001-01-3:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-K63150726-001-01-3:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-K63150726-001-01-3:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-K63150726-001-01-3:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K66782112-001-01-2:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-K66782112-001-01-2:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-K66782112-001-01-2:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K66782112-001-01-2:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K66782112-001-01-2:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K66782112-001-01-2:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-K66782112-001-01-2:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-K66782112-001-01-2:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-K66782112-001-01-2:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K67013324-001-01-5:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-K67013324-001-01-5:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-K67013324-001-01-5:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K67013324-001-01-5:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K67013324-001-01-5:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K67013324-001-01-5:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-K67013324-001-01-5:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-K67013324-001-01-5:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-K67013324-001-01-5:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K67277431-002-03-0:10	1	0	0	0	0	0	0	0	0
CPD001_MCF7_6H:BRD-K67277431-002-07-1:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-K67277431-002-03-0:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K67277431-002-03-0:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K67277431-002-03-0:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K67277431-002-03-0:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-K67277431-002-03-0:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-K67277431-002-03-0:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-K67277431-002-03-0:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K68246049-001-01-4:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-K68246049-001-01-4:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-K68246049-001-01-4:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K68246049-001-01-4:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K68246049-001-01-4:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K68246049-001-01-4:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-K68246049-001-01-4:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-K68246049-001-01-4:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-K68246049-001-01-4:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K73397362-001-01-7:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-K73397362-001-01-7:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-K73397362-001-01-7:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K73397362-001-01-7:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K73397362-001-01-7:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K73397362-001-01-7:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-K73397362-001-01-7:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-K73397362-001-01-7:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-K73397362-001-01-7:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K76568384-001-01-4:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-K76568384-001-01-4:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-K76568384-001-01-4:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K76568384-001-01-4:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K76568384-001-01-4:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K76568384-001-01-4:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-K76568384-001-01-4:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-K76568384-001-01-4:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-K76568384-001-01-4:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K76840893-003-01-7:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-K76840893-003-01-7:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-K76840893-003-01-7:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K76840893-003-01-7:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K76840893-003-01-7:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K76840893-003-01-7:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-K76840893-003-01-7:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-K76840893-003-01-7:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-K76840893-003-01-7:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K78637815-001-01-4:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-K78637815-001-01-4:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-K78637815-001-01-4:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K78637815-001-01-4:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K78637815-001-01-4:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K78637815-001-01-4:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-K78637815-001-01-4:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-K78637815-001-01-4:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-K78637815-001-01-4:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K79930101-300-01-1:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-K79930101-300-01-1:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-K79930101-300-01-1:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K79930101-300-01-1:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K79930101-300-01-1:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K79930101-300-01-1:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-K79930101-300-01-1:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-K79930101-300-01-1:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-K79930101-300-01-1:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K80970344-201-02-9:10	1	0	0	0	0	0	0	0	0
CPC016_MCF7_6H:BRD-K80970344-201-02-9:10	0	1	0	0	0	0	0	0	0
CPC016_A375_6H:BRD-K80970344-201-02-9:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K80970344-201-02-9:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K80970344-201-02-9:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K80970344-201-02-9:10	0	0	0	0	0	1	0	0	0
CPC016_HEPG2_6H:BRD-K80970344-201-02-9:10	0	0	0	0	0	0	1	0	0
CPC016_HT29_6H:BRD-K80970344-201-02-9:10	0	0	0	0	0	0	0	1	0
CPC016_A549_6H:BRD-K80970344-201-02-9:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K81225797-001-01-5:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-K81225797-001-01-5:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-K81225797-001-01-5:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K81225797-001-01-5:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K81225797-001-01-5:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K81225797-001-01-5:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-K81225797-001-01-5:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-K81225797-001-01-5:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-K81225797-001-01-5:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K82823804-001-01-7:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-K82823804-001-01-7:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-K82823804-001-01-7:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K82823804-001-01-7:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K82823804-001-01-7:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K82823804-001-01-7:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-K82823804-001-01-7:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-K82823804-001-01-7:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-K82823804-001-01-7:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K83637872-001-01-7:10	1	0	0	0	0	0	0	0	0
CPC016_MCF7_6H:BRD-K83637872-001-01-7:10	0	1	0	0	0	0	0	0	0
CPC016_A375_6H:BRD-K83637872-001-01-7:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K83637872-001-01-7:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K83637872-001-01-7:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K83637872-001-01-7:10	0	0	0	0	0	1	0	0	0
CPC016_HEPG2_6H:BRD-K83637872-001-01-7:10	0	0	0	0	0	0	1	0	0
CPC016_HT29_6H:BRD-K83637872-001-01-7:10	0	0	0	0	0	0	0	1	0
CPC016_A549_6H:BRD-K83637872-001-01-7:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K84175871-003-02-2:10	1	0	0	0	0	0	0	0	0
CPC016_MCF7_6H:BRD-K84175871-003-02-2:10	0	1	0	0	0	0	0	0	0
CPC016_A375_6H:BRD-K84175871-003-02-2:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K84175871-003-02-2:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K84175871-003-02-2:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K84175871-003-02-2:10	0	0	0	0	0	1	0	0	0
CPC016_HEPG2_6H:BRD-K84175871-003-02-2:10	0	0	0	0	0	0	1	0	0
CPC016_HT29_6H:BRD-K84175871-003-02-2:10	0	0	0	0	0	0	0	1	0
CPC016_A549_6H:BRD-K84175871-003-02-2:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K87510569-001-01-0:10	1	0	0	0	0	0	0	0	0
CPC016_MCF7_6H:BRD-K87510569-001-01-0:10	0	1	0	0	0	0	0	0	0
CPC016_A375_6H:BRD-K87510569-001-01-0:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K87510569-001-01-0:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K87510569-001-01-0:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K87510569-001-01-0:10	0	0	0	0	0	1	0	0	0
CPC016_HEPG2_6H:BRD-K87510569-001-01-0:10	0	0	0	0	0	0	1	0	0
CPC016_HT29_6H:BRD-K87510569-001-01-0:10	0	0	0	0	0	0	0	1	0
CPC016_A549_6H:BRD-K87510569-001-01-0:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K87696786-003-01-0:10	1	0	0	0	0	0	0	0	0
CPC016_MCF7_6H:BRD-K87696786-003-01-0:10	0	1	0	0	0	0	0	0	0
CPC016_A375_6H:BRD-K87696786-003-01-0:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K87696786-003-01-0:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K87696786-003-01-0:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K87696786-003-01-0:10	0	0	0	0	0	1	0	0	0
CPC016_HEPG2_6H:BRD-K87696786-003-01-0:10	0	0	0	0	0	0	1	0	0
CPC016_HT29_6H:BRD-K87696786-003-01-0:10	0	0	0	0	0	0	0	1	0
CPC016_A549_6H:BRD-K87696786-003-01-0:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K92984783-003-02-4:10	1	0	0	0	0	0	0	0	0
CPC016_MCF7_6H:BRD-K92984783-003-02-4:10	0	1	0	0	0	0	0	0	0
CPC011_A375_6H:BRD-K92984783-003-04-0:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K92984783-003-02-4:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K92984783-003-02-4:10	0	0	0	0	1	0	0	0	0
CPC011_VCAP_6H:BRD-K92984783-003-04-0:10	0	0	0	0	0	1	0	0	0
CPC016_HEPG2_6H:BRD-K92984783-003-02-4:10	0	0	0	0	0	0	1	0	0
CPC016_HT29_6H:BRD-K92984783-003-02-4:10	0	0	0	0	0	0	0	1	0
CPC011_A549_6H:BRD-K92984783-003-04-0:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K94176593-001-02-9:10	1	0	0	0	0	0	0	0	0
MUC.CP002_MCF7_6H:BRD-K94176593-001-02-9:15.7	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-K94176593-001-02-9:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K94176593-001-02-9:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K94176593-001-02-9:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K94176593-001-02-9:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-K94176593-001-02-9:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-K94176593-001-02-9:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-K94176593-001-02-9:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K94832621-001-01-5:10	1	0	0	0	0	0	0	0	0
CPC016_MCF7_6H:BRD-K94832621-001-01-5:10	0	1	0	0	0	0	0	0	0
CPC016_A375_6H:BRD-K94832621-001-01-5:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K94832621-001-01-5:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K94832621-001-01-5:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K94832621-001-01-5:10	0	0	0	0	0	1	0	0	0
CPC016_HEPG2_6H:BRD-K94832621-001-01-5:10	0	0	0	0	0	0	1	0	0
CPC016_HT29_6H:BRD-K94832621-001-01-5:10	0	0	0	0	0	0	0	1	0
CPC016_A549_6H:BRD-K94832621-001-01-5:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-K96862998-001-03-1:10	1	0	0	0	0	0	0	0	0
CPC016_MCF7_6H:BRD-K96862998-001-03-1:10	0	1	0	0	0	0	0	0	0
CPC016_A375_6H:BRD-K96862998-001-03-1:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-K96862998-001-03-1:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-K96862998-001-03-1:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-K96862998-001-03-1:10	0	0	0	0	0	1	0	0	0
CPC016_HEPG2_6H:BRD-K96862998-001-03-1:10	0	0	0	0	0	0	1	0	0
CPC016_HT29_6H:BRD-K96862998-001-03-1:10	0	0	0	0	0	0	0	1	0
CPC016_A549_6H:BRD-K96862998-001-03-1:10	0	0	0	0	0	0	0	0	1
CPC002_PC3_6H:BRD-A23072235-050-09-4:10	1	0	0	0	0	0	0	0	0
CPC018_MCF7_6H:BRD-A23072235-050-09-4:10	0	1	0	0	0	0	0	0	0
CPC018_A375_6H:BRD-A23072235-050-09-4:10	0	0	1	0	0	0	0	0	0
CPC002_HA1E_6H:BRD-A23072235-050-09-4:10	0	0	0	1	0	0	0	0	0
CPC002_HCC515_6H:BRD-A23072235-050-09-4:10	0	0	0	0	1	0	0	0	0
CPC002_VCAP_6H:BRD-A23072235-050-09-4:10	0	0	0	0	0	1	0	0	0
CPC018_HEPG2_6H:BRD-A23072235-050-09-4:10	0	0	0	0	0	0	1	0	0
CPC018_HT29_6H:BRD-A23072235-050-09-4:10	0	0	0	0	0	0	0	1	0
CPC018_A549_6H:BRD-A23072235-050-09-4:10	0	0	0	0	0	0	0	0	1
CPC002_PC3_6H:BRD-A29289453-001-03-9:10	1	0	0	0	0	0	0	0	0
CPC018_MCF7_6H:BRD-A29289453-001-03-9:10	0	1	0	0	0	0	0	0	0
CPC018_A375_6H:BRD-A29289453-001-03-9:10	0	0	1	0	0	0	0	0	0
CPC002_HA1E_6H:BRD-A29289453-001-03-9:10	0	0	0	1	0	0	0	0	0
CPC002_HCC515_6H:BRD-A29289453-001-03-9:10	0	0	0	0	1	0	0	0	0
CPC002_VCAP_6H:BRD-A29289453-001-03-9:10	0	0	0	0	0	1	0	0	0
CPC018_HEPG2_6H:BRD-A29289453-001-03-9:10	0	0	0	0	0	0	1	0	0
CPC018_HT29_6H:BRD-A29289453-001-03-9:10	0	0	0	0	0	0	0	1	0
CPC018_A549_6H:BRD-A29289453-001-03-9:10	0	0	0	0	0	0	0	0	1
CPC002_PC3_6H:BRD-A89337244-001-01-1:10	1	0	0	0	0	0	0	0	0
CPC018_MCF7_6H:BRD-A89337244-001-01-1:10	0	1	0	0	0	0	0	0	0
CPC018_A375_6H:BRD-A89337244-001-01-1:10	0	0	1	0	0	0	0	0	0
CPC002_HA1E_6H:BRD-A89337244-001-01-1:10	0	0	0	1	0	0	0	0	0
CPC002_HCC515_6H:BRD-A89337244-001-01-1:10	0	0	0	0	1	0	0	0	0
CPC002_VCAP_6H:BRD-A89337244-001-01-1:10	0	0	0	0	0	1	0	0	0
CPC018_HEPG2_6H:BRD-A89337244-001-01-1:10	0	0	0	0	0	0	1	0	0
CPC018_HT29_6H:BRD-A89337244-001-01-1:10	0	0	0	0	0	0	0	1	0
CPC018_A549_6H:BRD-A89337244-001-01-1:10	0	0	0	0	0	0	0	0	1
CPC002_PC3_6H:BRD-K04146668-001-01-3:10	1	0	0	0	0	0	0	0	0
CPC016_MCF7_6H:BRD-K04146668-001-01-3:10	0	1	0	0	0	0	0	0	0
CPC016_A375_6H:BRD-K04146668-001-01-3:10	0	0	1	0	0	0	0	0	0
CPC002_HA1E_6H:BRD-K04146668-001-01-3:10	0	0	0	1	0	0	0	0	0
CPC002_HCC515_6H:BRD-K04146668-001-01-3:10	0	0	0	0	1	0	0	0	0
CPC002_VCAP_6H:BRD-K04146668-001-01-3:10	0	0	0	0	0	1	0	0	0
CPC016_HEPG2_6H:BRD-K04146668-001-01-3:10	0	0	0	0	0	0	1	0	0
CPC016_HT29_6H:BRD-K04146668-001-01-3:10	0	0	0	0	0	0	0	1	0
CPC016_A549_6H:BRD-K04146668-001-01-3:10	0	0	0	0	0	0	0	0	1
CPC002_PC3_6H:BRD-K05528470-305-01-4:10	1	0	0	0	0	0	0	0	0
CPC016_MCF7_6H:BRD-K05528470-305-01-4:10	0	1	0	0	0	0	0	0	0
CPC016_A375_6H:BRD-K05528470-305-01-4:10	0	0	1	0	0	0	0	0	0
CPC002_HA1E_6H:BRD-K05528470-305-01-4:10	0	0	0	1	0	0	0	0	0
CPC002_HCC515_6H:BRD-K05528470-305-01-4:10	0	0	0	0	1	0	0	0	0
CPC002_VCAP_6H:BRD-K05528470-305-01-4:10	0	0	0	0	0	1	0	0	0
CPC016_HEPG2_6H:BRD-K05528470-305-01-4:10	0	0	0	0	0	0	1	0	0
