	PC3	MCF7	A375	HA1E	HCC515	VCAP	HEPG2	HT29	A549
CPC017_A549_6H:BRD-A09828896-004-04-5:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-A15530910-001-01-3:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-A15530910-001-01-3:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-A15530910-001-01-3:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-A15530910-001-01-3:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-A15530910-001-01-3:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-A15530910-001-01-3:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-A15530910-001-01-3:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-A15530910-001-01-3:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-A15530910-001-01-3:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-A24429032-003-01-6:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-A24429032-003-01-6:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-A24429032-003-01-6:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-A24429032-003-01-6:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-A24429032-003-01-6:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-A24429032-003-01-6:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-A24429032-003-01-6:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-A24429032-003-01-6:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-A24429032-003-01-6:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-A38898897-003-01-0:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-A38898897-003-01-0:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-A38898897-003-01-0:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-A38898897-003-01-0:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-A38898897-003-01-0:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-A38898897-003-01-0:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-A38898897-003-01-0:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-A38898897-003-01-0:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-A38898897-003-01-0:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-A39522003-001-01-0:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-A39522003-001-01-0:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-A39522003-001-01-0:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-A39522003-001-01-0:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-A39522003-001-01-0:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-A39522003-001-01-0:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-A39522003-001-01-0:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-A39522003-001-01-0:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-A39522003-001-01-0:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-A39747742-001-03-5:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-A39747742-001-03-5:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-A39747742-001-03-5:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-A39747742-001-03-5:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-A39747742-001-03-5:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-A39747742-001-03-5:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-A39747742-001-03-5:10	0	0	0	0	0	0	1	0	0
CPC017_HT29_6H:BRD-A39747742-001-03-5:10	0	0	0	0	0	0	0	1	0
CPC017_A549_6H:BRD-A39747742-001-03-5:10	0	0	0	0	0	0	0	0	1
CPC001_PC3_6H:BRD-A43930669-003-01-0:10	1	0	0	0	0	0	0	0	0
CPC017_MCF7_6H:BRD-A43930669-003-01-0:10	0	1	0	0	0	0	0	0	0
CPC017_A375_6H:BRD-A43930669-003-01-0:10	0	0	1	0	0	0	0	0	0
CPC001_HA1E_6H:BRD-A43930669-003-01-0:10	0	0	0	1	0	0	0	0	0
CPC001_HCC515_6H:BRD-A43930669-003-01-0:10	0	0	0	0	1	0	0	0	0
CPC001_VCAP_6H:BRD-A43930669-003-01-0:10	0	0	0	0	0	1	0	0	0
CPC017_HEPG2_6H:BRD-A43930669-003-01-0:10	0	0	0	0	0	0	1	0	0
