,O00327,O00716,O14593,O43524,O75030,P01100,P01106,P03372,P04150,P04637,P05412,P05549,P06401,P08047,P08651,P10070,P10242,P10275,P10276,P10914,P11308,P11473,P11831,P14859,P14921,P15036,P15336,P15407,P15923,P15976,P16220,P17535,P17542,P17676,P17947,P18146,P18846,P18848,P18850,P19419,P19544,P19793,P19838,P22415,P23511,P23769,P23771,P25490,P26367,P36956,P37231,P37275,P40763,P41235,P42224,P42226,P42229,P48382,P48431,P48436,P49715,P49716,P51692,P52630,P55317,P56693,P58012,P84022,P98177,Q00613,Q00653,Q00978,Q01094,Q01196,Q01201,Q01543,Q02447,Q04206,Q04864,Q06710,Q07869,Q08050,Q12772,Q12778,Q13127,Q13469,Q13485,Q13761,Q14186,Q14209,Q14765,Q15672,Q16236,Q16665,Q92731,Q99626,Q99814,Q9H3D4,Q9NQB0,Q9UJU2,Q9Y261
CPC013_A375_6H:BRD-A45664787-001-01-4:10,-0.0012992024,0.0010589957,0.0021083355,-0.0015412569,6.377697e-05,-0.0069473386,0.015230298,-0.014490105,-0.008453801,-0.037445515,-0.013037354,-0.0018667281,-0.011670858,-0.0016783476,-0.005841434,0.017964542,-0.0019495487,0.010375828,-0.010538399,-0.005417347,-0.02216369,0.0024204254,0.043734193,-0.026769489,-0.009462535,-0.01574871,-0.016901493,-0.006547466,0.0053837,-0.0059936643,-0.001296103,-0.003101617,-0.0364694,0.0047120154,-0.048938155,-0.004065037,0.01173687,-0.0031157732,0.0,0.02884978,0.041143775,-0.007105291,0.00472942,-0.0069945157,0.0046312213,-0.013029963,-0.038600236,-0.003397733,-0.0053061247,-0.017607674,0.005107701,-0.0013565421,-0.002565831,-0.024093747,-0.0087403655,-0.0018698275,0.0027610064,0.0049929023,-0.0074476004,-0.053597614,-0.026459187,-0.007793069,0.004720986,-0.00046634674,0.007102266,0.004015684,0.0015492141,-0.007944688,0.023584008,0.0005185008,-0.011983991,-0.0039753914,0.0135035515,-0.0006406009,0.006712854,-0.011247933,-0.00046220422,0.008305311,-0.0040671527,-0.01887849,0.0016604066,0.0063922405,6.5863132e-06,0.012310177,0.008847535,-0.00030827522,-0.014207721,0.0008032322,0.006940067,0.012436807,0.0030984282,-0.0043793917,-0.014044583,0.0014152527,-0.010751903,-3.20971e-05,-0.012531728,-0.0024938583,-2.2113323e-05,0.0069077015,-0.028028429
CPC017_A375_6H:BRD-A03359064-001-01-5:10,-0.004956484,0.004813522,0.00029730797,-0.012248784,0.006916642,-0.0062841773,-0.0033774972,-0.00033523142,0.0018109381,0.0019320846,-0.0013842285,0.00016903877,-0.0015287846,-0.002354294,0.001280725,0.006415546,-0.0019261539,-0.003408447,-0.0008329898,-0.0008125305,-0.00081151724,-0.0027840137,0.005291283,-0.0019290447,-0.00018692017,0.001285106,0.0034367442,-0.0012935549,-0.0016814768,-0.00042307377,0.012158036,-0.0015419126,-0.0006273389,-0.0074038357,-0.016185999,0.01191628,0.0017566085,0.00359267,0.0,-0.0010088682,0.0068030357,-0.0014384985,-0.009078562,-0.00013023615,0.00017815828,-0.00043216348,0.002715379,-0.0090328455,0.011524439,-0.00361377,0.0001424551,0.0023503304,0.0016663969,-0.00502494,-0.0109905,0.010377258,-0.0048065186,0.0008234978,-0.0027419925,0.0008045137,0.0006508231,-0.0056943595,-0.007988781,-0.06603271,-0.0010901093,-0.00056886673,-0.006893724,-0.0058972985,0.003411293,0.0027254224,0.0027717352,-0.08484447,0.0057125688,0.0004697442,-0.0038654208,-0.032452613,-0.00030350685,-0.0063931644,-0.0065496266,0.0011366606,-0.00163275,0.0028651357,1.5854836e-05,-0.009486452,-0.0013971925,-0.005042851,-0.009127617,0.0021725297,0.003433168,0.0045648515,0.0013626814,-0.0061015785,-0.032515675,0.0009454489,-0.0014987588,0.0008684397,0.0022226274,-0.0036662817,0.003359586,0.0016921461,0.0011701286
CPC017_A375_6H:BRD-A09828896-004-04-5:10,-0.0005130768,-0.00015440583,2.7000904e-05,0.0004517138,-0.00016868114,-0.0011961758,0.00094407797,0.00010123849,2.1725893e-05,0.0003579259,0.0005224943,6.1392784e-06,0.00018315017,-0.000159204,-7.984042e-05,0.0020346045,-0.00015240908,-0.00031886995,-8.049607e-05,0.00016278028,0.00019812584,-9.88543e-05,-0.0004351139,-0.00035834312,-0.00015956163,0.00014567375,-0.0016000867,1.2397766e-05,0.00035721064,-0.00012141466,-0.0002835989,0.0001001358,0.00056165457,-0.00041860342,0.00060915947,-0.00060617924,-0.00054621696,0.0008497834,0.0,-0.00056773424,-0.00060015917,0.00019103289,0.0005311072,-0.0002555251,0.00014150143,7.0929527e-06,7.671118e-05,0.00018367171,-0.0006632805,-0.0007239282,0.00066918135,2.5391579e-05,-0.0001963973,0.0003771186,0.00068193674,-0.00013288856,0.00058555603,6.490946e-05,-0.002914846,0.00021150708,-0.0007919669,0.00019311905,0.0004670918,0.0019928813,7.736683e-05,7.909536e-05,-0.00033533573,-0.0012405813,-0.00041112304,-0.0012904108,0.0003350079,0.0018161833,-0.0005272627,0.0001502037,5.9723854e-05,0.0010623634,5.90086e-06,0.00047567487,-0.0007774234,-0.00031805038,0.00029611588,-0.0009060502,2.9802322e-07,-0.00015425682,0.00038173795,-0.00059205294,-0.004252434,0.0005938411,-0.0007189512,-0.0003297329,-0.00011074543,-0.00049299,0.0006532669,0.0002642274,0.00023043156,0.00024268031,0.00015333295,-0.00033003092,0.0027852654,0.004792094,-0.0006966293
CPC017_A375_6H:BRD-A15530910-001-01-3:10,2.9802322e-07,2.682209e-07,5.9604645e-08,-4.976988e-06,5.364418e-07,-9.834766e-07,1.9073486e-06,5.9604645e-08,0.0,8.940697e-08,5.364418e-07,-2.9802322e-08,-1.1920929e-07,-1.1920929e-07,-5.9604645e-08,1.1920929e-07,-2.9802322e-08,-7.4505806e-08,-7.301569e-07,-1.7881393e-07,-5.9604645e-07,-1.4901161e-07,0.0,-3.5762787e-07,-5.9604645e-08,-5.364418e-07,-2.682209e-06,2.3841858e-07,-1.4901161e-07,-1.7881393e-07,-5.9604645e-08,-3.874302e-07,-2.3841858e-07,-1.9818544e-06,-3.0398369e-06,2.503395e-06,0.0,6.556511e-07,0.0,4.172325e-07,4.172325e-07,1.1920929e-07,-2.7418137e-06,-1.013279e-06,5.364418e-07,2.3841858e-07,-4.172325e-07,-2.592802e-06,1.9073486e-06,1.937151e-07,-1.1920929e-07,2.3841858e-07,-1.1920929e-07,-6.4074993e-07,-1.2516975e-06,5.662441e-07,3.5762787e-07,0.0,1.3709068e-06,-1.7881393e-07,-2.5629997e-06,-1.3411045e-06,-5.066395e-07,-4.7683716e-07,3.2782555e-07,-1.7881393e-07,-1.7881393e-06,-4.0233135e-07,-2.3841858e-06,1.4603138e-06,-6.556511e-07,2.5331974e-06,4.7683716e-07,1.1920929e-07,5.364418e-07,-6.198883e-06,-1.4901161e-07,-7.1525574e-07,7.4505806e-07,-1.66893e-06,-2.3841858e-07,1.847744e-06,0.0,-2.8312206e-07,-9.23872e-07,-1.6391277e-06,-1.1771917e-06,-1.7881393e-06,-1.1920929e-07,2.0563602e-06,-4.172325e-07,-1.2218952e-06,-1.0073185e-05,2.3841858e-07,-4.172325e-07,-2.0861626e-07,2.026558e-06,-8.940697e-08,1.9073486e-06,4.4703484e-07,2.9802322e-07
CPC017_A375_6H:BRD-A24429032-003-01-6:10,9.995699e-05,3.2782555e-06,-1.4305115e-06,1.3142824e-05,-4.172325e-06,2.3007393e-05,9.417534e-05,-8.7320805e-06,2.9742718e-05,-8.529425e-05,-3.668666e-05,-5.364418e-07,2.413988e-06,-4.0322542e-05,1.1324883e-06,-8.225441e-06,4.7683716e-07,-2.95192e-05,-4.0233135e-06,1.5556812e-05,4.053116e-06,2.2143126e-05,-0.00019532442,-8.761883e-06,-5.722046e-06,1.8507242e-05,-3.9696693e-05,0.00017923117,-6.67572e-06,-2.9921532e-05,6.914139e-06,-3.874302e-07,3.4451485e-05,-1.2010336e-05,2.3782253e-05,-0.00014215708,-1.7464161e-05,3.9041042e-06,0.0,1.6331673e-05,1.7404556e-05,1.2993813e-05,6.791949e-05,1.1920929e-06,2.503395e-06,8.895993e-05,-3.97861e-05,7.161498e-05,-0.0001847744,-1.385808e-05,1.7285347e-05,7.0929527e-06,-6.145239e-05,-1.3753772e-05,4.3451786e-05,-4.3332577e-05,7.480383e-06,-2.6226044e-06,-2.4855137e-05,5.662441e-07,-1.4722347e-05,-4.827976e-06,5.6236982e-05,8.434057e-05,-9.536743e-07,5.364418e-06,-1.9609928e-05,1.0818243e-05,1.6272068e-05,8.609891e-05,-2.6226044e-05,-1.1503696e-05,-4.7683716e-06,-1.0371208e-05,2.938509e-05,0.00010409951,-1.2546778e-05,6.0111284e-05,-1.3887882e-05,-1.66893e-05,1.4424324e-05,-5.7816505e-05,0.0,2.9727817e-05,5.158782e-05,5.2273273e-05,-3.5762787e-07,1.0788441e-05,-2.8192997e-05,4.529953e-06,-0.00011140108,-4.0501356e-05,0.0003517866,6.476045e-05,-5.9604645e-07,1.847744e-06,0.00024658442,-8.34465e-07,2.670288e-05,4.222989e-05,0.00017240644
CPC017_A375_6H:BRD-A38898897-003-01-0:10,0.0021994412,0.028550148,-5.722046e-05,-0.011413246,-0.00387609,-0.0043192506,0.014349818,-0.0010468662,-0.0036242902,-0.0043369234,-0.010162175,0.00021448731,-0.0016930848,-0.009951979,-0.00022542477,-0.0010929704,0.00045070052,0.0030444711,-0.0026957393,0.0005646348,0.002204299,0.002152592,-0.003671229,-0.003659159,0.00010281801,0.000713557,-0.0025416613,2.0503998e-05,0.0033918917,-0.0021621585,-0.0032476783,-0.00053063035,-0.011864603,0.010733098,-0.02262336,-0.005025625,-0.0014259219,-0.00087583065,0.0,0.00061273575,0.002722323,0.00041764975,0.0009967387,-0.0034912229,0.0026873946,-0.010897338,-0.0002462268,0.0069377422,-0.013482809,-0.000577718,0.0014457703,0.00375098,-0.002619952,-0.0025102347,-0.0010479093,-0.0039634407,0.00081789494,-0.00016129017,-0.00074744225,0.001291424,-0.014368504,-0.012798816,0.00037440658,0.015108675,0.00011663139,-0.00034874678,-0.00236094,0.0021217465,0.002546966,0.006143272,-0.00036275387,0.013753235,0.021817684,-0.0026304126,0.0012910366,0.017674923,0.0010001659,0.0015625656,-0.0037486851,-0.1366604,-0.0012066364,-0.004021883,2.8699636e-05,-0.0005481094,0.0034151375,-0.001899004,0.00195764,0.0021856427,-1.1265278e-05,0.033773005,-0.002912283,-0.0010645688,0.01809436,0.002081722,-0.0011535883,-2.0444393e-05,-0.00356856,-0.004857093,0.0019132793,0.0027430058,-0.013257474
CPC017_A375_6H:BRD-A39522003-001-01-0:10,-5.662441e-07,2.9802322e-07,5.9604645e-08,-5.6624413e-06,0.0,1.1026859e-06,2.861023e-06,-3.5762787e-07,2.0861626e-07,1.013279e-06,1.1324883e-06,0.0,-8.046627e-07,1.4901161e-07,2.9802322e-07,5.364418e-07,-4.7683716e-07,7.4505806e-08,1.3411045e-07,5.9604645e-07,-1.0728836e-06,-4.7683716e-07,1.2516975e-06,0.0,-4.172325e-07,-9.834766e-07,-1.7285347e-06,1.0877848e-06,-4.7683716e-07,-2.3841858e-07,5.9604645e-08,-1.7881393e-07,-1.3709068e-06,-1.1175871e-06,-1.847744e-06,2.2649765e-06,-2.9802322e-07,1.1920929e-06,0.0,5.9604645e-08,1.5497208e-06,-2.9802322e-07,-1.0728836e-06,-5.364418e-07,2.3841858e-07,7.748604e-07,-6.556511e-07,-3.3974648e-06,3.6358833e-06,-4.4703484e-08,-1.7881393e-07,2.3841858e-07,1.847744e-06,2.9802322e-08,-1.013279e-06,1.2218952e-06,-2.9802322e-08,1.1920929e-07,1.0728836e-06,-5.9604645e-07,-1.5199184e-06,-8.940697e-07,-4.4703484e-07,-1.7881393e-07,-2.8312206e-07,1.7881393e-07,-7.4505806e-07,-9.983778e-07,-2.4437904e-06,3.516674e-06,1.3113022e-06,1.7285347e-06,0.0,-1.1920929e-07,-2.9802322e-07,-9.5665455e-06,-2.9802322e-08,-7.4505806e-07,1.5497208e-06,2.9802322e-07,-2.9802322e-08,1.7881393e-07,0.0,-5.364418e-07,-1.5199184e-06,-6.556511e-07,-4.4703484e-08,-2.0861626e-06,4.7683716e-07,9.23872e-07,2.9802322e-07,8.6426735e-07,-1.2814999e-05,-1.4305115e-06,-5.9604645e-08,-1.4901161e-07,1.1920929e-06,-8.940697e-08,1.1324883e-06,-8.6426735e-07,1.9073486e-06
CPC017_A375_6H:BRD-A39747742-001-03-5:10,-0.004457772,-0.0020658076,4.386902e-05,0.0014123619,0.0020008683,0.034679025,-0.008466423,0.19723281,0.0029803813,0.00465101,0.025018454,0.00048592687,0.12403364,-0.0056754947,-0.00033444166,-0.0053863525,-0.0023007095,-0.030594885,0.057798162,0.003530085,0.0045568943,-0.00786221,0.0005096197,0.01194036,0.0022923946,0.00576964,0.037221074,-0.00030960143,-0.0017929673,0.0014899373,0.00765568,0.0016602874,0.0018390417,0.008182347,0.041912317,0.02415973,0.00016343594,0.00054585934,0.0,0.002869904,-0.0021284223,-0.033948302,0.039777875,0.0095767975,-0.006903589,0.00025081635,0.0039407313,-0.0016910434,-0.00580585,-0.0021287054,-0.011116445,0.008860707,-0.008625269,-0.00013761222,0.00985986,0.009665728,-0.001887083,9.3221664e-05,-0.0060101748,-0.0005813837,0.0371795,0.00484398,-0.0016645491,0.018716365,0.0003157407,-0.0008069873,-0.016666442,0.0023795217,0.0010541081,-0.0019395351,-0.0026281476,0.019138724,-0.0038469434,0.004627228,0.002570033,-0.00044548512,0.00097617507,0.00059074163,0.0045359135,0.0029996037,-0.041283548,-0.0053500533,1.1980534e-05,0.00036409497,0.010727346,0.019617826,0.10508387,0.00541085,-0.0006636977,-0.0014462769,-0.0072277784,0.00053581595,-0.0055179596,-0.0047686696,-0.0694139,0.0011371374,0.01358223,0.0005495846,0.021851718,0.037742376,0.005022198
CPC017_A375_6H:BRD-A43930669-003-01-0:10,0.00014984608,0.0014129579,0.00019681454,-0.002886951,-0.00012767315,-0.00016012788,0.004209459,-0.0025465786,-0.0016534626,-0.0016867518,-0.0022338629,-0.00027802587,-0.002319783,-0.00020617247,-0.00017023087,0.001542151,-0.00010019541,0.00062438846,-0.001973331,-0.0008773804,-0.0018790364,-0.00019335747,0.0015972853,-0.003436774,-0.00014460087,-0.0013498962,-0.0005642772,-9.3758106e-05,0.00069628656,-0.0005182624,0.0017802715,-0.0009665489,-0.0059141517,-1.7777085e-05,-0.0069767237,-0.0029562712,0.0016986132,0.00010818243,0.0,-0.0003516078,0.0059757233,-0.0011591315,0.00021213293,-0.0010873675,0.00040119886,-0.0028913617,-0.0063931644,2.8312206e-06,-0.0014517903,-0.0024383515,0.00083076954,0.0001487732,-2.3424625e-05,-0.0029068887,-0.0028095245,-0.00067043304,-0.0011094809,0.00053578615,-0.0013375878,-0.008526087,-0.0021434724,-0.0016832352,0.000114917755,-0.0044757426,0.00014701486,3.451109e-05,-0.0003310144,0.00056257844,0.0028083622,0.00175789,-0.0007159114,-0.0034034252,0.0020692348,-0.0008139014,0.0009238124,-0.0009025037,2.488494e-05,0.0010932386,-0.0016934872,-0.0024027824,6.556511e-05,0.0006625056,2.1994114e-05,0.0008673817,0.0022265762,-0.00076428056,-0.00012154877,0.0005943775,0.0005982518,0.0026255846,-0.0001925826,-0.0017552078,0.00047248602,1.8894672e-05,-0.0012269616,-8.559227e-05,-0.0026985407,-0.0014732182,0.0013229847,0.0013795197,-0.0034600496
CPC017_A375_6H:BRD-A47633927-001-01-8:10,-0.0006952882,-7.161498e-05,2.503395e-06,0.00040981174,9.340048e-05,0.00040876865,-0.0014255643,-2.6881695e-05,-0.001209259,-2.7000904e-05,0.0014226735,7.459521e-05,-0.0001322031,-0.00036644936,-0.0012604892,-0.00040555,4.7266483e-05,-0.0005570501,-0.008929729,0.00024300814,0.00047039986,-0.03268662,0.0007776618,0.00031214952,-0.00022864342,0.00045335293,-0.00054073334,-2.4169683e-05,-0.000534147,6.1273575e-05,0.002393961,-1.9520521e-05,0.0002065897,0.0010272712,0.0015317798,-0.00014346838,-0.00014030933,-0.00046539307,0.0,0.00057709217,-5.507469e-05,0.015094519,0.0018262863,4.0888786e-05,6.0141087e-05,0.00069236755,-0.00033214688,5.507469e-05,0.0033113956,7.122755e-06,0.7029786,-0.00013583899,-0.00088971853,-0.0003824532,0.0011088252,-0.00080901384,-0.0018551946,5.6624413e-06,0.002102077,-0.00018951297,-0.00024333596,0.00029304624,-0.0004529357,0.0065619946,0.0011172444,5.3167343e-05,-0.00074902177,-0.0013056099,0.0007594824,0.00014704466,-0.0004031062,0.0030875802,-0.0001578629,-0.00026464462,0.0008262396,0.0040302575,1.3589859e-05,0.0017879307,-0.000200212,0.0013999939,0.030157894,-0.00048023462,-1.0430813e-06,-0.0005311966,0.0015776157,0.00028455257,-0.000102996826,-0.00020951033,-0.00023365021,-0.00019735098,-0.0002452135,-0.00015810132,6.791949e-05,-0.0013949573,-0.0010007024,-8.7469816e-05,-5.4359436e-05,-0.00013011694,-0.0032182634,-0.0014660656,0.00077942014
