"",sample,TF,activity,delta,r,name,drug,max_score,keep
"18",CPC017_A375_6H:BRD-K11911061-003-02-8:10,P23769,0.7797417,-0.23904255,0.781499024019569,GATA2,COc1ccc(NC(=O)c2ccc(cc2)-c2ccc(cc2C)-c2noc(C)n2)cc1N1CCN(C)CC1,0.23904255,TRUE
"19",CPC012_A375_6H:BRD-K13810148-001-02-1:10,P10070,0.178677,0.30233535,0.783975605293958,GLI2,CCN(CC)Cc1ccc2cc(COC(=O)Nc3ccc(cc3)C(=O)NO)ccc2c1,0.30233535,TRUE
"20",CPC009_A375_6H:BRD-K45435259-003-09-5:10,P41235,0.8464647,-0.2718181,0.862982472303583,HNF4A,CN1CCc2cc(Cl)c(O)cc2[C@H](C1)c1ccccc1,0.2718181,TRUE
"21",CPC011_A375_6H:BRD-K27184429-001-07-4:10,P10914,0.1762924,0.3509636,0.844896631265978,IRF1,OC(=O)COCCN1CCN(CC1)[C@H](c1ccccc1)c1ccc(Cl)cc1,0.3509636,TRUE
"22",CPC014_A375_6H:BRD-K05804044-001-01-1:10,Q00978,0.9623997,-0.32807514,0.864885071345723,IRF9,Cc1ccc(NC(=O)c2cccc(c2)C(C)(C)C#N)cc1Nc1ccc2ncn(C)c(=O)c2c1,0.32807514,TRUE
"23",CPC013_A375_6H:BRD-K24681473-004-01-4:10,P05412,0.9539339,-0.27676368,0.836920425125924,JUN,COCC[n+]1c(C)n(Cc2cnccn2)c2c1C(=O)c1ccccc1C2=O,0.27676368,TRUE
"24",CPC017_A375_6H:BRD-K47639036-003-03-3:10,P01106,0.1096003,0.42717505,0.697129016426341,MYC,Cc1c(oc2c(cccc2c1=O)C(=O)OCCN1CCCCC1)-c1ccccc1,0.42717505,TRUE
"25",CPC013_A375_6H:BRD-K24681473-004-01-4:10,P19838,0.9805289,-0.49410504,0.84911849850499,NFKB1,COCC[n+]1c(C)n(Cc2cnccn2)c2c1C(=O)c1ccccc1C2=O,0.49410504,TRUE
"26",CPC009_A375_6H:BRD-K45435259-003-09-5:10,P04150,0.8284473,-0.2956049,0.802665668556655,NR3C1,CN1CCc2cc(Cl)c(O)cc2[C@H](C1)c1ccccc1,0.2956049,TRUE
"27",CPC017_A375_6H:BRD-K67298865-001-03-3:10,Q06710,0.8920765,-0.2693728,0.864118516942309,PAX8,NC(=O)c1ccc(cc1)-c1nc(c([nH]1)-c1ccccn1)-c1ccc2OCOc2c1,0.2693728,TRUE
"28",CPC017_A375_6H:BRD-K06426971-001-01-9:10,P10276,0.8061096,-0.23443615,0.766410669211146,RARA,Cc1nc2c(s1)C(=O)C=C(Nc1ccc(C)cc1)C2=O,0.23443615,TRUE
"29",CPC015_A375_6H:BRD-K95435023-001-01-0:10,Q04864,0.9694914,-0.33785698,0.800944945630663,REL,Cc1[nH]c(\C=C2/C(=O)Nc3ccc(cc23)S(=O)(=O)Cc2c(Cl)cccc2Cl)c(C)c1C(=O)N1CCC[C@@H]1CN1CCCC1,0.33785698,TRUE
"30",CPC013_A375_6H:BRD-K24681473-004-01-4:10,Q04206,0.988982,-0.36559543,0.839694856482963,RELA,COCC[n+]1c(C)n(Cc2cnccn2)c2c1C(=O)c1ccccc1C2=O,0.36559543,TRUE
"31",CPC013_A375_6H:BRD-K24681473-004-01-4:10,Q13485,0.929439,-0.28875247,0.828098627790713,SMAD4,COCC[n+]1c(C)n(Cc2cnccn2)c2c1C(=O)c1ccccc1C2=O,0.28875247,TRUE
"32",CPC017_A375_6H:BRD-K43330982-001-01-5:10,P48431,0.9001286,-0.23534238,0.675359677058608,SOX2,CC(C)c1cc(NNC(=O)Nc2cc(Cl)nc(Cl)c2)nc2n(C)nc(C)c12,0.23534238,TRUE
"33",CPC014_A375_6H:BRD-K01253243-001-01-4:10,P48436,0.917895,-0.25015557,0.903680599657918,SOX9,CN(C)CCOc1ccc(cc1)-c1nc(c([nH]1)-c1ccc2c(CC\C2=N\O)c1)-c1ccncc1,0.25015557,TRUE
"34",CPC014_A375_6H:BRD-K05804044-001-01-1:10,P08047,0.09701722,0.2412407,0.788157042773601,SP1,Cc1ccc(NC(=O)c2cccc(c2)C(C)(C)C#N)cc1Nc1ccc2ncn(C)c(=O)c2c1,0.2412407,TRUE
"35",CPC017_A375_6H:BRD-K82823804-001-01-7:10,P17947,0.9337458,-0.5184619,0.906124551852065,SPI1,Oc1ccc2[nH]c3cc(c4C(=O)NC(=O)c4c3c2c1)-c1ccccc1,0.5184619,TRUE
"36",CPC011_A375_6H:BRD-K43236057-001-04-8:10,P42224,0.1552967,0.33970487,0.827336928887696,STAT1,OC[C@H]1O[C@@H](Oc2cc(O)cc(\C=C\c3ccc(O)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,0.33970487,TRUE
"37",CPC018_A375_6H:BRD-K73290745-003-01-8:10,P52630,0.09091001,0.29543132,0.856986168729965,STAT2,CN([C@H](CN1CCCC1)c1ccccc1)C(=O)Cc1ccc(Cl)c(Cl)c1,0.29543132,TRUE
"38",CPC009_A375_6H:BRD-K45435259-003-09-5:10,P42229,0.09974734,0.23480867,0.856077901335943,STAT5A,CN1CCc2cc(Cl)c(O)cc2[C@H](C1)c1ccccc1,0.23480867,TRUE
"39",BRAF001_A375_6H:CMAP-000:-666,P17542,0.115807405931874,0.39823475,0.846530161550529,TAL1,Ctrl_UnTrt,0.39823475,TRUE
