model,cell,TF,r
Ensembles,A549,O00327,-0.00574456403302788
Ensembles,A549,O00716,0.314028081092807
Ensembles,A549,O14593,0.386607769600091
Ensembles,A549,O43524,0.423590024568134
Ensembles,A549,O75030,0.687671393360869
Ensembles,A549,P01100,0.0576265793829662
Ensembles,A549,P01106,0.300889059671648
Ensembles,A549,P03372,0.111243128530544
Ensembles,A549,P04150,0.415058792954457
Ensembles,A549,P04637,0.0994975279973876
Ensembles,A549,P05412,0.1754828884917
Ensembles,A549,P05549,0.489091025317662
Ensembles,A549,P06401,0.132683109624203
Ensembles,A549,P08047,0.0181034291706874
Ensembles,A549,P08651,0.401675632041466
Ensembles,A549,P10070,0.301541196152005
Ensembles,A549,P10242,0.574148373162835
Ensembles,A549,P10275,0.667141405576484
Ensembles,A549,P10276,0.572684992370461
Ensembles,A549,P10914,0.144571180600628
Ensembles,A549,P11308,0.309982521127276
Ensembles,A549,P11473,0.184053420623445
Ensembles,A549,P11831,0.387410468852
Ensembles,A549,P14859,0.604592406017339
Ensembles,A549,P14921,0.0826492516533261
Ensembles,A549,P15036,0.308844417730568
Ensembles,A549,P15336,0.667183577733279
Ensembles,A549,P15407,-0.0421550172146323
Ensembles,A549,P15923,0.0847047869896597
Ensembles,A549,P15976,0.191946715333658
Ensembles,A549,P16220,0.381178226241556
Ensembles,A549,P17535,0.0156917548864285
Ensembles,A549,P17542,0.447233672357914
Ensembles,A549,P17676,0.483916697009913
Ensembles,A549,P17947,0.508188871609443
Ensembles,A549,P18146,0.333978419299119
Ensembles,A549,P18846,0.594904883793278
Ensembles,A549,P18848,0.632094748908258
Ensembles,A549,P18850,0.0493145010877188
Ensembles,A549,P19419,0.444852870740536
Ensembles,A549,P19544,-0.0366719546980027
Ensembles,A549,P19793,0.240287426072633
Ensembles,A549,P19838,0.417673970857827
Ensembles,A549,P22415,0.28025660499997
Ensembles,A549,P23511,0.152779462812783
Ensembles,A549,P23769,0.617726071456702
Ensembles,A549,P23771,0.289681517434331
Ensembles,A549,P25490,0.365759033157245
Ensembles,A549,P26367,-0.0535082453479173
Ensembles,A549,P36956,0.553045086569859
Ensembles,A549,P37231,0.285836986123013
Ensembles,A549,P37275,0.125458783438481
Ensembles,A549,P40763,0.250814497410142
Ensembles,A549,P41235,0.347426752937208
Ensembles,A549,P42224,0.550118822948887
Ensembles,A549,P42226,0.420766472686742
Ensembles,A549,P42229,0.678516338570297
Ensembles,A549,P48382,0.398283966456481
Ensembles,A549,P48431,0.446349362432118
Ensembles,A549,P48436,0.45359967926734
Ensembles,A549,P49715,0.425336052880608
Ensembles,A549,P49716,0.483093976239392
Ensembles,A549,P51692,0.606835054956281
Ensembles,A549,P52630,0.500170964476283
Ensembles,A549,P55317,0.483054634852273
Ensembles,A549,P56693,0.460748793093796
Ensembles,A549,P58012,0.453571036428757
Ensembles,A549,P84022,-0.105484218171037
Ensembles,A549,P98177,0.193450500384871
Ensembles,A549,Q00613,-0.0399360421351601
Ensembles,A549,Q00653,0.634332294593399
Ensembles,A549,Q00978,0.41251069534864
Ensembles,A549,Q01094,0.684187057046205
Ensembles,A549,Q01196,0.280574193332321
Ensembles,A549,Q01201,0.330549750710678
Ensembles,A549,Q01543,0.302520308655057
Ensembles,A549,Q02447,-0.0317928597273163
Ensembles,A549,Q04206,0.462390372150472
Ensembles,A549,Q04864,0.325917362995904
Ensembles,A549,Q06710,0.256298698394766
Ensembles,A549,Q07869,0.1204539625249
Ensembles,A549,Q08050,0.625752939107935
Ensembles,A549,Q12772,0.299694606844535
Ensembles,A549,Q12778,0.310604227942196
Ensembles,A549,Q13127,0.567120625762846
Ensembles,A549,Q13469,0.0702905393589006
Ensembles,A549,Q13485,0.65185305183005
Ensembles,A549,Q13761,-0.182840996370795
Ensembles,A549,Q14186,0.361795344899046
Ensembles,A549,Q14209,0.558172392393315
Ensembles,A549,Q14765,0.277702517668008
Ensembles,A549,Q15672,0.462101780383796
Ensembles,A549,Q16236,0.327902005270713
Ensembles,A549,Q16665,0.178792165315963
Ensembles,A549,Q92731,0.547339080520018
Ensembles,A549,Q99626,0.173404150741541
Ensembles,A549,Q99814,0.463188113349927
Ensembles,A549,Q9H3D4,-0.0379605100640076
Ensembles,A549,Q9NQB0,0.770817777464442
Ensembles,A549,Q9UJU2,0.698520084312202
Ensembles,A549,Q9Y261,0.52978488222095
Ensembles,HA1E,O00327,0.471460018510705
Ensembles,HA1E,O00716,0.724957801266469
Ensembles,HA1E,O14593,0.573921996736503
Ensembles,HA1E,O43524,0.323959094244871
Ensembles,HA1E,O75030,0.36999444037404
Ensembles,HA1E,P01100,0.706793742697249
Ensembles,HA1E,P01106,0.322433840540202
Ensembles,HA1E,P03372,0.411553422315791
Ensembles,HA1E,P04150,0.297262018945498
Ensembles,HA1E,P04637,0.151554505727027
Ensembles,HA1E,P05412,0.33319509108659
Ensembles,HA1E,P05549,0.386195832879336
Ensembles,HA1E,P06401,0.120938370484848
Ensembles,HA1E,P08047,0.685704388969973
Ensembles,HA1E,P08651,-0.0936869687654863
Ensembles,HA1E,P10070,0.699081811145583
Ensembles,HA1E,P10242,0.322131703399334
Ensembles,HA1E,P10275,0.448112142040767
Ensembles,HA1E,P10276,0.0263868141470465
Ensembles,HA1E,P10914,0.533508674728511
Ensembles,HA1E,P11308,0.461219496984085
Ensembles,HA1E,P11473,0.278824379098051
Ensembles,HA1E,P11831,0.0325644085480796
Ensembles,HA1E,P14859,0.480061699898384
Ensembles,HA1E,P14921,0.681233532105833
Ensembles,HA1E,P15036,0.368768052368264
Ensembles,HA1E,P15336,0.375799966763986
Ensembles,HA1E,P15407,0.780558437957856
Ensembles,HA1E,P15923,-0.0101391061441135
Ensembles,HA1E,P15976,0.549819086916037
Ensembles,HA1E,P16220,0.282345605933211
Ensembles,HA1E,P17535,0.74689040452633
Ensembles,HA1E,P17542,-0.0133117385837447
Ensembles,HA1E,P17676,0.482151872866398
Ensembles,HA1E,P17947,0.294145496621226
Ensembles,HA1E,P18146,0.410014655342079
Ensembles,HA1E,P18846,0.010827840342586
Ensembles,HA1E,P18848,0.631317234425549
Ensembles,HA1E,P18850,0.353768128951007
Ensembles,HA1E,P19419,0.708290261060761
