,O00327,O00716,O14593,O43524,O75030,P01100,P01106,P03372,P04150,P04637,P05412,P05549,P06401,P08047,P08651,P10070,P10242,P10275,P10276,P10914,P11308,P11473,P11831,P14859,P14921,P15036,P15336,P15407,P15923,P15976,P16220,P17535,P17542,P17676,P17947,P18146,P18846,P18848,P18850,P19419,P19544,P19793,P19838,P22415,P23511,P23769,P23771,P25490,P26367,P36956,P37231,P37275,P40763,P41235,P42224,P42226,P42229,P48382,P48431,P48436,P49715,P49716,P51692,P52630,P55317,P56693,P58012,P84022,P98177,Q00613,Q00653,Q00978,Q01094,Q01196,Q01201,Q01543,Q02447,Q04206,Q04864,Q06710,Q07869,Q08050,Q12772,Q12778,Q13127,Q13469,Q13485,Q13761,Q14186,Q14209,Q14765,Q15672,Q16236,Q16665,Q92731,Q99626,Q99814,Q9H3D4,Q9NQB0,Q9UJU2,Q9Y261
CPC012_A375_6H:BRD-K87909389-003-01-8:10,0.04535821,0.012499571,-0.0017539263,0.08542049,-0.0008189678,0.018710732,-0.07992768,0.023112357,-0.15546015,-0.012846053,0.088769644,0.0015364885,0.019214272,0.028276175,-0.0030866563,0.020153522,0.0043264925,-0.02706018,0.053921178,-0.007898927,0.0058540106,0.068395585,0.021358311,0.019335896,0.030508578,0.015809745,-0.013918877,-0.0006682426,-0.0050644875,-0.040854454,-0.008079469,0.013998032,0.06501603,0.05714996,0.03128755,0.017054498,-0.032924175,0.056945205,0.042848825,0.06879529,0.0012693405,0.038957,0.09419894,-0.00022137165,-0.002726972,0.012365282,0.032841384,0.04486981,-0.022942662,0.0034973621,0.013189673,0.006834507,0.009533048,-0.08462119,0.024070442,0.0075049996,0.06490606,-0.0045286417,-0.016409814,0.079826176,0.012427866,0.0023079216,0.043590724,-0.06869888,0.0031720847,0.0036659837,0.019453377,0.01319471,0.08477074,0.06194812,-0.065616906,-0.08851308,-0.008107752,-0.0044204593,0.055271655,0.07456052,0.0001526773,0.12103459,0.08946252,0.058767766,0.050099522,0.026286677,5.453825e-06,0.012534022,0.017206967,-0.019686103,0.06415483,-0.0017701387,-0.023010552,-0.0037092268,-0.024580896,-0.0066042244,0.104123,0.06314975,-0.05889523,-0.00030571222,0.0155233145,0.005624622,0.0483599,0.012869835,0.04224646
CPC013_A375_6H:BRD-K89162000-001-02-3:10,-0.022268087,-0.008803636,-0.0014688969,-0.039296806,-0.001388669,-0.021252602,-0.105549335,0.0065150857,0.06340313,0.016039282,-0.03594005,0.00055775046,-0.02341272,-0.029266208,0.014972806,-0.029268622,0.010237396,-0.08326104,-0.019150168,0.02644056,0.03988552,-0.080144286,-0.04420322,0.08863717,0.021822214,0.06815401,-0.019636154,0.007670179,-0.013157755,0.036856353,-0.013221681,0.0050450563,0.04740882,-0.04201585,0.16228995,0.028380811,-0.02194494,0.15352863,0.043698907,-0.024965048,-0.046403527,-0.048681438,-0.06914887,0.019731462,-0.012511134,0.060943484,0.066783085,0.0069276094,0.06728986,0.019316137,-0.0498693,0.023273349,-0.046972036,0.035152465,-0.028852046,-0.0056907535,-0.08926934,-0.0037968159,0.034650803,0.088921815,0.06725854,0.006075442,-0.086412966,-0.10336882,-0.016158119,-0.0028417706,-0.06924975,-0.0021933913,-0.030230463,0.010148853,0.008344352,-0.071134984,-0.05884552,0.018738925,-0.020086944,-0.009427667,0.0034682155,-0.07071105,0.014436573,0.017732859,-0.09546986,0.001037538,-4.4077635e-05,-0.10351941,-0.0891335,-0.06375295,-0.03164071,-0.02011478,-0.03226149,0.015723646,-0.061577618,0.037867427,-0.016322553,-0.005298257,0.011480808,0.00048789382,0.062235057,0.0061721206,-0.076042354,-0.0777314,0.07250379
CPC013_A375_6H:BRD-K92428232-001-01-5:10,-0.0017177761,0.008842617,0.0018565059,-0.10996732,0.026674986,0.012848675,-0.034061193,0.043374017,0.0027584732,0.035078302,0.08109501,0.00031548738,0.03477204,0.049683988,0.014112592,-0.016682982,-0.008228987,0.030519634,0.03142336,-0.062116146,-0.022856712,-0.043026924,0.018252492,-0.034985214,-0.011868119,0.011057049,0.07539189,0.010395974,0.008587301,-0.08170122,0.04579127,0.007809639,0.004545808,0.025786698,0.04416746,0.06799036,-0.00559026,0.09501538,0.0321666,0.022227585,0.04418087,-0.019671082,0.00022605062,-0.005538106,0.002390802,-0.03171155,0.022351459,-0.004125133,0.015260398,-0.13203198,-0.043329358,-0.0026413798,-0.0047231615,-0.057741553,-0.035610914,0.0022180676,0.044235945,0.004207015,-0.005748868,0.06190963,-0.014468551,0.00048166513,0.012105703,-0.14802253,-0.019170567,0.01318568,0.032685935,0.02512312,-0.015875876,-0.0024671555,-0.0025644302,-0.12863487,0.082440615,0.024523795,-0.0053296685,-0.09602553,0.002892226,0.010437399,0.06632525,0.047584116,-0.03208083,0.084618,-3.9845705e-05,-0.05685389,-0.054055125,-0.014437318,0.07112989,-0.0853709,0.0056357384,0.022831202,-0.045508742,0.011037499,-0.086153865,0.020130336,-0.026279688,-0.023670375,0.029036447,-0.013124973,0.045797586,0.013621002,0.01388526
CPC014_A375_6H:BRD-K97764662-001-09-0:10,-0.036150306,-0.007334113,-0.0011604428,-0.054242015,0.013404667,0.013820797,-0.12761748,-0.009892359,0.0805006,0.03349191,0.024391294,-0.00026893616,-0.057489038,-0.0035566986,0.014014512,-0.010186672,0.0011009872,-0.057827383,0.014451966,0.07192111,0.012583256,-0.016794682,-0.017625391,0.05345249,-0.015436232,0.02903518,0.019163072,0.0115893185,-0.009740144,-0.001706183,0.0093150735,0.0046459734,0.010899961,-0.047807246,0.20376688,-0.00015580654,-0.009608924,-0.1108554,-0.036794573,-0.055363953,-0.042274296,0.046605587,-0.016841918,0.025507271,-0.016190648,0.04998818,0.047580943,-0.0050720274,0.081745625,-0.004408598,0.031899214,0.0036144257,-0.015471995,0.06981465,0.015143156,0.011497945,-0.058049053,-0.0027953386,0.018086791,0.076430336,0.08626726,0.039593965,-0.077546746,0.017139941,-0.012358174,0.008002222,-0.003340423,-0.005942747,-0.047880948,0.029656172,0.043503165,0.041553304,-0.07881224,0.04083866,-0.021906257,-0.01994574,0.002049476,-0.005164981,0.0060696304,0.079238415,0.01477465,-0.023773491,1.3113022e-05,-0.047252238,-0.059475273,-0.015743822,0.00077205896,-0.01377517,0.004437804,-0.06243694,-0.03228247,0.068489194,-0.049059063,-0.03210771,0.00026327372,0.0032498538,0.06455244,0.002757907,-0.06413403,-0.07904142,0.10941455
CPC014_A375_6H:BRD-K99616396-001-01-0:10,-0.035473317,-0.030786484,-0.0015861392,-0.04214984,0.027983189,-0.013624042,-0.12870872,0.014931634,0.10364178,0.030797169,-0.018612206,0.00071147084,-0.01588671,0.028508186,0.025324464,-0.042918146,0.0030269623,-0.08489236,0.04349321,0.0499202,0.037644148,-0.05411756,0.06549704,0.09621942,0.045351326,0.0775322,0.08180338,0.012919605,-0.025139153,-0.0034244657,0.065135956,0.013332993,-0.0062164664,-0.07816604,0.25393605,0.037827313,-0.007223308,-0.06647062,-0.020200282,0.043978095,-0.04490137,-0.026124954,-0.065847844,0.040598422,-0.024784863,0.0826177,0.07856542,0.002613604,0.09870365,0.029531509,-0.041601956,0.012666047,0.07006034,0.06919798,0.048696578,0.038629204,-0.05974868,-0.0038763285,0.031022549,0.089760974,0.13461289,0.032951802,-0.041903913,-0.06322381,-0.025519848,0.014529765,-0.04469645,0.0018504858,-0.010725617,0.016777694,0.037269384,0.017304957,-0.03980142,-0.015820801,-0.055297554,-0.06307334,0.009154201,-0.07421598,0.027085423,0.123503745,-0.05037895,0.12999928,5.1021576e-05,-0.06197837,-0.079734504,-0.030107796,-0.030569911,-0.054527998,0.0024363995,-0.04370597,0.037469864,0.10403663,-0.017831773,-0.009399891,0.021964252,-0.0057751536,0.11688906,0.014728874,-0.0890947,-0.09059566,0.1384928
CPC014_A375_6H:BRD-A45498368-001-02-2:10,0.010626793,0.0042957067,-0.0011253357,-0.025884718,0.014589131,0.044638693,-0.07365316,0.0057267696,0.03955698,0.057898194,-0.020782411,0.00016498566,-0.024101913,0.043650538,0.015137285,-0.010653496,0.0046515465,-0.033961833,-0.029609203,0.08163363,-0.015087783,0.019289225,0.035103798,0.021455973,0.048969448,-0.008223444,0.08710551,0.012233272,-0.013544321,-0.013445914,0.019227207,0.015428841,-0.011424899,-0.02191624,0.12925833,0.032926857,-0.015352964,0.01573497,0.00029158592,0.004461527,0.011868298,-0.004033923,-0.042372316,0.026918948,-0.017375529,5.4866076e-05,0.044689566,-0.013328433,0.058734685,0.015074939,-0.011502385,0.002762854,0.04051432,0.06078215,0.013905883,0.019253373,-0.016622841,-0.0026296377,0.016417742,0.08535719,0.0932844,0.023769349,-0.028541505,-0.10858929,-0.014628336,0.0068657994,-0.0066080093,0.007735193,0.024423689,0.08593869,0.03954968,-0.07389435,-0.021974146,0.0072713494,-0.03827405,-0.11283958,0.0064555705,-0.03679031,0.009650379,0.08745015,0.026395082,0.08726776,2.3543835e-06,-0.008914828,-0.049907535,0.023745209,0.017871976,-0.05025637,0.017312884,-0.03126675,0.0038621426,0.076361954,-0.08202198,0.03992814,0.019539714,-0.016311675,0.05212924,-0.028548002,-0.05829346,-0.060358584,0.036943823
CPC014_A375_6H:BRD-K01253243-001-01-4:10,0.0070700943,0.000960052,0.004848957,-0.1761499,0.019766152,-0.030530632,0.033843756,-0.0036558807,-0.12088919,-0.017513335,0.0036239028,-0.0017518997,-0.030646771,0.07605642,0.014842659,0.07805407,0.0034279227,0.058132023,0.0018040091,-0.073091805,-0.057417214,-0.03241244,0.080846906,-0.046479285,0.0880509,-0.012701035,0.023504853,0.0022673458,-0.009548724,-0.119134545,0.0978775,-0.002908498,-0.06410313,0.022901326,-0.11137125,0.121792465,0.08908796,0.15800667,0.040557325,-0.01732564,0.14720047,-0.005394578,-0.05612126,-0.014952481,0.0107191205,-0.0470874,-0.08765361,-0.06626555,0.08103871,-0.046165913,-0.044496298,-0.008862197,-0.0052470565,-0.1557542,-0.056770682,-0.03378254,0.037191242,0.012063324,0.04073882,-0.15849742,-0.06048745,-0.02949673,-0.006595552,-0.21288034,-0.017867133,0.014922023,0.020409197,-0.002988845,0.0686647,0.08089045,-0.029731154,-0.1536861,0.08601606,-0.012023747,0.0073690414,-0.18097836,0.0029335022,-0.021516114,0.081451,-0.047453225,-0.007451147,0.20293766,-1.9520521e-05,-0.12719375,-0.121703446,-0.020298779,0.024599254,-0.10563284,0.023209393,0.0527243,-0.04562506,0.013590217,-0.15838757,0.044385582,-0.03708005,-0.03347093,0.034187585,-0.05027339,-0.016285896,-0.039625704,0.023274899
CPC014_A375_6H:BRD-K01436366-001-02-4:10,0.02010253,0.00443691,0.012191474,-0.18710256,0.031387866,0.012969166,-0.05581391,0.030394286,0.01366809,0.015719265,0.031682372,-0.001401782,0.02384685,0.06662771,0.022836536,0.14486885,-0.0073628128,-0.005423844,0.009491086,-0.014851153,-0.04635054,-0.030723512,0.012523353,-0.008557022,-0.0041674376,-0.011722356,0.0052106977,0.00026240945,0.00034949183,-0.07312107,0.030635357,-0.002526462,-0.061218917,-0.039735973,0.018571675,0.079149306,0.0010148883,0.10359973,0.020332903,-0.04853621,0.042823255,-0.07818067,-0.045452952,-0.011687458,0.006816566,-0.025362968,0.016246408,-0.041365594,0.0360263,-0.1279582,-0.07269466,0.00845623,0.04854709,-0.07835463,-0.025638223,0.028604358,-0.047097325,0.022700846,0.003790617,0.009668142,-0.037314683,-0.012516946,-0.037292898,-0.13383201,-0.02450177,0.0065054297,-0.051174045,0.02070184,-0.04823351,-0.047949255,0.017618984,-0.08564958,0.09082094,-0.014335781,-0.01522398,-0.18079087,-0.002600938,-0.026344955,0.04222828,0.041992307,-0.120780915,0.12104058,-5.6266785e-05,-0.16082644,-0.032115847,0.006155312,-0.036027938,-0.083884895,0.058865488,0.042272955,0.029184997,-0.030908227,-0.14960161,0.069735676,-0.008311272,-0.01961428,0.057161957,-0.017180353,0.00635314,-0.008783191,-0.00405547
CPC014_A375_6H:BRD-K01493881-001-20-3:10,-0.0015569031,-0.03034088,0.00022357702,-0.14263457,0.08413613,-0.030741483,-0.095240355,-3.8668513e-05,-0.0034603477,0.0028634667,0.028865635,-0.00015631318,-0.046805337,0.03685853,0.015823573,0.030407846,-0.00836882,-0.0100566,0.039160132,0.0028055906,-0.039221525,-0.075498104,0.09593809,0.018566787,-0.03603047,-0.019183874,0.047955573,0.0040457994,-0.033248246,-0.064160466,0.08423233,0.010465562,-0.0477255,-0.031750694,0.028198779,0.10525417,0.026945293,0.09991136,0.042089373,0.045254707,0.034147024,-0.062208235,-0.108062565,0.018570721,-0.009232581,0.0074201226,0.03343971,-0.04105237,0.09646481,-0.0009524226,-0.050539613,-1.6510487e-05,-0.00051283836,-0.026016802,-0.02816987,-0.007311344,-0.090592206,0.00052541494,0.04295367,0.050545305,0.048547804,0.012488008,-0.085412085,-0.026480913,-0.014679238,0.01220727,-0.006073028,0.0059162676,-0.024545282,0.06947878,0.019947529,0.042981327,-0.009746462,0.0073335767,-0.04079324,-0.13473818,0.0033199787,-0.08200389,0.054358453,0.081763744,0.013320625,0.09971434,2.6524067e-06,-0.08420405,-0.11269468,-0.07644907,-0.046042264,-0.051755607,-0.006421387,-0.02280131,-0.029488564,0.04333788,-0.11233279,0.040417403,-0.060361147,-0.0057979524,0.10590905,-0.016925693,-0.07954702,-0.08382833,0.10340235
CPC014_A375_6H:BRD-K04923131-001-06-3:10,-0.018717647,0.0037433803,-0.0006173849,-0.116645455,0.0067632794,-0.074760675,-0.05337608,0.008739129,0.029885426,-0.006686151,-0.092815936,-0.0021660924,-0.038741097,0.0053794086,0.008421689,-0.0096722245,0.0009150803,-0.038061827,0.02878733,-0.03550768,-0.020804405,-0.04786417,0.05490589,0.031882495,-0.030758798,0.005841166,-0.009203553,-0.004851997,-0.0154030025,-0.07729375,0.03696972,-0.031761825,-0.009943306,-0.14516827,0.041319788,-0.013489485,0.018901885,-0.17265356,-0.06487134,0.05224669,0.02490127,-0.020884752,-0.2101515,0.005012244,-0.00059741735,-0.017293155,0.014792621,-0.016934603,0.06645179,-0.013386995,-0.028291166,0.023530602,-0.051169872,-0.05484262,-0.076682925,-0.07240379,-0.104947686,-0.0009108186,0.014642358,0.050871983,0.0023155808,-0.028592497,-0.11509842,0.03222066,-0.00938423,-0.011896372,-0.12576303,0.005271256,-0.047478497,0.013094187,0.046465456,0.08118132,0.04910946,-0.026737392,-0.07563478,-0.05849427,0.0016704202,-0.16090655,-0.028906792,0.027250499,-0.067047864,0.16767138,-3.8951635e-05,-0.07920009,-0.061745107,-0.025079489,0.040038258,-0.0803535,0.021370232,0.09559977,-0.04924369,0.007501453,-0.09102732,-0.028731585,0.017813563,-0.02411884,0.04082516,-0.0155034065,-0.040178537,-0.03205669,0.028118193
