,P10275,O00327,P18846,P15336,P18848,P18850,Q99626,P49715,P17676,P49716,P16220,Q01094,Q14209,O00716,P18146,P19419,Q99814,P11308,P03372,Q92731,P14921,P15036,Q01543,P01100,P15407,P55317,Q9Y261,P58012,Q08050,Q12778,O43524,P98177,P15976,P23769,P23771,P10070,Q16665,P41235,Q00613,P10914,Q00978,P05412,P17535,Q9UJU2,O75030,P10242,P01106,Q13469,Q16236,P08651,P19838,Q00653,P23511,P04150,P26367,Q06710,P06401,P14859,Q07869,P37231,P10276,Q04864,Q04206,Q01201,Q13127,P48382,O14593,Q01196,Q13761,P19793,P84022,Q13485,P56693,P48431,P48436,P08047,Q02447,P17947,P36956,Q12772,P11831,P42224,P52630,P40763,Q14765,P42229,P51692,P42226,P17542,P15923,Q9NQB0,P05549,Q14186,P04637,Q9H3D4,Q15672,P22415,P11473,P19544,P25490,P37275
A375,-0.020984943074306487,0.12522742926904826,0.41587364196338195,0.3002956501003612,0.08690418497764037,-0.16828327089074732,0.4010672955927412,-0.15433355177630761,-0.09069208220902736,-0.08153626180037049,0.16648727631403581,0.1696429594449735,0.15170147239892798,0.20816079833240114,0.30829331046896497,0.19068205897868828,0.03950793524147206,-0.1462704402314793,-0.003051387540090706,0.2175326683531403,0.14375505538987376,0.19025778394439605,0.31202861984385427,-0.019498437084148026,-0.009312165629726931,0.13479152732392574,0.12699647989685475,0.1144722809849722,0.40862164262327627,0.40529294676358657,0.516116981221753,0.2767856384911281,-0.09870007805110027,-0.001242258721379472,-0.03408326230931338,0.30436342622191176,0.07721643349961647,0.25737598037449133,0.06313495393794158,-0.145534688758946,0.2612699773176921,-0.02556607340624743,-0.07652987154163529,0.14109252402611133,0.35203100542643173,0.178531872416461,-0.10247879101728014,-0.036726992398437096,-0.10789256988214942,0.017629508317953534,0.005305448740399523,-0.05926559030735512,0.017503230943459885,0.13968882916048728,0.25304450990062455,-0.08315364173101969,0.01679323070010781,-0.011360790389956051,0.16442367972551725,0.37345931181401976,0.2471063122462235,0.09285181246572816,0.08283922349191068,0.10874979318467434,0.08638057847614534,0.2966848882544398,0.29041226291014455,-0.04980233247279748,0.33118873819609457,0.07001850483735572,0.13713419783365977,0.12201199046847673,0.054676033148877784,-0.16497361085882942,0.016509427366913822,0.36245320217696075,0.21527741659170618,-0.0689600742281352,0.11266564666072176,0.4098686124518643,0.23167363805708652,0.03653746945938785,0.3938452441915004,-0.06573137471845511,0.13689696597213113,-0.006259405621171352,0.14428878043239537,0.0861782906527901,-0.15199341591214907,0.08206045720223774,-0.03759168052940394,0.06653261671695959,0.11501888679661548,-0.022189840675829853,0.11652466232036007,-0.13313999460284034,-0.14164148215106737,0.46335539320959057,0.1059586949780972,0.1743996865101382,0.36271881656317484
A549,0.2578459380294783,-0.050115877722508965,0.21386534842786176,0.22622420255744544,0.002818600877538968,0.08953662100776742,0.17983954588645742,0.3174537986650208,-0.0653176897073138,0.3563342189081172,-0.06214634075541411,0.4396390000483124,0.30372412093148055,0.3049619940168375,-0.0595710186777254,0.2514673143980192,-0.0817237750894531,0.21336385939496835,-0.1201372928989978,0.16680333542242362,-0.026182562313555164,0.004401360761933936,0.25182663348693957,0.06417846256912481,-0.007287905905604408,0.19649308437868418,0.3070386741385419,0.12438197495387707,0.29166988879811023,-0.026628679076926957,0.30891299759218,0.16174585224377086,0.09992811594650539,0.30719930145071017,0.09822556777179339,0.20420927434655883,0.14904165323107615,0.27677765237669827,-0.13323760415345898,0.018197177456379762,0.1039429140613552,0.09997257816282022,0.2230039854356004,0.28314967834349525,0.39915974457540193,0.2643546437604492,0.06090984396049351,-0.1102910439193543,0.1872861567234125,0.2291400356630603,0.09771346782647816,0.0206300794561475,0.037018107248810946,0.3144642580754649,0.19286982678106487,0.023498607203753574,0.1258580280237899,-0.11627643805470252,0.42265662951882527,0.2302584013511843,0.1968271701530768,0.05627445294409941,0.052635782533061795,-0.16391127304114808,0.2975209236368929,0.11599808078240793,0.012052412588343503,-0.04496131545777247,-0.06385401637536717,0.24947410712098464,0.21431711114921087,0.30404984380992284,0.2764474208238176,0.32465680712560857,0.37341498929740863,0.13008839574198322,0.1236751339164695,0.38308100810603274,0.3940508358043264,0.19483185535470668,0.20546850686427764,0.2831127131826972,0.2826711653964306,0.10164289634014291,0.20045104195735225,0.27393799618236203,0.20143307820716636,0.021482624746310523,0.16838202796519536,-0.07212486180770929,0.380343022313158,0.06051510119597169,0.32712045125570144,0.17335365766138605,0.11410149916891996,-0.14988572466513278,0.077937102211817,0.07268846547697642,0.12635978150577112,0.16407059533618135,0.19568697330802007
HA1E,0.17465475485293722,0.22505081412022448,-0.08236224222330041,-0.0749184513511091,0.2952458160622841,0.10430837106875458,0.27134799377813784,-0.10247555448428997,0.004072836878756563,0.00889088240183662,0.08099201255970262,0.09424061028674144,0.08262868484000634,-0.11171785831972925,0.06883829534775193,0.17040414247206895,0.3069265180604326,0.2915772578234212,-0.06271320106759504,0.009768039837490734,0.17011109794608986,-0.019045494870425294,0.16656000599616072,0.2542643894942214,0.3678511460262057,0.2957082214942197,0.15871789211042445,0.26576182030298034,0.18928682252672235,0.30828665268120486,0.06818450115343369,-0.0380023931407006,0.24130203413009693,0.3454102092001042,-0.006162924399106343,0.10083681379182294,0.1775384887404646,0.11104284187116537,0.17765574732945882,0.2845342489060012,0.31891474133707254,0.12511041843177967,0.22337627897391937,0.07944093472847784,0.10114187926256568,0.1809546854660892,0.08086454647150845,0.07979639836637777,0.18267139617232725,-0.2265127857796856,0.2629245739549508,0.10367858726673994,0.36310063216612765,0.09870561609455869,0.2546714757989525,0.1802569582118313,-0.16238689578240167,0.27163156616536654,0.37770412955808613,0.16045870955943423,0.245477638460178,0.29432824311421635,0.4161524627566779,0.06648339916804506,0.2914372958074116,0.18288071777416254,0.1638844913672084,-0.13650005138163826,0.05197984270172167,-0.005500102614274105,-0.13955907740465529,0.03572138858149694,-0.021703240559895157,0.2569241029699559,0.19729005288532347,0.07367145242647671,0.453716652493946,0.011981324157226554,0.04950635868522363,0.33011617348169664,0.14084310416561363,0.24073227106475864,0.36116261549279216,-0.030091942820573404,-0.04529824384869757,0.15024612889636682,0.23903580161355725,0.2306752140094129,0.16597300583933766,-0.19106158466866707,0.1336706357336058,0.07373042796862544,0.14172586225897404,-0.06685734009686417,0.05564096000753286,0.2448960573500186,0.22876625919195295,0.04268344155931403,0.18967487406203223,0.14699820953609455,-0.013989352035447938
HCC515,0.15553322767817288,0.27759617218539834,-0.1428302677012982,0.12914137046400048,-0.08978626820441714,0.19124117428390638,0.012861149331147808,0.1128721208558961,0.18368325204124702,0.20052312088951207,0.34159484565653025,0.22775279101621204,0.2675351994217417,0.27952773121203633,0.10621701347944981,0.37095354715772494,0.02197303712709011,-0.303405934987816,0.5387225663667439,0.08649228339524105,-0.3906541450158972,-0.2356604793949314,0.04804389190319384,0.01010671653242923,-0.02284117449390661,0.17855731025173144,0.09965233045177574,0.39768209105007596,0.19441855247963863,0.006699162708527066,0.1431993195721595,0.052995063786992806,0.22471528228632895,-0.06571171302588981,0.1461100957832648,0.1709162466428056,-0.030550849358851162,0.0793197181468206,-0.07988912816521063,-0.002676953833123742,0.21564468734922063,0.13143942690878313,-0.14002716756289804,0.34801985383723305,-0.2039916777873755,0.335902268176903,-0.14706648228306665,0.19545758015018924,0.0046717742021757346,0.09726403864195625,0.23681255159661482,0.2139047614943558,0.03573090369331613,0.3526035357189955,0.18707259259480077,0.07227437367971098,0.3420085249056241,0.023391529796251545,0.40592093502768967,0.15808249029465432,0.008294602980709057,0.37338013922552254,0.2775680160897337,-0.001206547332460127,-0.01174631159411689,0.030358244947596702,0.14393444641666406,0.47773619674034595,0.39982770663574846,-0.1778240462114481,0.09096754174011988,-0.05944037905381682,0.19343038558536715,-0.07560636119738534,-0.07035963680023188,-0.1814293983750621,0.028864814746855063,0.024158710933442514,0.590096331059182,0.47698304570894595,0.15751527367072454,0.15217802344488385,0.2452699135318163,-0.03519537264517496,0.2980449714424214,0.27571647320394305,0.37481455743755476,0.2686082574606789,0.24885044241228307,0.1297502235182317,0.4293225236131873,0.09062452317815026,-0.10176305323319652,0.07669442289547802,0.10315713639956359,0.05278374465106711,0.30172032213218813,-0.18874766172576343,0.20479822335303405,0.32627434164015034,-0.12270683351332953
HT29,-0.0957307125554612,-0.2563703859928733,0.1734926389955236,0.34767412438925144,0.18506575203375505,-0.0419591111933988,0.27336833155173357,0.21641886351860576,0.2770395329863842,0.22332074810827804,0.3324225110386157,0.37934890900908147,0.4585934652511501,0.36189547742983835,0.26322642384851813,0.06129445333424987,0.3180173200311231,-0.09779702972908623,0.05027574722363302,0.1393283141070108,0.1265813490581906,0.18928773926966194,0.08198762603069125,-0.022537659219160216,0.137425122149315,0.07135612533514568,0.23647322537197796,0.25937540462349346,0.14453526769911842,0.33055937305210714,0.44167952455019555,0.283233781217233,-0.06786882067632487,0.3085404304882607,0.22281600292222964,0.25025297817587416,0.157446743529836,0.45906367181585706,0.19920092166507855,0.25904849394247365,0.35058121887058163,-0.03471531617051776,0.447482565111509,0.21934393456663775,0.016504294461930743,0.26316974932742687,0.32537422024974555,0.054503217030573564,-0.09701031922421259,0.06570103510863305,0.12225921440506,0.10585638621025946,0.122233148848556,0.24992426399254586,0.2646874652597246,-0.021432724326523978,0.35695325397504085,0.01208635168865834,0.14336326417176082,0.4566016233800817,0.13285393087271344,0.1480933484411712,0.25235854570769806,0.08389894457037918,0.27530965879232006,0.3044566500336603,0.34137463008252655,0.053093424326730615,0.4243311516561056,0.2476995151645982,-0.06124754343162484,-0.05722166938091492,0.11765019494901804,0.26650328444212595,0.018120546383623003,0.3269004307560106,0.1467194544210917,-0.10662685091818902,0.29394451979206904,0.34357281135744727,0.06741384881784253,0.37845000838840415,0.26572142581992936,-0.04409342611263906,0.17500074860898246,0.06305195968327398,0.10312905915488202,0.2017826939375576,0.20787578400894272,-0.12340608017658285,0.3322907023053974,0.2858585933337553,0.3615627473658768,0.26290579376307155,0.06142773990747188,-0.010607021832408607,0.05242033927218719,0.32801674844244794,0.19943920318552372,0.17532550976003208,-0.004068745596895017
PC3,0.06674033031589512,0.07856687114334075,0.09103560320726646,-0.09022622224718749,0.17436199332939198,0.4091407954949638,0.048202807376324965,0.26674082871379784,0.1178291278229403,0.0231973014334473,0.26016960410293266,0.2890288017370673,0.1955318719063095,0.19678326354656606,0.28114382455823195,0.3129405570299764,0.29497802093914455,-0.0646685798561498,-0.13246672690443004,0.09134809523226578,0.028827276879378954,0.06663344382379639,-0.28320957711692596,0.09899394555476018,-0.10885879545327726,0.2942813654802274,0.24543908367646183,0.3637607908314583,0.1100238934914268,0.2585453151247223,0.3816929476623723,0.13832077454594602,0.20941846425287675,0.2086885720575401,-0.11442300164308185,0.16113738667075697,0.04809946852294665,0.15415921006929878,0.13746339157481025,0.010074029205354685,-0.03171824402107813,0.4115372406972281,0.1439511540443679,0.2827858211382901,0.0807866088051078,0.06716750443557229,0.31644338475875655,-0.17885832727104722,0.0012657586056931814,0.01942563133430347,0.003722473268553612,-0.041804857354526215,0.20015848669102793,0.24665887789705288,0.2492916847337851,-0.016103233132298084,0.0031325745645597266,0.11296334791207405,0.3489753339495559,-0.08762164115774938,0.2808817763721553,0.22861110143239755,-0.08574544034792025,0.17200801916863126,0.3289453913006155,0.25321561525803743,0.3438097510701577,-0.17980863997436441,0.23251307405745533,-0.06163240967146282,0.1606792855633737,0.25363437954827045,0.2164493027289248,0.271733753629424,0.4460854555470209,0.0036561982298314176,0.24475121981199086,0.3014333133601549,0.03583999535991906,0.14083197077950074,0.09038738652474798,-0.0343944471681059,-0.038472558352561505,0.12752628841050614,0.18233481471914156,-0.09639791653633317,0.04842297705758064,0.0869877232967553,0.2252983664228335,0.28942179987575084,0.1768163416011259,0.34573945842134995,0.4776761135179381,0.15728422915312246,0.38201680382856523,0.13940189385930438,0.28054885130992,0.42766423482376903,0.18830773021255812,0.07504992185413543,0.04682674311415409
MCF7,0.10878780340895297,-0.12435010836589053,-0.16916585056248862,0.13450024136933297,-0.07697645528671077,-0.14925317670653562,0.2917792571318713,-0.1378071582117919,0.0056759161712398205,-0.23140454749912195,-0.08678674035366947,0.1524344097797965,0.31451639545076665,0.32877331609398114,-0.21937486842404247,0.16933882682765145,-0.19814450310796514,0.12843221762724935,-0.057041852714006976,-0.03610441645450294,-0.14537195492527533,-0.2692881060636374,-0.07790064089148908,0.20271004781800017,0.03090144005253446,-0.1310240149193667,-0.1501593328003187,0.04198858468057601,0.04686709026982216,0.23937403444079558,0.39034786386745735,0.254648743016853,-0.36773752284752403,0.233937933803797,-0.0002830250409654115,-0.033070864747111545,0.02999637317884249,0.1258452678447538,0.24836037051359278,-0.032745501880416354,0.21844957811257976,-0.08752711389305434,-0.15871942259333352,-0.055495588235409975,0.09651767540072072,0.4268515070901394,0.06338240306217019,0.38165613955830774,-0.023318862084089148,0.03433459851919062,0.021250583643435992,0.0769996632507637,0.0311589416558661,0.15816725140266166,-0.3175306656336426,0.05300546606766248,0.047477035221129664,-0.06608157834105234,-0.007919168976645623,0.19881682314655405,0.0033024742423096265,0.28294347548165577,-0.04329896330605496,0.1708781563870849,-0.05847278481750953,0.17323070192009452,0.12175669436473982,0.029955818635188116,0.13395743761304146,-0.24008101626981979,-0.11532859871423348,0.2383637697367109,0.17471171865806034,0.17002031156929345,-0.033601491346195445,0.21814541177266986,-0.28234957873312755,-0.23488564250568852,0.2287047739701682,0.2593986489491202,0.12319937691432234,0.139622465945362,0.239729980565708,0.22574597065692942,-0.2168528675401865,-0.073056247864295,-0.17462999562238551,-0.029268804706868486,-0.1275791710520593,-0.11822800377875037,-0.10920096414460223,0.24383712138517688,0.16708106223434757,0.10822199284185838,-0.02294930876478497,-0.18959556417175535,0.13896068492813343,0.3546589476377707,0.13586290859784633,-0.03811102562386429,0.08122257339186824
HEPG2,-0.04351133678637984,0.040404844089625754,0.24170379073944534,-0.09801868274528037,0.40682303715534696,0.20638283708089739,0.02979956904373386,0.18067445178281313,0.2686426480022479,0.020469386324161298,0.1199726965542897,0.16788114041987362,0.1266247502082812,0.29941625171650177,-0.11545403074609704,0.0002390197300786179,0.37109814417390885,-0.06594064560518736,-0.14381689758791036,0.026545718187529585,-0.022259589013775716,-0.20923066975604104,-0.03073102719279129,-0.04298544128123455,0.0035351734446844355,0.4060471074192168,0.018078043170669664,0.1642897192108973,0.034583759317264186,0.010010565681144896,0.3816090683480732,0.40304880085102857,0.29155976697353003,0.04889196881043563,-0.0038474242480379638,0.008901258725752885,-0.26354837800127934,0.05729450401720212,0.3238701438590456,-0.06383906643052557,0.23012844447573566,-0.018111685842427065,-0.11683977737891418,0.10904442034885733,-0.07065275806136626,0.3203762102332151,-0.15477564187459691,0.5204145430050664,-0.06574125359070684,0.28079255481742765,-0.022880863790273126,0.31467328008907974,-0.06302755888092236,0.28335378269226097,0.04704280167058639,0.0008412937489203276,-0.08849870084965568,-0.20333310595832058,0.24350466551208486,-0.03676354740824818,-0.2569262734272007,0.20485293206068553,0.13210024009725108,-0.03345401628394687,0.08497693404033752,-0.09073569804562988,-0.06918844979881968,0.26098001544701865,0.10028192922787657,-0.13361469834562292,-0.12883641548072086,0.06925320485782788,0.3214330236936401,-0.03880782965834979,0.17101274820792584,-0.25188528606278127,-0.21492275803955144,-0.1576119040533991,0.004583415011735386,0.17174867495939944,0.011390503851639389,0.10855525405427023,0.2015629587216741,0.017307464519309104,0.11150890619070387,0.09366019535113923,0.19153893561379717,-0.1270514441576786,-0.19888356647282515,-0.1586137490666274,0.13323638971911608,0.053684948404853404,0.2784624064806357,0.09874675477691103,-0.01637644700679125,0.08186287806697555,-0.11743241541275781,0.10645349320786932,0.13102684979816023,0.01988702964695778,-0.11308025006256693
