,noise level,average pearson correlation,std_pear
0,0.0001,0.9999997607296419,4.311535026096848e-09
1,0.001,0.9999761228775174,4.4271594515107504e-07
2,0.005,0.9994187712606524,1.0292248791571484e-05
3,0.01,0.9977053521033414,4.657658496288228e-05
4,0.05,0.9493757618701103,0.0008832799902352428
5,0.1,0.8515873959235105,0.002286272208492634
6,0.5,0.501572487885115,0.005312307908717239
7,1.0,0.40306114267451554,0.005498636971806332
8,2.0,0.33583978200763803,0.005789299193726663
9,5.0,0.27681419657566186,0.005847851719396811
10,10.0,0.23530237105885232,0.0055225082733431395
