,noise level,average pearson correlation,std_pear
0,0.0001,0.9999996951415987,6.452218451061066e-09
1,0.001,0.9999691506358609,2.2404906907470164e-06
2,0.005,0.9992308892479825,2.3519635763995915e-05
3,0.01,0.9970042827603212,5.355318340219733e-05
4,0.05,0.9339615695953306,0.001590077654313132
5,0.1,0.7911284183133922,0.004754140971296195
6,0.5,0.4235358237463182,0.006580762017156962
7,1.0,0.35187782478300655,0.005748611146830234
8,2.0,0.3107829689878629,0.006317052034386418
9,5.0,0.2673793074667721,0.005891198060545194
10,10.0,0.22956857096564878,0.005227110360812387
