,noise level,average pearson correlation,std_pear
0,0.0001,0.9999997344335766,4.2837267509131226e-08
1,0.001,0.9999738820454835,4.436317783210501e-06
2,0.005,0.999367296584115,2.0996262933657533e-05
3,0.01,0.9975182310066618,6.126793980307071e-05
4,0.05,0.9468415798934443,0.0007836308841436951
5,0.1,0.8322129859935378,0.0035475094051233566
6,0.5,0.4816548259841254,0.005133881879323667
7,1.0,0.3963595049830884,0.005420689224043206
8,2.0,0.33924885541392574,0.005925360503439458
9,5.0,0.2845656539143434,0.006032547131336054
10,10.0,0.24384489624448705,0.005165096247720165
