,noise level,average pearson correlation,std_pear
0,0.0001,0.9999975363694701,5.726909328476549e-06
1,0.001,0.9999600065454963,1.1966859945187811e-05
2,0.005,0.9993203433048659,2.3911805493150165e-05
3,0.01,0.99733079338301,7.221399446228862e-05
4,0.05,0.9438177046802868,0.0014101748699233238
5,0.1,0.8311816631883496,0.0042182973396660195
6,0.5,0.5059631270481677,0.005864522094533939
7,1.0,0.42734145133114465,0.006534604978745579
8,2.0,0.37354193781782746,0.005759110188774664
9,5.0,0.3178572392098507,0.006179031353045753
10,10.0,0.2734651984418182,0.006157630722521258
